retrieval_id	source	locator	anchor	evidence_class	category	retrieval_note
V09-L053	V09	p-011 ¶308–311	誇りという名の、傷という名の呪い	NV/LI	CURSE_BINDING_ENCLOSURE	The most explicit mutual-curse mechanism: shared wound and pride can bind a group to one another’s damaged identity.
V09-L066	V09	p-014 ¶39–41	新しい自分の形は決められる	NV	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L069	V09	p-015 ¶21	四巻からのエイティシックスたちの誇りと傷の物語は本巻にて一段落	PT	PRIDE_DIGNITY_IDENTITY	Authorial afterword marks V4–V9 as the pride-and-wounds movement.
V10-L003	V10	p-004 ¶238	約束をしよう	CS/LI	BOND_WISH_PROMISE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L005	V10	p-004 ¶298	おれはまだ死ねない	CS/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L006	V10	p-004 ¶339	シン。私を見ろ	CS/LI/BA	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L012	V10	p-008 ¶310	あなたの役目も。おれの最期まで	CS/LI	ROLE_IDENTITY	Shin inherits a mercy role from another person; Undertaker is cumulative office, not innate essence.
V10-L019	V10	p-016 ¶31	名前もコールサインも、収容番号も	CS/LI	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L022	V10	p-016 ¶227	死神か、そうじゃなきゃ葬儀屋	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L027	V10	p-020 ¶49	我らが死神	CS/LI	ROLE_IDENTITY	“Our death god” converts private self-name into reciprocal communal office.
V10-L059	V10	p-033 ¶127	傷なんて、負わなくてよかった	CS/LI	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V10-L060	V10	p-033 ¶127	おれは死神でいなくてよかった	CS/LI	ROLE_IDENTITY	Counterfactual Shin establishes that Undertaker and wounds were not necessary for his personhood or worth.
V10-L067	V10	p-034 ¶10	首のない死神へと変貌	PT	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L010	V11	return p-018 ¶128	復讐なんて、おれは望まなかったし、選ばなかった	EXACT_VERIFIED	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L015	V11	return p-018 ¶258	あたしはもう──大丈夫	EXACT_VERIFIED	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L016	V11	return p-018 ¶260–267	もう怖くないよ	EXACT_VERIFIED	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L024	V11	massacre p-022 ¶232	隊長じゃなくて俺の役目です	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L043	V11	march p-026 ¶315–318	聖女マグノリアの、革命を導き率いた聖女の再来です / 鮮血の女王	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V11-L049	V11	Richard p-026 ¶448–455	墓参りなんて、絶対にされたくない	EXACT_VERIFIED	MEMORY_NAMING_DEAD	Richard rejects memorialization that would beautify his death into a role for survivors; a counter-inheritance gesture.
V12-L020	V12	p-004 ¶616	今度こそなれるんだな。英雄って奴に	CS	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V12-L029	V12	p-005 ¶516	一人きりじゃ戦えない、弱い死神だから	CS/LI	ROLE_IDENTITY	“Weak death god” retains the role while revising it away from solitary exceptionalism.
V12-L040	V12	p-006 ¶336	じかんがないから	CS/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V12-L041	V12	p-006 ¶382	臣民自身が望んだ自由だろうに	CS/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V12-L054	V12	p-007 ¶383	英雄など連邦軍には必要ない	NV/LI	ROLE_IDENTITY	Institutional anti-hero doctrine refuses leadership as domination over others lives.
V13-L034	V13	V13 / p-004.xhtml para 230	……そういえば伝えるのを忘れていた、と思ったら、見透かした様子でフレデリカが肩をすくめた。	BA	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L035	V13	V13 / p-004.xhtml para 434	「それがもし、呪いみたいになってたらいけないから会いたかったけど。……いまさら会っても、それはそれで呪いになりそうだから──...	CS	CURSE_BINDING_ENCLOSURE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L057	V13	V13 / p-005.xhtml para 568	連邦軍、という名の巨大な組織、その名前であたかも全員が同胞であるかのように錯覚させていただけの、無数の属性の成員から成る集団...	NV	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L059	V13	V13 / p-005.xhtml para 575	その貴族という紐帯を革命により廃し、けれど市民の間の無数の亀裂は放置したまま名前だけの民主制を敷いた連邦は、そうであるのだか...	CS	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L081	V13	V13 / p-007.xhtml para 26	──一人じゃ戦えない、弱い死神だから。	LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L096	V13	V13 / p-007.xhtml para 270	あなたの呪いになるね。	CS	CURSE_BINDING_ENCLOSURE	Chitri knowingly offers herself as a curse; explicit consent changes but does not erase binding force.
V13-L097	V13	V13 / p-007.xhtml para 277	髪をまとめるリボンを、繊手がするりとほどいてさしだす。受け取り、少しだけ迷ったが取ったその手の甲に口づけた。君という呪いを、...	BA	CURSE_BINDING_ENCLOSURE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L098	V13	V13 / p-007.xhtml para 279	「それと、もう一つお願い。──どうかこのあとの、わたしをみないで」	CS	BOND_WISH_PROMISE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L107	V13	V13 / p-007.xhtml para 744	女性が抱いているのは、銃弾に割られた頭蓋から中身と共に生命も人格も取りこぼしてしまった、リト・オリヤの遺骸だった。	NV	INHERITANCE_TRANSMISSION	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V13-L113	V13	V13 / p-007.xhtml para 853	言葉も、願いも、祈りも、感情も、およそ人が人に向けるものはどれもが呪いだ。進む足を縛る。先行きを捻じ曲げる。選ぶ道を誤らせ、...	NV	CURSE_BINDING_ENCLOSURE	Narration universalizes the risk: words, wishes, prayers and feelings can all bend another person’s path.
V13-L114	V13	V13 / p-007.xhtml para 854	それでもなお受けいれられた呪いを、せめて、愛と呼ぶのだろう。	NV	CURSE_BINDING_ENCLOSURE	Accepted binding may be called love; the series does not equate all constraint with violation.
V13-L119	V13	V13 / p-007.xhtml para 950	「エイティシックスの女王たるわたしを首都に留め、彼らへの人質にする。これから必ず、憤りや恨みや叛意さえ抱くだろう彼らに、なお...	CS	ROLE_IDENTITY	Lena’s valued relational role is converted into political hostage leverage, showing inheritance/attachment can be externally weaponized.
V14-L004	V14	p-002 para 25	「それが、敗戦と非道の責を司令官一人に負わせ、汚名と罪咎ざいきゆうから逃された我らに課される、当然の役目だ。この連邦を護まもらんと散った数多...	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L023	V14	p-005 para 55	だって僕は、戦い抜き生き抜くことを誇りとした──エイティシックスの一人なのだから。	EXACT_VERIFIED	PRIDE_DIGNITY_IDENTITY	Pride remains affirmatively owned at the current frontier; V14 does not resolve by abandoning Eighty-Six identity.
V14-L054	V14	p-005 para 353	許したのとも違う。傷から逃れ、憎ぞう悪おから逃れ、そうすることで共和国の呪縛をも脱して、自分の生を生きようとしている。	EXACT_VERIFIED	CURSE_BINDING_ENCLOSURE	Living one’s own life can involve escaping hatred/curse without forgiving the Republic.
V14-L064	V14	p-006 para 146	シンは、生まれる時代をとことん間違えた不世出の英雄の器だと、八六区でかつて思った。それはやはり、正しかったのだろう。	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L068	V14	p-006 para 245	「繰り返しになるが、心的外傷想起フラッシュバックを強制的に起こされた──心ト的ラ外ウ傷マを無理やりにこじ開けられた印象だ。最も思い出したくな...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L069	V14	p-006 para 247	「動けた者は、おそらくその傷の程度が軽かった者だと思う。……俺はチトリの死を見せられたが、実際には彼女の死の様子は見ていない。想像だけなら、...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L071	V14	p-006 para 253	『戦区後方に展開した砲兵隊では、突出していた一部を除いて心的外傷想起フラッシュバックに至った者はいません。また戦闘域の外にはグレーテ大佐以下...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L072	V14	p-006 para 304	「ああ。だから探索には〈アルカノスト〉を充あてる。──〈シリン〉はほぼ無傷だ。共有の戦闘記録にしろ個体ごとの蓄積経験にしろ、心ト的ラ外ウ傷マ...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L075	V14	p-006 para 345	「まさか。死神殿なら、お前たちが人間だからだと、そう仰おおせてくださることでしょう」	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L077	V14	p-006 para 342	リトの死を、目撃してしまった彼の遺体とその時の衝撃を、ひきずり出されて凍りついてしまったのだ。〈レギンレイヴ〉と共に牽けん引いんされてリュス...	EXACT_VERIFIED	INHERITANCE_TRANSMISSION	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L079	V14	p-006 para 397	そして泣いたら、立っていられなくなる。指揮官の、女王の、強い仮面が崩れてしまう。	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L080	V14	p-006 para 399	戦場に戦お帝うが不在の今こそ──鮮血の女王じよおうが立たぬわけにはいかないのだから。	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L082	V14	p-007 para 75	第一大隊長を、機動打撃群の死神の地位を代行する今は、全プロセッサー、全エイティシックスの事実上の頭となってしまった今は、ライデンの言葉や振舞...	EXACT_VERIFIED	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L102	V14	p-007 para 307	「そなたは、理不尽を糺ただしたいのじゃ。非道を行った相手に、それは非道だと突きつけてやりたいのじゃ。傷ついたのだと知らせたい。痛む心があるの...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L130	V14	p-008 para 45	心ト的ラ外ウ傷マ持ちで作戦投入は不安だから、ではなくて。	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L136	V14	p-008 para 147	「見てのとおり、〈レギオン〉には人格を有する個体がいる。皆みな、元は人間だ。体は失ったが、生前の記憶と人格はそのまま引き継いでいる。──君た...	EXACT_VERIFIED	INHERITANCE_TRANSMISSION	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L146	V14	p-008 para 218	自分は生きているのだから。	EXACT_VERIFIED	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L149	V14	p-008 para 231	「降伏したまえ、バーレイグ。さもなければ君の仲間全員が、動けぬまま死ぬこととなる」	EXACT_VERIFIED	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L150	V14	p-008 para 242	「見くびるな。過去の傷よりも未来を選んだおれの仲間が、憎き悪ずに囚とらわれたお前たちのような亡霊に負けるものか」	EXACT_VERIFIED	CURSE_BINDING_ENCLOSURE	Shin explicitly contrasts choosing the future with being trapped by old wounds.
V14-L156	V14	p-008 para 320	エイティシックスたちも奮戦してはいるが、精神攪乱型ヴァネシード展開下のこの作戦では心ト的ラ外ウ傷マを持たず信頼性の高い〈シリン〉とその駆る〈...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L157	V14	p-008 para 340	わたしの可か愛わいい部下たちを、よくも、傷つけてくれた。	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L159	V14	p-008 para 354	「〈アルメ・フュリウーズ〉、投射！ ──あとはお願い、ライデン！」	EXACT_VERIFIED	BOND_WISH_PROMISE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L161	V14	p-008 para 363	死んでしまったらリトを覚えている者が一人減る。あの明るい少年を、けれどもう、誰の記憶も増やせない少年の、記憶が一つ減ってしまう。	EXACT_VERIFIED	MEMORY_NAMING_DEAD	Memory of the dead gains value because living witnesses can continue adding memory; remembrance is future-facing, not merely archival.
V14-L192	V14	p-008 para 618	『父さんも母さんも戦死した時に、母さんが死んだのはお前のせいだと。だから罪シ咎ンなんて名前なんだと。絞め殺されて、死んだから、死者の声が聞こ...	EXACT_VERIFIED	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L193	V14	p-008 para 622	『兄さんがおれを許してないから、いつまでも傷が残っているんだと思ってた。でもそうじゃなくて、兄さんはおれを憎んでなんかいなくて、おれも兄さん...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L194	V14	p-008 para 629	『許せていなかった。だからまだ傷のままだった。だからそれを衝つかれただけで、あんなにもたやすく堕おちてしまった。兄さんの姿で首を絞められただ...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V14-L195	V14	p-008 para 643	「傷を抉えぐられたら、痛いのは当然です。今はどう思っていても、傷つけられたその時に痛かったことには変わりはないんです。……赦ゆるせてないから...	EXACT_VERIFIED	WOUND_TRAUMA_REMAINDER	Pain recurring does not prove moral failure or failed forgiveness; wounds can remain without dictating identity.
A1-L005	A1	OEBPS/part0063.xhtml ¶020	時々というかむしろしょっちゅう青春してる死神と鮮血女王	PT	ROLE_IDENTITY	Supplemental paratext juxtaposes role titles with frequent ordinary youth; titles are not exhaustive identities.
A1-L043	A1	OEBPS/part0028.xhtml ¶049	兄には、言いたいことが沢山あったのに	NV	MEMORY_NAMING_DEAD	Dream framing preserves unresolved family-memory evidence without converting imagined dead speech into literal testimony.
A1-L054	A1	OEBPS/part0034.xhtml ¶110	家族の名前とか元々住んでいた場所は、ある程度確認できてる	CS/PF	MEMORY_NAMING_DEAD	Recovered archive restores origin information without requiring recovered origin to become present home/identity.
A1-L070	A1	OEBPS/part0049.xhtml ¶007	おいていかないでください	LI/PT	BOND_WISH_PROMISE	Crisis plea survives as later social memory, showing vulnerable language can be retained without remaining crisis-bound.
