retrieval_id	source	locator	anchor	evidence_class	category	status	retrieval_note
T04-V04-NR017	V04	item/xhtml/p-006.xhtml para 750	「家族や故郷のことを覚えていなくても、おれはおれです。それは、今のおれには必要のない記憶ということだと、思うのですが」	CS/IT	ARCHIVE_MEMORY_VS_SELF	NEW_RETRIEVAL	Shin insists personal identity can persist without remembered family/homeland; origin-memory is not required for present selfhood.
T04-V05-NR018	V05	item/xhtml/p-004.xhtml para 271	戦場を故郷に、戦友を同胞に、戦い抜くことを誇りとしたのがエイティシックスだ。	NV	BATTLEFIELD_HOME	NEW_RETRIEVAL	V5 explicitly summarizes the Sector identity system as battlefield-home and comrades-as-kin.
T04-V05-NR019	V05	item/xhtml/p-004.xhtml para 306	国は変わっても、この荒涼は変わらないらしい。戦線後背に非戦闘員は置けない。暮らしていた者がいるなら、その家も故郷も棄すてて移動を余儀なくされる。	NV	DISPLACEMENT	NEW_RETRIEVAL	War repeatedly forces civilians to abandon house and homeland; dispossession is not unique to the Eighty-Six even though their political history is distinct.
T04-V05-NR020	V05	item/xhtml/p-004.xhtml para 784	共和国を、祖国と思ったことはない。	NV/CS	HOMELAND_REFUSAL	NEW_RETRIEVAL	Shin can be Republic-born/citizen-origin without regarding the Republic as homeland.
T04-V05-NR021	V05	item/xhtml/p-007.xhtml para 53	彼自身は祖国の四季と雪を美しいと思いこそすれ、愛着などは持っていない。生まれ育ったこの国に、誇りも帰属意識もありはしない。	NV	HOMELAND_REFUSAL	NEW_RETRIEVAL	A character can be born and raised in a polity without possessing attachment or civic belonging to it.
V06-L036	V06	p-006 ¶800	『帰ってこいと、貴女が命じたのでしょう。それなら待っていてください。帰る場所...	CS/LI	RETURN_ADDRESS	RETAINED_FROM_T01	Shin states that a command to return requires someone to wait and somewhere to return to.
V06-L042	V06	p-006 ¶871	「だから、帰ってきなさい。絶対に。わたしはおいていきませんから、──あなたも...	CS/LI	BILATERAL_RETURN	RETAINED_FROM_T01	Lena promises not to leave him and commands reciprocal return.
V06-L060	V06	p-009 ¶93	今は、同じ場所に帰ってくる。	CS/IT	SHARED_RETURN_PLACE	RETAINED_FROM_T01	The Five presently return to the same place, while the text anticipates later divergence.
V06-L066	V06	p-009 ¶139	「今日は、帰ります。……待っている人がいますから」	CS/LI	WAITING	RETAINED_FROM_T01	Shin leaves recovered blood family because someone elsewhere is waiting; home becomes layered rather than replacement-based.
T04-V06-NR022	V06	item/xhtml/p-009.xhtml para 86	共和国に家族も故郷も奪われたエイティシックスは、休暇だろうと帰る家はない。シンのように移民としての世代が浅くて親類が残っている者もいなくはないが、それもごく少数だ。だから休暇の連中も、帰ったのではなく隣の街に遊びなり買い物なりに行っているのだろう。	NV	NO_HOME	NEW_RETRIEVAL	Leave exposes the concrete absence of a family house to return to, even after legal rescue.
T04-V06-NR023	V06	item/xhtml/p-006.xhtml para 908	『帰ってこいと、貴女あなたが命じたのでしょう。それなら待っていてください。帰る場所がなくなっては、おれたちも帰れない。帰らせてください。　……レーナ』	CS/LI	RETURN_ADDRESS	NEW_RETRIEVAL	Shin makes return relational and spatial: someone must remain so the command to come back has an address.
T04-V06-NR024	V06	item/xhtml/p-009.xhtml para 150	「今日は、帰ります。……待っている人がいますから」	CS/LI	RELATIONAL_HOME	NEW_RETRIEVAL	A waiting person becomes sufficient reason to leave blood relatives and return to the life Shin is currently building.
T04-V07-NR025	V07	item/xhtml/p-007.xhtml para 360	「繰り返しますが、第八六機動打撃群は連邦の部隊。かつてエイティシックスと呼ばれた少年兵たちは、今は連邦市民、連邦軍人です。それをわたしが共和国軍人だからと──……」	CS/PF	LEGAL_CITIZENSHIP	NEW_RETRIEVAL	The former Eighty-Six are now legally Federacy citizens and soldiers; continued identification as Eighty-Six therefore cannot be reduced to current legal status.
T04-V07-NR026	V07	item/xhtml/p-007.xhtml para 421	「あなたは共和国人で、同時におれたちエイティシックスの女王でもあります。それをこういう時に、なかったことにしないでください」	CS/LI	PLURAL_CIVIC_IDENTITY	NEW_RETRIEVAL	Lena is allowed simultaneous Republic identity and Queen relationship identity rather than being forced to choose one belonging.
T04-V07-NR027	V07	item/xhtml/p-007.xhtml para 483	祖父母に出すつもりなのだという。父方の祖父であるノウゼン候と、母方の祖母であるマイカ女候とはシンは定期的に連絡を取り合っていて、まだ一月程度の交流で互いにぎこちなさは残っているけれど、家族といえる関係になれるよう、互いに努力を重ねているようだ。	NV	RECOVERED_KINSHIP	NEW_RETRIEVAL	Shin actively builds relationships with surviving grandparents; blood family can be recovered as an added relation without replacing present attachments.
T04-V07-NR028	V07	item/xhtml/p-008.xhtml para 36	「レーナは大攻勢で、何もかも失ったな。家族も、家も、アネット以外の共和国人の知己も、故郷も共和国さえも」	NV	HOMELAND_LOSS	NEW_RETRIEVAL	Lena has lost family, house, social network, homeland, and effectively the Republic, showing homeland loss can apply to a former privileged citizen too.
T04-V07-NR029	V07	item/xhtml/p-008.xhtml para 114	帰る家なんて、レーナにはない。	NV	NO_HOME	NEW_RETRIEVAL	Lena lacks a literal home to return to even while retaining Republic identity.
V08-L028	V08	p-006.xhtml ¶383	生きてりゃいつか、同じくらいに大切なものが	CS/LI	LOSS_AND_NEW_ANCHOR	RETAINED_FROM_T01	The Fleet Countries argument states that new important attachments can arise after devastating loss.
V08-L034	V08	p-008.xhtml ¶95	戦場以外に居場所がないとも、もう思わない	CS/LI	NONEXCLUSIVE_PLACE	RETAINED_FROM_T01	Shin no longer believes the battlefield is his only place.
V08-L051	V08	p-011.xhtml ¶682	どこかに見つけて。作って	NV/LI	MAKE_HOME	RETAINED_FROM_T01	If no return-place exists, one can find or make one.
V08-L054	V08	p-011.xhtml ¶802	心配かけた。おれは無事だ	CS/LI	ANNOUNCE_RETURN	RETAINED_FROM_T01	Shin reports that he is alive and safe after returning, making return a communicative obligation.
T04-V08-NR030	V08	item/xhtml/p-005.xhtml para 344	反面住民の数は小さな街に対してまるでひしめくようで、広場や公園に林立するプレハブの住居。この十年、後退し続けた戦線後背から逃げてきた大勢の避難民のための。	NV/PF	REFUGEE_DISPLACEMENT	NEW_RETRIEVAL	The Fleet-country setting shows long-duration displacement as a mass civilian condition rather than a purely individual wound.
T04-V08-NR031	V08	item/xhtml/p-006.xhtml para 416	「戦争が始まって国土を放棄することになった時、艦隊司令オヤジは征せい海かい艦かん隊たいに詰めこめるだけの避難民と、どうにかニコルも積んで港を出た。戦争は多分、すぐには終わらねえ。祖国には長いこと帰れなくなるだろうから、だからニコルが……祖国の象徴が一つでも残っていれば皆の心のよりどころになるだろうって」	CS/NV	EXILE_HOMELAND	NEW_RETRIEVAL	Fleet civilians preserve a homeland symbol precisely because physical return may be impossible for years.
T04-V08-NR032	V08	item/xhtml/p-006.xhtml para 424	「俺たちのために、船団国群全体のために祖国を失った俺たちのために、自分たちの誇りをしまいこんでまで譲ってくれた。あの街も故郷。あの街が今は、俺の故郷だ。──そう、得られるんだ。たとえ何もかも失なくしちまっても、生きてりゃいつか、同じくらいに大切なものが。噓うそでもよりどころに、なってくれるものが」	CS/LI	RECONSTRUCTED_HOME	NEW_RETRIEVAL	The Fleet case directly establishes that a later town can become home after territorial loss without erasing the lost homeland.
T04-V08-NR033	V08	item/xhtml/p-005.xhtml para 403	この国は祖を同じくしているだけで、二百年前の先祖の故郷ですらない土地だ。	NV/LI	ANCESTRY_NOT_HOME	NEW_RETRIEVAL	Remote ancestral origin is explicitly insufficient to make a current place home.
T04-V08-NR034	V08	item/xhtml/p-005.xhtml para 406	ましてや祖国と故郷と受け継いだ文化と、……オヤジと呼ぶ艦隊司令も──家族もいるのだろう。……自分たちは持たないものを全て、持っている相手に。	NV	HOMELAND_CULTURE	NEW_RETRIEVAL	Homeland, home and inherited culture are presented as related but distinct losses.
V09-L025	V09	p-006 ¶506	私も必ず、貴方のいる場所に帰ってくるから	CS/LI	RECIPROCAL_RETURN	RETAINED_FROM_T01	Anju promises to return to Dustin, extending reciprocal future beyond Shin/Lena.
T04-V09-NR035	V09	item/xhtml/p-007.xhtml para 61	家族も故郷も、生まれた時にだけ得られるものではない。行きついた先にもつかめるものだ。	NV/LI	RECONSTRUCTED_HOME	NEW_RETRIEVAL	V9 states directly that family and home can be acquired later, not only at birth.
T04-V09-NR036	V09	item/xhtml/p-007.xhtml para 62	失ってもそれに代わる、居場所を見つけろと。辛つらい時に辛つらいと言える場所を。弱った時に寄りかかれる相手を作れと。それは同じ魂の形をした同胞だけではなく、その外にも。	NV/LI	BELONGING_RECONSTRUCTION	NEW_RETRIEVAL	The positive prescription is to find another place/person of support after loss, including beyond same-wound peers.
T04-V09-NR037	V09	item/xhtml/p-006.xhtml para 323	血は繫つながらない。けれど同じ戦場を故郷とする同胞で、同じ誇りを絆きずなとした兄弟のような。	NV	BATTLEFIELD_HOME	NEW_RETRIEVAL	Shared battlefield home can create real kin-like solidarity while still risking enclosure.
T04-V09-NR038	V09	item/xhtml/p-010.xhtml para 70	「鮮血の女王。エイティシックスたち。──我が国に亡命しませんか？」	CS/PF	ASYLUM_EXILE	NEW_RETRIEVAL	The Holy Theocracy offers political asylum, making state affiliation a negotiable legal relation rather than an immutable identity.
T04-V09-NR039	V09	item/xhtml/p-010.xhtml para 348	実質的にはたかが二個連隊を失う程度でしかないのだから、それを取り戻すための戦争なんてできない。ましてエイティシックスは連邦生来の市民ではなく、本気で返還を求めてくれる家族はいない。悲劇の英雄扱いでもてはやす市民どもはひとときくらいは騒ぐだろうが、聖教国へのなんらかの制裁、支援の打ち切り程度でも発表されればそれで忘れてしまうだろう。	NV/IT	CITIZENSHIP_VULNERABILITY	NEW_RETRIEVAL	Eighty-Six are Federacy citizens yet politically imagined as less securely claimable because they are not native-born and lack powerful families.
T04-V10-NR040	V10	item/xhtml/p-027.xhtml para 186	受け継ぐ血の故郷にはたどりついた。何かが違えば故国だったかもしれない場所に、とうとう足を踏み入れた。けれどそれも。	NV/LI	ANCESTRAL_ORIGIN	NEW_RETRIEVAL	Shin reaches the homeland of inherited blood but the narration refuses to equate that arrival with homecoming.
T04-V10-NR041	V10	item/xhtml/p-027.xhtml para 329	帰る場所などどこにもない。	NV	NO_HOME	NEW_RETRIEVAL	The pre-Spearhead genealogy reiterates that some children have no usable home-address even before later relational reconstruction.
T04-V10-NR042	V10	item/xhtml/p-027.xhtml para 332	「もう一度、あの家に帰りたい。……こいつはエイティシックスだ。おれたちとは違って、故郷や家族をちゃんと覚えていられた類たぐいの」	CS	REMEMBERED_HOME	NEW_RETRIEVAL	A comrade who remembers family/home demonstrates that remembered origin can remain a concrete desired destination for some Eighty-Six.
T04-V10-NR043	V10	item/xhtml/p-027.xhtml para 276	生まれ故郷から引き剝がされ、戦場に閉じこめられた挙句、無意味な戦死を強制される。	NV	FORCED_DISPLACEMENT	NEW_RETRIEVAL	The Sector is explicitly described as forced removal from birthplace followed by confinement to war.
V11-L007	V11	人質なんか要らないから。ちゃんと帰ってくるから	EXACT_VERIFIED	04,09,10	INTERNALIZED_RETURN	RETAINED_FROM_T01	Rito says no hostage is necessary because he will return; coercive guarantee is replaced by internal commitment.
V11-L018	V11	帰るところは、ここじゃないから	EXACT_VERIFIED	04,09,10	HOME_DIFFERENTIATION	RETAINED_FROM_T01	Anju distinguishes birthplace from the place she now returns to.
V11-L019	V11	また来よう。次は、おれたちみんなで	EXACT_VERIFIED	02,09,10	VOLUNTARY_MEMORIAL_RETURN	RETAINED_FROM_T01	Shin proposes returning to San Magnolia later with everyone, when return is no longer imposed.
V11-L020	V11	必ず、帰ってきます。ここに	EXACT_VERIFIED	03,09,10	VOLUNTARY_MEMORIAL_RETURN	RETAINED_FROM_T01	Lena explicitly promises to come back to the destroyed place; return becomes chosen memorial relation.
V11-L053	V11	助けられなかった。本当は見捨てたくなかった	EXACT_VERIFIED	03,05,10	GRIEF_WITHOUT_OMNIPOTENCE	RETAINED_FROM_T01	Lena can grieve people she could not save without making their abandonment solely her personal sin.
T04-V11-NR044	V11	item/xhtml/p-014.xhtml para 44	防衛施設の設営が充分でないこと、また共和国単独での国土防衛には戦力が不足していることを理由に、共和国新政府が国民全員を避難民として受け入れるよう連邦に要請。人道的見地から連邦が了承したのである。	NV/PF	REFUGEE_CITIZENSHIP	NEW_RETRIEVAL	Republic citizens collectively become refugees dependent on another polity; citizenship survives while territorial sovereignty/home collapses.
T04-V11-NR045	V11	item/xhtml/p-010.xhtml para 142	膨大な避難民を一度に、全員受け入れる必要が急に生じたから、遠いザンクト・イェデルにまで一部の避難民は送られてきている。移送には連邦内の鉄道を優先して割り当て、ホテルやモーテル、空き室のあるアパートメントが仮の住居を提供して。避難にあたり、荷物を持ち出す余裕もあったそうだけれど。	NV/PF	REFUGEE_INFRASTRUCTURE	NEW_RETRIEVAL	Federacy rail, hotels, apartments and logistics turn refugee protection into material infrastructure rather than abstract hospitality.
T04-V11-NR046	V11	item/xhtml/p-018.xhtml para 310	さよなら。私が生まれた、ただそれだけの国。	CS/LI	ORIGIN_NOT_HOME	NEW_RETRIEVAL	Anju reduces the Republic to country of birth rather than desired home.
T04-V11-NR047	V11	item/xhtml/p-018.xhtml para 311	「さよなら。……私の生きる場所は、生きたいところは、──帰るところは、ここじゃないから」	CS/LI	HOME_DIFFERENTIATION	NEW_RETRIEVAL	Anju explicitly separates birthplace from the place where she wants to live and return.
T04-V11-NR048	V11	item/xhtml/p-018.xhtml para 352	故郷だとは思えない、──それでも祖国である国の最後の姿を。	NV/LI	HOMELAND_NOT_HOME	NEW_RETRIEVAL	Claude can still regard the Republic as homeland/national origin while not experiencing it as home.
T04-V11-NR049	V11	item/xhtml/p-018.xhtml para 551	「必ず、帰ってきます。ここに。あなたと──シンと初めて、会った場所に」	CS/LI	VOLUNTARY_MEMORIAL_RETURN	NEW_RETRIEVAL	Lena converts destroyed homeland into a place she chooses to revisit with Shin rather than the sole place she must belong.
T04-V11-NR050	V11	item/xhtml/p-028.xhtml para 5	滅びてしまった祖国のために、死んでしまった大勢を思い。	NV	HOMELAND_GRIEF	NEW_RETRIEVAL	Lena may mourn a destroyed homeland without treating it as her current home or her personal total responsibility.
V12-L078	V12	p-009 ¶33	帰り道を、教えてほしいの	CS/LI	ROUTE_HOME	RETAINED_FROM_T01	The Fawns ask to be shown the way home; return becomes a politically loaded desire rather than a sentimental abstraction.
T04-V12-NR051	V12	item/xhtml/p-004.xhtml para 223	ましてレーナはエイティシックスの女王だけど、共和国は故郷でその市民は同胞で。	NV/LI	HOMELAND_AND_CIVIC_KIN	NEW_RETRIEVAL	Lena still experiences the Republic as home and its citizens as compatriots even after the V11 destruction and bounded-guilt correction.
T04-V12-NR052	V12	item/xhtml/p-004.xhtml para 543	「レールガン搭載列車砲カンプフ・プファオの追加配備を含め、遅延はない。共和国の避難民から募集した義勇兵についても、第一陣の配備が始まる予定だ。──共和国の裏切りは、まずはその市民が身をもって代償を支払うことになるな」	CS/PF	REFUGEE_MILITARY_INCORPORATION	NEW_RETRIEVAL	Refugees become a recruitable military population; voluntary service must be kept distinct from exploiting displaced people as disposable manpower.
T04-V12-NR053	V12	item/xhtml/p-004.xhtml para 688	「どうか従ってください。貴方あなたたちの故郷を、家族を、この国を守るために」	CS/LI	HOMELAND_MOBILIZATION	NEW_RETRIEVAL	Appeals to homeland/family can motivate civic action but also become rhetoric for obedience.
T04-V12-NR054	V12	item/xhtml/p-009.xhtml para 41	「帰り道を、教えてほしいの。共和国への──私たちの生まれた故郷への」	CS/LI	BIRTH_HOME_RETURN	NEW_RETRIEVAL	The Fawn survivors ask for the road back to the Republic, explicitly calling it the homeland where they were born.
V13-L068	V13	V13 / p-006.xhtml para 11	「這ってでも行くわ。……帰るんだもの」	CS	HOMELAND_RETURN	RETAINED_FROM_T01	Chitri insists on returning despite bodily exhaustion.
V13-L091	V13	V13 / p-007.xhtml para 177	「こんな知らない場所じゃなくて、こんな何もない場所じゃなくて故郷の街に帰りたかった。もう一度おとうさんに、おかあさんに、先生...	CS	PLURAL_RETURN_DESIRE	RETAINED_FROM_T01	Chitri lists family, school, friends, travel, and adulthood as contents of the home she wanted to return to.
V13-L101	V13	V13 / p-007.xhtml para 587	「君の声が聞こえたんだ。帰ってきて、って。……願ってくれたんだろ？」	CS	RETURN_WISH	RETAINED_FROM_T01	Dustin says he heard Anju wish him back.
V13-L115	V13	V13 / p-007.xhtml para 885	「ただし──リュストカマー基地への帰還だけは、許可できません。……ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全...	MI	BLOCKED_PERSON_RETURN	RETAINED_FROM_T01	Lena is formally prohibited from returning to Rustkammer for political/security reasons.
V13-L122	V13	V13 / p-007.xhtml para 980	〈ジャガーノート〉とその処理装置に、一切の後退を許さぬために要塞壁と地雷原とを敷設した、共和国の戦場と同じように。	MI	SECTOR_REPRODUCTION	RETAINED_FROM_T01	The text directly compares the no-retreat fortification to the Republic battlefield architecture.
V13-L124	V13	V13 / p-007.xhtml para 985	平和の故郷に帰ることも。	NV	BLOCKED_HOME_RETURN	RETAINED_FROM_T01	The narration explicitly names peaceful-home return as something physically denied.
T04-V13-NR055	V13	item/xhtml/p-007.xhtml para 592	明けて、一月三日。正午に少し足りない時分に、リュストカマー基地戦区の戦闘は収束を迎えた。──エイティシックスは自分たちの、新たな故郷を守り切った。	NV/LI	NEW_HOME	NEW_RETRIEVAL	Rustkammer is named the Eighty-Six new homeland, a direct textual recognition of acquired collective home.
T04-V13-NR056	V13	item/xhtml/p-006.xhtml para 15	「這はってでも行くわ。……帰るんだもの」	CS/LI	HOMELAND_RETURN	NEW_RETRIEVAL	A displaced survivor insists on returning despite injury; return-to-origin remains a genuine desire for some characters.
T04-V13-NR057	V13	item/xhtml/p-007.xhtml para 199	「こんな知らない場所じゃなくて、こんな何もない場所じゃなくて故郷の街に帰りたかった。もう一度おとうさんに、おかあさんに、先生に、友達に、ダスティンに会いたかった。大人になりたかった。お父さんとお母さんが生まれた、連合王国に行ってみたかった」	CS/LI	BIRTH_HOME_DESIRE	NEW_RETRIEVAL	Chitri wants the ordinary childhood home and people she lost; acquired homes do not retroactively erase lost-origin desire.
T04-V13-NR058	V13	item/xhtml/p-007.xhtml para 657	「君の声が聞こえたんだ。帰ってきて、って。……願ってくれたんだろ？」	CS/LI	RELATIONAL_RETURN	NEW_RETRIEVAL	Dustin attributes survival to hearing the request to come back; relational return remains active inside the political collapse.
T04-V13-NR059	V13	item/xhtml/p-007.xhtml para 1007	「ただし──リュストカマー基地への帰還だけは、許可できません。……ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全軍の敗退、それに伴う生活の悪化、なにより殺さつ戮りく機械に蹂じゆう躙りんされるかもしれないという恐怖。──その捌はけ口ぐちを市民も、軍人たちも探し求めている現状、安全のためにもあなた方を、前線へ戻すことはできないのです」	MI/CS	BLOCKED_RETURN	NEW_RETRIEVAL	The Federation explicitly blocks return to Rustkammer, turning home into something politically/materially inaccessible.
T04-V13-NR060	V13	item/xhtml/p-007.xhtml para 1129	平和の故郷に　帰ることも。	NV/LI	BLOCKED_HOME_RETURN	NEW_RETRIEVAL	The closing movement frames peaceful-home return as one of the futures denied by the no-retreat enclosure.
T04-V13-NR061	V13	item/xhtml/p-006.xhtml para 233	「そうよ家族を守るためよ！　大切な子供を、夫を、両親を、兄弟を戦場でなど死なせない！　そのためのエイティシックスよ！　そのための──人型の豚のレッテルよ！」	CS/LI	EXCLUSIONARY_KINSHIP	NEW_RETRIEVAL	Love of family becomes an argument for transferring danger onto an expendable out-group; belonging can generate exclusion.
T04-V13-NR062	V13	item/xhtml/p-005.xhtml para 448	首都への避難民を、前線に送って補充兵に仕立てるべきだとの議会での提案と、それに賛同する論調の社説にレーナは息を吞のむ。──市民が徴兵される悲劇を避けるためにも、ぜひ徴用は行われるべきだ。どうせ生産属領での自身の義務を放棄した、無駄飯ぐらいの役立たずなのだからそれくらいは役に立つべきだ。	NV/PF	REFUGEE_DISPOSABILITY	NEW_RETRIEVAL	Political proposals to turn refugees into frontline replacements show how displacement can be converted into reduced bargaining power and expendability.
