evidence_id	source	source_locator	prior_locator_id	anchor	quote_state	evidence_class	contradiction_cluster	pressure_direction	source_dossier	analytic_function	note
T14-E011	V01	item/xhtml/p-007.xhtml para 53	T01-V01-M1	「馬ば鹿か野や郎ろう。お前らガキどもを生きて帰らせんのが整備班の仕事だ。そのために必要だってんなら機体なんざどうなろうが構やしねぇし、どんな手間だってかけてやるよ」	EXACT_VERIFIED	CS/MI	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	EXPECTED_RETURN	Maintenance personnel define their job as bringing the children back alive, an important counter-current inside the same system.
T14-E012	V03	mission departure	V03-L019	この先何度でも	EXACT_VERIFIED	CS	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	REPEATED_RETURN	Return is reframed as something that can happen repeatedly rather than a one-time escape.
T14-E013	V05	Ch.3 / `p-006.xhtml ¶759`	V05-L028	撤退は、れっきとした戦術行動です	EXACT_VERIFIED	CS/MI/LI	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T05	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T14-E014	V07	p-008.xhtml ¶120	V07-L025	間違いも無力も後悔も、──その先の決断も	EXACT_VERIFIED	CS/LI	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	PAST_PLUS_DECISION	Past error is retained together with the decisions made after it; return does not require historical purification.
T14-E015	V09	p-006 ¶506	V09-L025	私も必ず、貴方のいる場所に帰ってくるから	EXACT_VERIFIED	CS/LI	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	RECIPROCAL_RETURN	Anju promises to return to Dustin, extending reciprocal future beyond Shin/Lena.
T14-E016	V11	また来よう。次は、おれたちみんなで	V11-L019	EXACT_VERIFIED	EXACT_VERIFIED	02,09,10	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	VOLUNTARY_MEMORIAL_RETURN	Shin proposes returning to San Magnolia later with everyone, when return is no longer imposed.
T14-E017	V13	V13 / p-006.xhtml para 11	V13-L068	「這ってでも行くわ。……帰るんだもの」	EXACT_VERIFIED	CS	C02_RETURN_VS_IRREVERSIBILITY	COUNTEREVIDENCE_OR_BOUNDARY	T01	HOMELAND_RETURN	Chitri insists on returning despite bodily exhaustion.
T14-E018	V03		V03-L035			NV/PF	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T02	COMMAND_CONSTRAINED_WILL	Kiriya retains personality and will yet cannot disobey higher Legion command.
T14-E019	V05	p-005.xhtml ¶930–931	V05-L021	檻の扉は開いた / 何処にも行かないことだって、自由	EXACT_VERIFIED	CS/LI	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	Freedom includes staying by choice once the cage is open; exit-capability matters more than movement itself.
T14-E020	V07	p-004.xhtml ¶22	V07-L002	英雄など今の世に、あるべきではない	EXACT_VERIFIED	CS/MI	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E021	V09	p-001 ¶1	V09-L001	誇り。願い。絆。祈り。あるいは──呪い。	EXACT_VERIFIED	NV/LI	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	The volume’s governing taxonomy explicitly places pride, wish, bond, prayer and curse on a continuum of binding meaning.
T14-E022	V11	massacre p-022 ¶232	V11-L024	隊長じゃなくて俺の役目です	EXACT_VERIFIED	EXACT_VERIFIED	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E023	V13	V13 / p-004.xhtml para 434	V13-L035	「それがもし、呪いみたいになってたらいけないから会いたかったけど。……いまさら会っても、それはそれで呪いになりそうだから──...	EXACT_VERIFIED	CS	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E024	V14	p-002 para 25	V14-L004	「それが、敗戦と非道の責を司令官一人に負わせ、汚名と罪咎ざいきゆうから逃された我らに課される、当然の役目だ。この連邦を護まもらんと散った数多...	EXACT_VERIFIED	EXACT_VERIFIED	C03_PURPOSE_CAPTURE_VS_COMMITMENT	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E025	V02	p-006.xhtml ¶429–434	V02-L028	哀れみの檻	EXACT_VERIFIED	CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	Care can become enclosure when it vetoes competent departure; an early structural cousin of later curse language.
T14-E026	V03	item/xhtml/p-006.xhtml para 54		戦 い 抜 く誇りしか、おれ達にはないから。	EXACT_VERIFIED	PF/CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V03_PRIDE_ONLY
T14-E027	V03	p-006.xhtml ¶054	V03-L012	戦い抜く誇りしか、おれ達にはない	EXACT_VERIFIED	NV	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T03	PRIDE_DIGNITY_IDENTITY	Pride becomes dangerous through exclusivity: pride is all that remains.
T14-E028	V05	Ch.3 / p-006.xhtml ¶682	V05-L023	未来などない。課された役目しかない	EXACT_VERIFIED	CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T12	pride_exclusivity_shika	08, 09, 11, 12
T14-E029	V06	item/xhtml/p-007.xhtml para 314		まだ戦い抜く誇りしかその手にないと、望む力さえまだ持てないというのなら。	EXACT_VERIFIED	PF/CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V03_PRIDE_ONLY
T14-E030	V06	item/xhtml/p-007.xhtml para 381		八六区にいたその時から、自分たちは戦い抜く誇りしか、持っていなかったわけでも。	EXACT_VERIFIED	PF/CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V03_PRIDE_ONLY
T14-E031	V07	Ch.2 / p-007.xhtml ¶375	V07-L013	共和国人で、同時におれたちエイティシックスの女王	EXACT_VERIFIED	CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T11	reclaimed_identity_without_essence	03,10,12
T14-E032	V08	item/xhtml/p-008.xhtml para 95		『そうだな。言うとおり、戦わなくてもいいんだと思う。誇りしかないとはもう言わないし、戦場以外に居場所がないとも、もう思わない。……けど、戦わないと行きたいところに行きつけないし、……それ以上に自分に恥じるようには生きたくない』	EXACT_VERIFIED	PF/CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V08_PRIDE_NOT_ONLY
T14-E033	V09	p-004 ¶313–314	V09-L009	誇りしかない	EXACT_VERIFIED	CS/LI	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T03	PRIDE_DIGNITY_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E034	V13	V13 / p-007.xhtml para 270	V13-L096	あなたの呪いになるね。	EXACT_VERIFIED	CS	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	Chitri knowingly offers herself as a curse; explicit consent changes but does not erase binding force.
T14-E035	V14	p-005 para 353	V14-L054	許したのとも違う。傷から逃れ、憎ぞう悪おから逃れ、そうすることで共和国の呪縛をも脱して、自分の生を生きようとしている。	EXACT_VERIFIED	EXACT_VERIFIED	C04_PRIDE_DIGNITY_VS_ENCLOSURE	COUNTEREVIDENCE_OR_BOUNDARY	T03	CURSE_BINDING_ENCLOSURE	Living one’s own life can involve escaping hatred/curse without forgiving the Republic.
T14-E036	V01	Ch.6 / p-014.xhtml ¶029	V01-L019	守らせるためではなく、死なせるために	EXACT_VERIFIED	NV/MI	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	protection_rescue_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T14-E037	V02	Ch.3 / p-006.xhtml ¶429–434	V02-L028	哀れみの檻	EXACT_VERIFIED	CS/LI	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	obedience_guardianship_control	Retained from canonical V2 locator after contextual rereading for T09.
T14-E038	V03	Ch.8 / p-010.xhtml ¶149	V03-L033	共に行く者どもを支えとすればよい	EXACT_VERIFIED	CS	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	support_dependence_co_bearing	Retained from canonical V2 locator after contextual rereading for T09.
T14-E039	V04	ending / p-012.xhtml ¶151	V04-L035	嗜好品の同情	EXACT_VERIFIED	NV/LI	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T10	paternalism_guardianship	05, 06, 12
T14-E040	V07	Ch.3 / p-008.xhtml ¶96	V07-L022	すぐ線引いて後ずさりしやがって	EXACT_VERIFIED	CS/LI	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	interruptibility_correction	Retained from canonical V2 locator after contextual rereading for T09.
T14-E041	V09	Ch.1 / p-004 ¶527–534	V09-L012	囚われるのをやめるだけ` / `願いみたいなものでしょ	EXACT_VERIFIED	CS/LI	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	interruptibility_correction	Retained from canonical V2 locator after contextual rereading for T09.
T14-E042	V12	item/xhtml/p-008.xhtml para 415		「心配はいりません。……あなたたちは、従うのではなく支えてくれた。求めるのではなく信じてくれた」	EXACT_VERIFIED	PF/CS/LI	C05_SUPPORT_VS_GUARDIANSHIP	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V12_SUPPORT_NOT_OBEY
T14-E043	V13	V13 / `p-004.xhtml` para 27	V13-L033	どうにかしてチトリを探し出して、自爆なんかやめさせて、今度こそ助けてやるべきなんじゃないのか──……!?	EXACT_VERIFIED	CS	C05_SUPPORT_VS_GUARDIANSHIP	COUNTEREVIDENCE_OR_BOUNDARY	T09	interruptibility_correction	Retained from canonical V2 locator after contextual rereading for T09.
T14-E044	V01	Ch.1 / p-005.xhtml ¶211	V01-L005	誤ちを黙認するのは	EXACT_VERIFIED	CS	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T09	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T14-E045	V03	p-011.xhtml ¶396	V03-L039	刺し違えて終わる時を...待ち焦がれていた	EXACT_VERIFIED	NV	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T01	DEATH_WAITING	Shin retrospectively identifies waiting for mutual death with Rei as a specific historical death wish.
T14-E046	V05	Ch.1 / p-004.xhtml ¶759	V05-L012	それは貴方には関係ない	EXACT_VERIFIED	CS	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T09	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T14-E047	V07	Ch.2 / p-007.xhtml ¶355	V07-L011	貴方に蔑まれるいわれはありません	EXACT_VERIFIED	CS/LI	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T09	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T14-E048	V09	Ch.1 / p-004 ¶410–414	V09-L010	戦場の外の、未来` / `信じられない	EXACT_VERIFIED	NV/LI	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T09	trust_without_substitution	Retained from canonical V2 locator after contextual rereading for T09.
T14-E049	V11	人質なんか要らないから。ちゃんと帰ってくるから	V11-L007	EXACT_VERIFIED	EXACT_VERIFIED	04,09,10	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T01	INTERNALIZED_RETURN	Rito says no hostage is necessary because he will return; coercive guarantee is replaced by internal commitment.
T14-E050	V13	V13 / p-007.xhtml para 950	V13-L119	「エイティシックスの女王たるわたしを首都に留め、彼らへの人質にする。これから必ず、憤りや恨みや叛意さえ抱くだろう彼らに、なお...	EXACT_VERIFIED	CS	C06_ROMANCE_FUTURE_VS_POSSESSION	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Lena’s valued relational role is converted into political hostage leverage, showing inheritance/attachment can be externally weaponized.
T14-E051	V01	item/xhtml/p-007.xhtml ¶371	T05-E092	使い捨ての兵器として死ぬまで	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	replaceability_and_expendability	Republic makes the soldier-person disposable rather than making the military role safely substitutable.
T14-E052	V03	Ch.6 / `p-006.xhtml ¶169`	V03-L017	そなたに死なれたくはない	EXACT_VERIFIED	CS	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T14-E053	V05	interlude / `p-009.xhtml ¶333–336`	V05-L042	英雄とはもはや、弱者の戦術だ	EXACT_VERIFIED	NV/LI/MI	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T14-E054	V07	item/xhtml/p-004.xhtml para 22		「英雄など今の世に、あるべきではないというのに」	EXACT_VERIFIED	PF/CS/LI	C07_HEROISM_VS_REDUNDANCY	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V07_HERO_NONE
T14-E055	V07	Ch.1 / `p-004.xhtml ¶22`	V07-L002	英雄など今の世に、あるべきではない	EXACT_VERIFIED	CS/MI	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T14-E056	V09	Ch.1 / `p-004 ¶21–28`	V09-L002	非戦闘職に転向	EXACT_VERIFIED	PF/MI	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T14-E057	V11	final evac `p-026 ¶107` / `死に急ぐような戦いは二度とするな`	V11-L037	EXACT_VERIFIED	CS/LI	04,07,09	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T14-E058	V12	item/xhtml/p-005.xhtml para 516		「一緒に戦うお前たちでもう手一杯だ。……一人きりじゃ戦えない、弱い死神だから」	EXACT_VERIFIED	PF/CS/LI	C07_HEROISM_VS_REDUNDANCY	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V12_WEAK_DEATH_GOD
T14-E059	V13	V13 / `p-003.xhtml` para 311	V13-L012	間に合わせの数合わせ。──つまり体力も素質も、作戦遂行能力も期待しない。ただ立って歩いて、何度か銃爪を引ければいいだけの使い...	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	C07_HEROISM_VS_REDUNDANCY	COUNTEREVIDENCE_OR_BOUNDARY	T05	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T14-E060	V01	Ch.6 / `p-014.xhtml ¶084–090`	V01-L020	存在証明` / `登り方は選べる	EXACT_VERIFIED	CS	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	capability_choice	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E061	V03	Ch.6 / `p-006.xhtml ¶029–030`	V03-L009	今は選んでこの戦場にいる` / `進む道を選べる	EXACT_VERIFIED	NV	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	capability_choice	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E062	V05	Ch.3 / `p-006.xhtml ¶682`	V05-L023	未来などない。課された役目しかない	EXACT_VERIFIED	CS/LI	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E063	V07	post-afterword / `p-011.xhtml ¶46–48`	V07-L057	まだ大人になりきらない少年	EXACT_VERIFIED	NV	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	childhood_development	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E064	V09	Ch.1 / `p-004 ¶410–414`	V09-L010	戦場の外の、未来` / `信じられない	EXACT_VERIFIED	NV/LI	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E065	V11	final evac p-026 ¶105	V11-L036	軍も軍人も、政のための道具だ	EXACT_VERIFIED	CS/LI/MI	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T10	military_political_instrumentality	06,07,12
T14-E066	V13	V13 / `p-003.xhtml` para 493	V13-L020	そう、少女だ。〈仔鹿〉とは全員が、十代後半の少女たちだ。	EXACT_VERIFIED	MI	C08_MILITARY_VOCATION_VS_CONDITIONING	COUNTEREVIDENCE_OR_BOUNDARY	T06	childhood_development	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E067	V01	item/xhtml/p-017.xhtml para 51		出立の時には神父もシンを連れて見送ってくれたけれど、ついに一言たりともかけられなかった。一度として向けられたことのない 怯 えた眼差しが、胸に痛かった。	EXACT_VERIFIED	PF/CS/LI	C09_BODY_FUNCTION_VS_STANDING	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V14_PAINED
T14-E068	V01	item/xhtml/p-014.xhtml ¶193	NEW_DIRECT_SOURCE_RETRIEVAL	「言葉を伝えるものなんだから、動物じゃ実験にならないでしょ。エイティシックスは人間じゃないって言ったくせに、そういう時だけほんと都合がいいのよね。……すぐに結果を出さなきゃいけないからって、被ひ験けん者しやの安全度外視で研究は続いた。父さんはその指揮を執とらされた」	EXACT_VERIFIED	CS/PF	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	bodily_autonomy_consent	Republic dehumanization permits dangerous human experimentation while rhetorically denying the subjects are human.
T14-E069	V02	item/xhtml/p-005.xhtml para 231		「ごめんな。痛かったよな。……おれが死にきれなくてずっと呼んでたせいで、こんなところまで来させたんだよな」	EXACT_VERIFIED	PF/CS/LI	C09_BODY_FUNCTION_VS_STANDING	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V14_PAINED
T14-E070	V02	item/xhtml/p-006.xhtml para 474		「見知った者の現在と過去を 覗 き 見 るのが、わらわが 受 け 継 いだ血の力だからじゃ。……すまぬ。兄君のつけた傷、……痛かったであろ」	EXACT_VERIFIED	PF/CS/LI	C09_BODY_FUNCTION_VS_STANDING	FRESH_DIRECT_CONTROL	DIRECT	fresh_primary_source_control	V14_PAINED
T14-E071	V03	Ch.6 / `p-005.xhtml ¶315`	V03-L005	戦闘神経症で大勢後送	EXACT_VERIFIED	PF/MI	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	medical_care_recovery	Retained from canonical V2 locator after contextual rereading for T07.
T14-E072	V05	Ch.1 / `p-004.xhtml ¶587`	V05-L005	材料はあくまで志願者のみ	EXACT_VERIFIED	PF	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	embodiment_function_standing	Retained from canonical V2 locator after contextual rereading for T07.
T14-E073	V07	Ch.4 / `p-009.xhtml ¶98`	V07-L037	背中の傷跡の治療を始めていた	EXACT_VERIFIED	PF	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	medical_care_recovery	Retained from canonical V2 locator after contextual rereading for T07.
T14-E074	V09	Ch.1 / `p-004 ¶37–43`	V09-L003	〈レギンレイヴ〉...厳しい	PARAPHRASE + ANCHOR	PF/MI	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	embodiment_function_standing	Retained from canonical V2 locator after contextual rereading for T07.
T14-E075	V11	Richard `p-026 ¶427–430` / `ただの子供に戻ったか`	V11-L048	EXACT_VERIFIED	CS/LI	06,09	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	embodiment_function_standing	Retained from canonical V2 locator after contextual rereading for T07.
T14-E076	V13	item/xhtml/p-004.xhtml ¶305	NEW_DIRECT_SOURCE_RETRIEVAL	細胞の機能を利用してニトログリセリンを合成する以上、機能停止した死体の細胞では役に立たない。そうと知っていたとしても、軍人としての訓練も主の盾としての訓練もしていないただの少女には、死を選ぶのはなるほど、恐ろしい決断であったはずだ。	EXACT_VERIFIED	NV/LI	C09_BODY_FUNCTION_VS_STANDING	COUNTEREVIDENCE_OR_BOUNDARY	T07	bodily_autonomy_consent	Self-killing before weapon activation is recognized as a terrifying choice, not an easy moral requirement.
T14-E077	V01	Ch.6 / p-014.xhtml ¶084–090	V01-L020	存在証明` / `登り方は選べる	EXACT_VERIFIED	CS	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T09	decision_refusal_self_government	Retained from canonical V2 locator after contextual rereading for T09.
T14-E078	V03	Ch.6 / p-006.xhtml ¶029–030	V03-L009	今は選んでこの戦場にいる` / `進む道を選べる	EXACT_VERIFIED	NV	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T09	decision_refusal_self_government	Retained from canonical V2 locator after contextual rereading for T09.
T14-E079	V05	Ch.2 / p-005.xhtml ¶930–931	V05-L021	檻の扉は開いた` / `何処にも行かないことだって、自由	EXACT_VERIFIED	CS/LI	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T09	decision_refusal_self_government	Retained from canonical V2 locator after contextual rereading for T09.
T14-E080	V07	item/xhtml/p-009.xhtml ¶259	NEW_DIRECT_SOURCE_RETRIEVAL	化物でもなければ、英雄でもない。ここにいるのは多少歪いびつなだけで誰も彼もが未熟で愛らしい、十代のまだ子供ばかりで。	EXACT_VERIFIED	NV	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T07	child_body_development	Heroic competence does not erase developmental youth.
T14-E081	V09	Ch.1 / `p-004 ¶136`	V09-L007	楽しいですね、学生というのは	EXACT_VERIFIED	CS/LI	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T06	education_capability	Retained from canonical deep-reading locator after contextual rereading for T06.
T14-E082	V11	march p-026 ¶249–268	V11-L041	小休止を取るだけの余裕は、充分にあります	EXACT_VERIFIED	CS/BA	C10_CHILD_AGENCY_VS_ADULT_PROTECTION	COUNTEREVIDENCE_OR_BOUNDARY	T10	capability_scaffolding_infrastructure	03,07
