evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T05-E017	V05	epilogue / `p-010.xhtml ¶40–48`	V05-L048	笑いながら死に急ぐ狂気` / `無意味に、死にに	EXACT_VERIFIED	NV/LI	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E018	V06	`p-005 ¶150` / `その〈シリン〉を戦場に送りこみ、消耗品として使い捨てるのを、彼女の主は本心で...`	V06-L025	EXACT_VERIFIED	BA/SI	Vika preserves answer/refusal space rather than issuing a direct command	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E019	V07	Ch.1 / `p-004.xhtml ¶22`	V07-L002	英雄など今の世に、あるべきではない	EXACT_VERIFIED	CS/MI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E020	V07	Ch.1 / `p-004.xhtml ¶23`	V07-L003	代えの利く部品であることこそが、兵のあるべき姿	EXACT_VERIFIED	CS/MI	replaceability_and_expendability	Retained from canonical volume locator after contextual rereading for T05.
T05-E021	V07	Ch.2 / `p-007.xhtml ¶363`	V07-L012	おれは家畜でもなければ無人機の部品でもない	EXACT_VERIFIED	CS/LI	replaceability_and_expendability	Retained from canonical volume locator after contextual rereading for T05.
T05-E022	V07	Ch.2 / `p-007.xhtml ¶391`	V07-L014	英雄であり続けなければならぬ部隊	EXACT_VERIFIED	CS/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E023	V07	Ch.4 / `p-009.xhtml ¶233`	V07-L039	化物でもなければ、英雄でもない	EXACT_VERIFIED	NV/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E024	V08	prologue / `p-002.xhtml ¶58`	V08-L003	子供を犠牲にするような国は	EXACT_VERIFIED	CS/MI	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E025	V08	Ch.1 / `p-004.xhtml ¶3`	V08-L007	適切な訓練と教育が不可欠	EXACT_VERIFIED	NV/MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E026	V08	Ch.2 / `p-005.xhtml ¶89`	V08-L017	機動打撃群は生還させる	EXACT_VERIFIED	CS/MI	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E027	V08	Ch.4 / `p-008.xhtml ¶233`	V08-L036	誰も犠牲にならない道を	EXACT_VERIFIED	NV/LI	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E028	V08	Ch.5 / `p-011.xhtml ¶300`	V08-L042	それほど長い間、頼りきっていた	EXACT_VERIFIED	NV/LI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E029	V08	Ch.5 / `p-011.xhtml ¶317`	V08-L043	必ずお前が持って帰れ	EXACT_VERIFIED	CS/LI	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E030	V08	Ch.5 / `p-011.xhtml ¶326`	V08-L044	その役目を僕が継ぐ	EXACT_VERIFIED	CS/LI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E031	V09	Ch.1 / `p-004 ¶21–28`	V09-L002	非戦闘職に転向	EXACT_VERIFIED	PF/MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E032	V09	Ch.1 / `p-004 ¶90–94`	V09-L004	ずいぶん動揺してると思う	EXACT_VERIFIED	CS/BA	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E033	V09	Ch.1 / `p-004 ¶93`	V09-L005	無茶を言ったと思ったら、指摘してくれ	EXACT_VERIFIED	CS/MI	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E034	V09	Ch.1 / `p-004 ¶520–524`	V09-L011	僕はもう、戦えない` / `でも、死ななくていい	EXACT_VERIFIED	CS/LI	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E035	V09	Ch.2 / `p-006 ¶130`	V09-L024	セオのような犠牲を、これ以上は増やせない	EXACT_VERIFIED	CS	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E036	V09	Ch.3 / `p-008 ¶349–359`	V09-L031	一度の過ちで兵を切り捨てては	EXACT_VERIFIED	CS/MI	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E037	V09	Ch.3 / `p-008 ¶359`	V09-L032	その時にはおれが取り返します	EXACT_VERIFIED	CS/MI	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E038	V09	Ch.4 / `p-010 ¶378–394`	V09-L037	ヒーロー役まで、期待されんのはまっぴらだ	EXACT_VERIFIED	CS/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E039	V09	Ch.4 / `p-010 ¶407–415`	V09-L038	不満はわかる` / `身を賭してやる必要はない	EXACT_VERIFIED	CS/MI	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E040	V09	Ch.4 / `p-010 ¶446`	V09-L039	戦場で生きて戦場で死ぬのが──貴方たちの唯一の、運命	EXACT_VERIFIED	CS/LI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E041	V09	Ch.4 / `p-010 ¶450–452`	V09-L040	貴方たちは英雄なんかじゃない	EXACT_VERIFIED	CS/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E042	V11	massacre `p-022 ¶238` / `任せる`	V11-L025	EXACT_VERIFIED	CS/LI	02,04,12	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E043	V11	final evac `p-026 ¶107` / `死に急ぐような戦いは二度とするな`	V11-L037	EXACT_VERIFIED	CS/LI	04,07,09	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E044	V12	Ch.1 / `p-004 ¶588`	V12-L018	施設は直せるけど、失われた命は取り返しがつかない	EXACT_VERIFIED	CS	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E045	V12	Ch.1 / `p-004 ¶616`	V12-L020	今度こそなれるんだな。英雄って奴に	EXACT_VERIFIED	CS	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E046	V12	Ch.2 / `p-005 ¶516`	V12-L029	一人きりじゃ戦えない、弱い死神だから	EXACT_VERIFIED	CS/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E047	V12	Ch.4 / `p-007 ¶383`	V12-L054	英雄など連邦軍には必要ない	EXACT_VERIFIED	NV/LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E048	V13	V13 / `p-003.xhtml` para 65	V13-L010	「そのセンティス・ヒストリクス線が、補強作業が完了して本陣地になったから。これ以上後退はしたくないけど、だからって後退する先...	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E049	V13	V13 / `p-003.xhtml` para 311	V13-L012	間に合わせの数合わせ。──つまり体力も素質も、作戦遂行能力も期待しない。ただ立って歩いて、何度か銃爪を引ければいいだけの使い...	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E050	V13	V13 / `p-006.xhtml` para 21	V13-L069	『ぎりぎりまで、そうしなくて済むようにするわ。でも、必要ならそれを命じる』	EXACT_VERIFIED_PRIMARY_LOCATOR	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E051	V13	V13 / `p-006.xhtml` para 23	V13-L070	『覚えておきなさい。あなたたちは、私の命令で撃つの。あなたたちは手足で、頭は私。銃爪の責任は私にあるわ。尉官風情が負うものじ...	EXACT_VERIFIED_PRIMARY_LOCATOR	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E052	V13	V13 / `p-007.xhtml` para 26	V13-L081	──一人じゃ戦えない、弱い死神だから。	EXACT_VERIFIED_PRIMARY_LOCATOR	LI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E053	V13	V13 / `p-007.xhtml` para 38	V13-L082	『今度こそ聞こえていますね、〈アンダーテイカー〉。ヴラディレーナ・ミリーゼ大佐、指揮に復帰します。──心配かけました、シン』	EXACT_VERIFIED_PRIMARY_LOCATOR	CS	command_succession_and_delegation	Retained from canonical volume locator after contextual rereading for T05.
T05-E054	V13	V13 / `p-007.xhtml` para 885	V13-L115	「ただし──リュストカマー基地への帰還だけは、許可できません。……ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全...	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E055	V13	V13 / `p-007.xhtml` para 900	V13-L117	安易に非道に走るのは怠慢だ。貴族の、指揮官の自分たちには許されない思考停止だ。	EXACT_VERIFIED_PRIMARY_LOCATOR	IT	command_succession_and_delegation	Retained from canonical volume locator after contextual rereading for T05.
T05-E056	V13	V13 / `p-007.xhtml` para 974	V13-L121	「連邦本土から戦場が切り離される。西部戦線が──連邦の全戦線が、八六区になります！」	EXACT_VERIFIED_PRIMARY_LOCATOR	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E057	V13	V13 / `p-007.xhtml` para 980	V13-L122	〈ジャガーノート〉とその処理装置に、一切の後退を許さぬために要塞壁と地雷原とを敷設した、共和国の戦場と同じように。	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E058	V13	V13 / `p-007.xhtml` para 983	V13-L123	機動打撃群は、以降、リュストカマー戦区を死守。部隊の後退はこれを許可しない。	EXACT_VERIFIED_PRIMARY_LOCATOR	MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E059	V13	V13 / `p-007.xhtml` para 985	V13-L124	平和の故郷に帰ることも。	EXACT_VERIFIED_PRIMARY_LOCATOR	NV	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E060	V13	V13 / `p-007.xhtml` para 986	V13-L125	彼らを切り捨てた者たちのために、命を賭しても〈レギオン〉の侵攻を防げと命じられて、けれど戦場の兵士たちには最早、命じられた戦...	EXACT_VERIFIED_PRIMARY_LOCATOR	NV	failure_role_loss_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E061	V13	V13 / `p-007.xhtml` para 987	V13-L126	征路を〈レギオン〉に、退路を人の悪意に鎖される。	EXACT_VERIFIED_PRIMARY_LOCATOR	NV	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E062	V13	V13 / `p-007.xhtml` para 988	V13-L127	そのありかたは共和国で、八六区と呼ばれた戦場と何一つも変わらなかった。	EXACT_VERIFIED_PRIMARY_LOCATOR	NV	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E063	V14	`p-006` / para 146	V14-L064	シンは、生まれる時代をとことん間違えた不世出の英雄の器だと、八六区でかつて思った。それはやはり、正しかったのだろう。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E064	V14	`p-006` / para 149	V14-L065	……本当はそんな柄でもない、弱虫バカのくせに。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E065	V14	`p-006` / para 397	V14-L079	そして泣いたら、立っていられなくなる。指揮官の、女王の、強い仮面が崩れてしまう。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	command_succession_and_delegation	Retained from canonical volume locator after contextual rereading for T05.
T05-E066	V14	`p-006` / para 399	V14-L080	戦場に戦お帝うが不在の今こそ──鮮血の女王じよおうが立たぬわけにはいかないのだから。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E067	V14	`p-007` / para 73	V14-L081	とめてくれるシンがいたから、シンがとめてくれるとわかっていたから、ライデンは好き放題に連邦を憎めた。どれだけ自分が憎んでも、どれほど悪意を吐...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E068	V14	`p-007` / para 75	V14-L082	第一大隊長を、機動打撃群の死神の地位を代行する今は、全プロセッサー、全エイティシックスの事実上の頭となってしまった今は、ライデンの言葉や振舞...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
T05-E069	V14	`p-007` / para 80	V14-L083	己の怒りで、憎ぞう悪おで。──機動打撃群全体を汚染しないために懸命に自制していたのだ。エイティシックスに連邦を、人類を滅ぼさせないために。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E070	V14	`p-007` / para 86	V14-L084	ああ、本当だ。人間なんて誰でもバカになるな。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E071	V14	`p-007` / para 89	V14-L085	クーデターなんて所詮、転てん嫁かでしかなかったのだ。リトを殺されて悪魔に仕立てあげられて、けれどそいつら自身には向けようもない憤ふん懣まんと...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E072	V14	`p-007` / para 90	V14-L086	強大と膨大を極めた〈レギオン〉を相手には晴らせない劣等感と恐怖を、弱くて数も少ないエイティシックスに転てん嫁かした共和国の白ブタと、同じ振舞...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E073	V14	`p-007` / para 106	V14-L087	「とりあえず、シンの代わりを務めようとかは考えなくていいよ、ライデン」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E074	V14	`p-007` / para 110	V14-L088	というか誰であったって、誰かの代わりは完璧には務まらないのだから。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E075	V14	`p-008` / para 21	V14-L127	本来、使い捨ての無人機の部品である〈シリン〉たちは、だからこそこんな特攻に起用されれば喜んで帰ってこなくなる。〈大君主〉作戦に向けて一人の戦...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	replaceability_and_expendability	Retained from canonical volume locator after contextual rereading for T05.
T05-E076	V14	`p-008` / para 23	V14-L128	戦争を終わらせねばならないのだから、戦争が終わって、市民どもが反省して、そうしてリトの名誉が回復されるのをきちんと見届けねばならないのだから...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E077	V14	`p-008` / para 29	V14-L129	「俺はあんたを信頼してるぜ、レーナ。だからあんたも信じてくれよ」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E078	V14	`p-008` / para 45	V14-L130	心ト的ラ外ウ傷マ持ちで作戦投入は不安だから、ではなくて。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E079	V14	`p-008` / para 46	V14-L131	「あたしは射撃得意だからこっちの配置、ってことだよね」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E080	V14	`p-008` / para 49	V14-L132	小柄なクレナに合わせて少し低い位置で、ハイタッチを交わした。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E081	V14	`p-008` / para 254	V14-L151	「これまで長ス距コ離ル砲ピ兵オ型ンの位置を見抜いてきたのはシンだと──シンを封殺したからにはこちらは砲陣地も進軍路もわからないと思っているの...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E082	V14	`p-008` / para 265	V14-L152	恐怖のあまりにひきつった顔で、それでもアンジュは笑った。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E083	V14	`p-008` / para 271	V14-L153	「お前たちは人間じゃないから怖くない！ 誰が、お前たちなんかに怯おびえるか！」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E084	V14	`p-008` / para 283	V14-L154	一六五ミリ。工兵用の障害物破砕砲デモリッションガンが猛然と咆ほう哮こう。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E085	V14	`p-008` / para 304	V14-L155	当然、装甲すらしていない投カ射プ外ラ装リ塔スと、極めて脆ぜい弱じやくな蝶ちようの翅はねなどは。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E086	V14	`p-008` / para 320	V14-L156	エイティシックスたちも奮戦してはいるが、精神攪乱型ヴァネシード展開下のこの作戦では心ト的ラ外ウ傷マを持たず信頼性の高い〈シリン〉とその駆る〈...	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E087	V14	`p-008` / para 340	V14-L157	わたしの可か愛わいい部下たちを、よくも、傷つけてくれた。	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E088	V14	`p-008` / para 347	V14-L158	「見つけた！ ──警戒管制型ラーベだ！」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E089	V14	`p-008` / para 354	V14-L159	「〈アルメ・フュリウーズ〉、投射！ ──あとはお願い、ライデン！」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E090	V14	`p-008` / para 415	V14-L168	「ミリーゼ大佐の読み通りか。精神攪乱型ヴァネシードどもが引いていく」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E091	V14	`p-008` / para 426	V14-L169	「エマ中尉、よく前に出たわ。よく戦った」	EXACT_VERIFIED	NV/CS/MI/BA as classified in V14 deep reading	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E092	V01	item/xhtml/p-007.xhtml ¶371		使い捨ての兵器として死ぬまで	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	replaceability_and_expendability	Republic makes the soldier-person disposable rather than making the military role safely substitutable.
T05-E093	V01	item/xhtml/p-008.xhtml ¶168		エイティシックスなどのためにそんな手間をかけるのは	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	distributed_capability_and_military_ethics	Logistics refusal shows support systems deliberately deny force preservation.
T05-E094	V01	item/xhtml/p-018.xhtml ¶11		先に行け。ライデン、その間の指揮は任せる	EXACT_VERIFIED_DIRECT_SOURCE	CS/MI	command_succession_and_delegation	Even the Sector-era unit contains practical delegation despite systemic abandonment.
T05-E095	V02	item/xhtml/p-004.xhtml ¶72		ノルトリヒト戦隊は再編はおろか一人の	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	replaceability_and_expendability	Giad initially fails to reproduce Reginleif competence; elite force generation remains brittle.
T05-E096	V04	item/xhtml/p-006.xhtml ¶247		戦隊長に何かあれば副長が引き継ぐことになる	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	command_succession_and_delegation	Formal command succession exists as a redundancy mechanism.
T05-E097	V05	item/xhtml/p-009.xhtml ¶342		量産して幾らでも代替がきく	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	replaceability_and_expendability	Artificial replaceability can expand military options while encouraging moral discounting of particular subjects.
T05-E098	V06	item/xhtml/p-009.xhtml ¶21		ノウゼンの索敵能力は、実際貴重だからな	EXACT_VERIFIED_DIRECT_SOURCE	CS/MI	distributed_capability_and_military_ethics	Institution recognizes Shin as a valuable single-point capability and manages load around it.
T05-E099	V10	item/xhtml/p-027.xhtml ¶52		一人も余さずその名と心を抱え、その行き着く果てまで連れていってくれる、彼らの死神	EXACT_VERIFIED_DIRECT_SOURCE	NV/LI	hero_identity_and_exceptionalism	Undertaker concentrates memory, death work and symbolic continuity in one survivor.
T05-E100	V10	item/xhtml/p-025.xhtml ¶251		周りの誰もが死んでいなくなったとしても、シンはきっと、一人きりでも戦いぬく	EXACT_VERIFIED_DIRECT_SOURCE	NV/SI	distributed_capability_and_military_ethics	Historical Shin is imagined as capable of continuing alone; V7-V14 later dismantle this as a desirable organizational model.
T05-E101	V11	item/xhtml/p-026.xhtml ¶4		新たに最後尾となる部隊が残置部隊として敵追撃部隊との戦闘を引き継ぐ	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	command_succession_and_delegation	Alternating withdrawal turns rearguard risk into a rotating function rather than a fixed sacrificial caste.
T05-E102	V11	item/xhtml/p-026.xhtml ¶7		交代要員としてザイシャとオリヴィアも待機	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	distributed_capability_and_military_ethics	Information and command support include explicit alternates for long-duration operations.
T05-E103	V14	item/xhtml/p-007.xhtml ¶27		大隊長である彼が不在の間は副長のライデンがその職務を代行する	EXACT_VERIFIED_DIRECT_SOURCE	NV/MI	command_succession_and_delegation	The strongest field test of command succession: Shin is unavailable and command continues.
T05-E104	ALTER1	OEBPS/part0013.xhtml ¶21		誰にも頼らず戦えないような子は生き残れないわ	EXACT_VERIFIED_DIRECT_SOURCE	CS/MI	failure_role_loss_and_recovery	Forced self-reliance under abandonment is a negative control for healthy distributed competence.
T05-E105	ALTER1	OEBPS/part0027.xhtml ¶44		次こそは、お前たちの手は必要ない	EXACT_VERIFIED_DIRECT_SOURCE	CS/MI	distributed_capability_and_military_ethics	Adults name the proper institutional goal: make persecuted child exceptionalism progressively unnecessary.
