evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	families	analytic_function	note
T12-E012	V02	Ch.4 / p-007.xhtml ¶376–387	V02-L034	名前、聞かなければよかったな` / `お人好しの死神	EXACT_ANCHOR	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 09, 12
T12-E013	V02	Ch.4 / p-007.xhtml ¶546–548	V02-L041	少佐は元気でやってんのかね	EXACT_VERIFIED	CS	ADDRESS_FORMS	address_register_command_request	02, 10, 12
T12-E014	V02	Ch.5 / p-008.xhtml ¶326	V02-L045	そなたは、キリと同じじゃ	EXACT_VERIFIED	CS	ADDRESS_FORMS	address_register_command_request	02, 14
T12-E015	V02	Interlude / p-009.xhtml ¶045–062	V02-L049	Republic military has never seen Legion; `亡霊の軍勢が、帰還する	EXACT_ANCHOR	NV/MI	MILITARY_RETURN	return_operational_kikan_seikan	05, 07, 11
T12-E016	V02	Interlude / p-009.xhtml ¶081–089	V02-L050	鮮血の女王` calls all Processors	EXACT_ANCHOR	BA/MI	QUEEN_TITLE	lena_queen_title_role_address	03, 05, 07
T12-E017	V03	epigraph / p-001.xhtml ¶001–002	V03-L001	それが誇りだと` / `それ以外の何も	EXACT_VERIFIED	NV/PT	PRIDE	pride_exclusivity_shika	01,09,12
T12-E018	V03	Ch.6 / p-006.xhtml ¶046	V03-L011	帰る故郷はなく、守る家族もなく	EXACT_VERIFIED	NV	RETURN_KAERU;HOME_FURUSATO	home_furusato	04,09
T12-E019	V03	Ch.6 / p-006.xhtml ¶054	V03-L012	戦い抜く誇りしか、おれ達にはない	EXACT_VERIFIED	NV	PRIDE;EXCLUSIVITY_SHIKA	pride_exclusivity_shika	01,09
T12-E020	V03	Ch.6 / p-006.xhtml ¶147	V03-L016	目的もなく帰る地もなく、誇りだけに縋って	EXACT_VERIFIED	CS	RETURN_KAERU;PRIDE	return_kaeru_homeward_recipient	02,04,09
T12-E021	V03	Ch.6 / p-006.xhtml ¶169	V03-L017	そなたに死なれたくはない	EXACT_VERIFIED	CS	ADDRESS_FORMS	address_register_command_request	02,04
T12-E022	V03	Ch.8 / p-009.xhtml ¶089	V03-L021	必ず帰れ	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	04,07,09
T12-E023	V03	Ch.8 / p-009.xhtml ¶326	V03-L022	生きて帰ってくるつもりもなかった	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	02,04
T12-E024	V03	Ch.8 / p-010.xhtml ¶116	V03-L030	手に入れた“自由”` / `あまりにも大きな空虚	EXACT_VERIFIED	NV	FREEDOM	freedom_rights_illusion_normative_lexicon	02,06,09
T12-E025	V03	Ch.8 / p-010.xhtml ¶149	V03-L033	共に行く者どもを支えとすればよい	EXACT_VERIFIED	CS	TOGETHER_TOMONI;SUPPORT	together_tomoni_elevated_shared_burden	04,09
T12-E026	V03	Ch.9 / p-011.xhtml ¶179	V03-L034	もうこれしかないからだ	EXACT_VERIFIED	NV	EXCLUSIVITY_SHIKA;FUTURE_TIME	pride_exclusivity_shika	04,11
T12-E027	V03	Ch.9 / p-011.xhtml ¶224	V03-L035	人格と意志` / `上位指揮官機の命令には背けない	EXACT_VERIFIED	NV/PF	COMMAND_REQUEST;PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08,11,12
T12-E028	V03	Ch.9 / later collapse	V03-L041	頼ることもできぬほど...独りにしたのは、もう昔	EXACT_VERIFIED	CS	RELY;FUTURE_TIME	support_obey_trust_rely_contrast	02,04
T12-E029	V03	cemetery / p-014.xhtml ¶072–076	V03-L050	帰る場所も、行きたいところも。...守るものも	EXACT_VERIFIED	CS/NV	RETURN_KAERU	return_kaeru_homeward_recipient	02,09
T12-E030	V03	cemetery / p-014.xhtml ¶089	V03-L052	また来る。...見たことのないものを伝えに	EXACT_VERIFIED	CS	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	02,09,13
T12-E031	V03	reunion / p-015.xhtml ¶028–037	V03-L055	追いつきましたよ` / `一緒に戦います	EXACT_VERIFIED	CS	TOGETHER_ISSHO	together_issho_ordinary_shared_proximity	03,10,13
T12-E032	V04	Ch.1 / p-005.xhtml ¶600	V04-L010	一緒に戦う──のでしょう？	EXACT_VERIFIED	CS	TOGETHER_ISSHO	together_issho_ordinary_shared_proximity	03, 10
T12-E033	V04	Ch.2 / p-006.xhtml ¶639	V04-L015	先に進めぬ、ではない。戻れぬ、であろ。	EXACT_VERIFIED	CS/LI	RETURN_MODORU	return_modoru_state_reentry_recovery	04, 09, 12
T12-E034	V04	Ch.2 / p-006.xhtml ¶737	V04-L017	豚の鳴き声に、レーナは耳を傾けないでしょう？	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	02, 05, 12
T12-E035	V04	Ch.4 / p-008.xhtml ¶98	V04-L020	共和国の冷酷まで、大佐が演じる必要はありません	EXACT_VERIFIED	CS	ADDRESS_FORMS	address_register_command_request	02, 03, 10
T12-E036	V04	mass Shepherds / p-009.xhtml ¶61	V04-L022	自己同一性	EXACT_VERIFIED	PF/NV/LI	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08, 11, 12
T12-E037	V04	mass Shepherds / p-009.xhtml ¶67	V04-L023	人格という夾雑物	EXACT_VERIFIED	NV/LI	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08, 11, 12
T12-E038	V04	Phönix fight / p-009.xhtml ¶469	V04-L027	帰ってきてください	EXACT_VERIFIED	CS	RETURN_KAERU;COMMAND_REQUEST	return_kaeru_homeward_recipient	03, 10
T12-E039	V04	Phönix fight / p-009.xhtml ¶474	V04-L028	必ず、ここへ。……帰ってきてください	EXACT_VERIFIED	CS/LI	RETURN_KAERU;COMMAND_REQUEST	return_kaeru_homeward_recipient	03, 10, 12
T12-E040	V04	Phönix / p-009.xhtml ¶566	V04-L030	人格を持たない高機動型	EXACT_VERIFIED	NV/PF/LI	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08, 11, 12
T12-E041	V05	Ch.1 / p-004.xhtml ¶748	V05-L011	祖国を、家族を奪い去ったのは俺だ	EXACT_VERIFIED	CS	HOMELAND_SOKOKU	homeland_sokoku	04, 07
T12-E042	V05	Ch.1 / p-004.xhtml ¶789	V05-L014	還りたいと。……ずっと泣いてる	EXACT_VERIFIED	CS/PF	RETURN_KANRU	return_metaphysical_kanru	07, 08, 11
T12-E043	V05	Ch.2 / p-005.xhtml ¶930–931	V05-L021	檻の扉は開いた` / `何処にも行かないことだって、自由	EXACT_VERIFIED	CS/LI	FREEDOM	freedom_rights_illusion_normative_lexicon	03, 06, 09, 12
T12-E044	V05	Ch.3 / p-006.xhtml ¶682	V05-L023	未来などない。課された役目しかない	EXACT_VERIFIED	CS/LI	EXCLUSIVITY_SHIKA;FUTURE_TIME;ROLE_DESTINY	pride_exclusivity_shika	08, 09, 11, 12
T12-E045	V05	Ch.4 / p-007.xhtml ¶59–60	V05-L030	傍にいてくれるか` / `おいて逝かないでくれ	EXACT_VERIFIED	CS/NV/LI	COMMAND_REQUEST	address_register_command_request	04, 07, 10
T12-E046	V05	Ch.4 / p-007.xhtml ¶186	V05-L032	いつか幸せになりたいくせに	EXACT_VERIFIED	CS/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	02, 09, 10, 12
T12-E047	V06	p-004 ¶243	V06-L008	目の前のリュドミラは、先の戦闘で死んだリュドミラと同じ疑似人格、同じ戦闘経験...	EXACT_VERIFIED	PF/NV	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	Recreated Lerche raises continuity/replacement problem
T12-E048	V06	p-004 ¶264	V06-L009	「〈シリン〉一番機〈レルヒェ〉、このとおり戻って参りました。これよりまた連合...	EXACT_VERIFIED	CS/LI	RETURN_MODORU;FUTURE_TIME	return_modoru_state_reentry_recovery	Lerche distinguishes living humans from beings made for war
T12-E049	V06	p-004 ¶518	V06-L015	「信じたいんです。この世界にはまだ、誰もが幸せに生きられる世界に、変われる可...	EXACT_VERIFIED	CS/LI	TRUST;FUTURE_TIME	support_obey_trust_rely_contrast	Lena chooses belief in the possibility of a world where all can live happily
T12-E050	V06	p-004 ¶724	V06-L018	レーナの歩調に合わせているから、いつもよりも少しだけ遅い。普段は足音を立てず...	EXACT_VERIFIED	BA/VI	ADDRESS_FORMS	address_register_command_request	Shin physically adjusts walking pace to Lena
T12-E051	V06	p-004 ¶749	V06-L019	そう、傷だろう。レーナたち共和国が刻み込んだ、これ以上ないくらいに深い傷だ。...	EXACT_VERIFIED	NV/IT	ADDRESS_FORMS	address_register_command_request	Lena recognizes a wound can remain part of Shin and cannot simply be removed
T12-E052	V06	p-005 ¶322	V06-L029	「貴女がおれに頼んだことで本当に無茶だったものなんてそうなかったろう、……リ...	EXACT_VERIFIED	LI/BA	RELY;ADDRESS_FORMS	support_obey_trust_rely_contrast	Shin resumes childhood address with Annette
T12-E053	V06	p-006 ¶800	V06-L036	『帰ってこいと、貴女が命じたのでしょう。それなら待っていてください。帰る場所...	EXACT_VERIFIED	CS/LI	RETURN_KAERU;WAIT_LEAVE_BEHIND;COMMAND_REQUEST;ADDRESS_FORMS	return_kaeru_homeward_recipient	Shin says return requires Lena to remain as a place/person of return
T12-E054	V06	p-006 ¶871	V06-L042	「だから、帰ってきなさい。絶対に。わたしはおいていきませんから、──あなたも...	EXACT_VERIFIED	CS/LI	RETURN_KAERU;COMMAND_REQUEST;ADDRESS_FORMS	return_kaeru_homeward_recipient	Lena makes reciprocal return command/promise
T12-E055	V06	p-007 ¶666	V06-L047	必ず帰ると。話をしようと。傷つけたのを謝ることさえ自分はできていないのに、こ...	EXACT_VERIFIED	NV	RETURN_KAERU	return_kaeru_homeward_recipient	Survival is tied to unfinished promises, conversation and apology
T12-E056	V06	p-007 ¶674	V06-L048	レーナが笑ってくれるような、生き方をしたい。	EXACT_VERIFIED	NV/LI	COMMAND_REQUEST;ADDRESS_FORMS	address_register_command_request	Shin wants a way of living that lets Lena smile
T12-E057	V06	p-007 ¶675	V06-L049	叶うならば共に、笑いあって。	EXACT_VERIFIED	NV/LI	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	He adds shared laughter as desired relational life
T12-E058	V06	p-007 ¶818	V06-L053	「だから何だ？ お前たちの矜持なんて知ったことじゃない。戦い抜くのが誇りだと...	EXACT_VERIFIED	CS/LI	PRIDE	pride_exclusivity_shika	Shin explicitly retains battlefield pride and refuses flight
T12-E059	V06	p-007 ¶825	V06-L055	「生きてるから」	EXACT_VERIFIED	CS/LI	ALIVE_GRAMMAR	alive_grammar_and_revision	Living status grounds his refusal of the binary
T12-E060	V06	p-007 ¶847	V06-L056	そのべたつく重い雪を踏んで、攻略部隊が帰ってくる。重装輸送車が次々と止まり、...	EXACT_VERIFIED	BA	RETURN_KAERU	return_kaeru_homeward_recipient	Return sequence re-establishes unit/home relation
T12-E061	V06	p-009 ¶93	V06-L060	今は、同じ場所に帰ってくる。	EXACT_VERIFIED	CS/IT	RETURN_KAERU	return_kaeru_homeward_recipient	Theo/Kurena articulate current shared return place
T12-E062	V06	p-009 ¶96	V06-L061	結んだ絆が途切れたわけでもなく、別れを迎えたわけですらないのだろうけれど、そ...	EXACT_VERIFIED	NV/IT	WISH_BOND_PRAYER	curse_wish_bond_prayer_semantic_field	Survival makes later different homes/destinations possible
T12-E063	V06	p-009 ¶102	V06-L062	「何もないけど、でも。考えてかないといけないよね。これからどうするのか。……...	EXACT_VERIFIED	CS/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	Theo says they must think about what they want to become
T12-E064	V06	p-009 ¶139	V06-L066	「今日は、帰ります。……待っている人がいますから」	EXACT_VERIFIED	CS/LI	RETURN_KAERU;WAIT_LEAVE_BEHIND	return_kaeru_homeward_recipient	Shin returns because someone is waiting
T12-E065	V07	Ch.2 / p-007.xhtml ¶342	V07-L010	祖国のために他人を使い潰さねば愛国心がない	EXACT_VERIFIED	CS/LI	HOMELAND_SOKOKU	homeland_sokoku	02,05,12
T12-E066	V07	Ch.2 / p-007.xhtml ¶375	V07-L013	共和国人で、同時におれたちエイティシックスの女王	EXACT_VERIFIED	CS/LI	QUEEN_TITLE	lena_queen_title_role_address	03,10,12
T12-E067	V07	Ch.3 / p-008.xhtml ¶100	V07-L024	わたしにはこれしかないんです	EXACT_VERIFIED	CS/LI	EXCLUSIVITY_SHIKA	pride_exclusivity_shika	03,09,12
T12-E068	V07	Ch.4 / p-009.xhtml ¶277–281	V07-L042	レーナ` / `奇跡みたいに綺麗だよ	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	03,04,10,12
T12-E069	V07	Ch.4 / p-009.xhtml ¶603–605	V07-L048	あなたが好きだと` / future Festival together	EXACT_VERIFIED	NV	ADDRESS_FORMS	address_register_command_request	03,10
T12-E070	V07	Ch.4 / p-009.xhtml ¶625	V07-L050	貴女に会えて、よかったです	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	02,10,12
T12-E071	V07	Ch.4 / p-009.xhtml ¶649	V07-L052	貴女が好きです	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	02,10,12
T12-E072	V07	Ch.4 / p-009.xhtml ¶656	V07-L053	貴女と共に、海を見たい	EXACT_VERIFIED	CS/LI	TOGETHER_TOMONI;ADDRESS_FORMS	together_tomoni_elevated_shared_burden	02,09,10,12
T12-E073	V07	Ch.4 / p-009.xhtml ¶659	V07-L054	傍にいたい。共に生きたい	EXACT_VERIFIED	CS/LI	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	02,10,12
T12-E074	V07	post-afterword / p-011.xhtml ¶61–68	V07-L058	自分も好きだと` / `応じてないならまだ、恋人	EXACT_VERIFIED	NV/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	03,10,12
T12-E075	V08	Ch.2 / p-005.xhtml ¶89	V08-L017	機動打撃群は生還させる	EXACT_VERIFIED	CS/MI	MILITARY_RETURN	return_operational_kikan_seikan	06, 07
T12-E076	V08	Ch.3 / p-006.xhtml ¶365	V08-L027	戦い抜く誇り以外に	EXACT_VERIFIED	NV/LI	PRIDE	pride_exclusivity_shika	04, 09, 12
T12-E077	V08	Ch.3 / p-006.xhtml ¶383	V08-L028	生きてりゃいつか、同じくらいに大切なものが	EXACT_VERIFIED	CS/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	04, 09, 13
T12-E078	V08	Ch.4 / p-008.xhtml ¶95	V08-L033	誇りしかないとはもう言わない	EXACT_VERIFIED	CS/LI	PRIDE;EXCLUSIVITY_SHIKA;FUTURE_TIME;REVISION_MOU	pride_exclusivity_shika	02, 09, 12
T12-E079	V08	Ch.4 / p-008.xhtml ¶95	V08-L034	戦場以外に居場所がないとも、もう思わない	EXACT_VERIFIED	CS/LI	FUTURE_TIME;REVISION_MOU	temporal_grammar_mou_mada_mata_itsuka	02, 09, 12
T12-E080	V08	Ch.4 / p-008.xhtml ¶470	V08-L038	人格が、自我が幾つも	EXACT_VERIFIED	NV/PF/LI	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08, 11, 12
T12-E081	V08	Ch.5 / p-011.xhtml ¶54	V08-L039	しっかりしろよ女王陛下ァ	EXACT_VERIFIED	CS/LI	QUEEN_TITLE	lena_queen_title_role_address	03, 04, 12
T12-E082	V08	Ch.5 / p-011.xhtml ¶60	V08-L040	あんたが信じてやらなくてどうする	EXACT_VERIFIED	CS/LI	TRUST;ADDRESS_FORMS	support_obey_trust_rely_contrast	03, 04, 10
T12-E083	V08	Ch.5 / p-011.xhtml ¶300	V08-L042	それほど長い間、頼りきっていた	EXACT_VERIFIED	NV/LI	RELY	support_obey_trust_rely_contrast	04, 07
T12-E084	V08	Ch.5 / p-011.xhtml ¶317	V08-L043	必ずお前が持って帰れ	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	08, 13
T12-E085	V08	Ch.5 / p-011.xhtml ¶539	V08-L046	誇り以外の懊悩も感情も欲も願いも	EXACT_VERIFIED	NV/LI	PRIDE;WISH_BOND_PRAYER	pride_exclusivity_shika	01, 04, 09, 12, 13
T12-E086	V08	Ch.5 / p-011.xhtml ¶681	V08-L050	帰らないと	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04, 09, 13
T12-E087	V08	Ch.5 / p-011.xhtml ¶703	V08-L053	幸福にならねばならないという呪い	EXACT_VERIFIED	NV/LI	CURSE	curse_wish_bond_prayer_semantic_field	04, 09, 12
T12-E088	V08	Ch.5 / p-011.xhtml ¶839	V08-L056	僕はもう、──一緒には戦えないや	EXACT_VERIFIED	CS/LI	TOGETHER_ISSHO;FUTURE_TIME	together_issho_ordinary_shared_proximity	04, 08, 09, 12
T12-E089	V09	memoir / p-001 ¶1	V09-L001	誇り。願い。絆。祈り。あるいは──呪い。	EXACT_VERIFIED	NV/LI	PRIDE;CURSE;WISH_BOND_PRAYER	pride_exclusivity_shika	01, 09, 13
T12-E090	V09	Ch.1 / p-004 ¶312	V09-L008	戦うしかないんだよ	EXACT_VERIFIED	CS	EXCLUSIVITY_SHIKA	pride_exclusivity_shika	04, 09
T12-E091	V09	Ch.1 / p-004 ¶313–314	V09-L009	誇りしかない	EXACT_VERIFIED	CS/LI	PRIDE;EXCLUSIVITY_SHIKA	pride_exclusivity_shika	04, 09, 12
T12-E092	V09	Ch.1 / p-004 ¶410–414	V09-L010	戦場の外の、未来` / `信じられない	EXACT_VERIFIED	NV/LI	TRUST;FUTURE_TIME	support_obey_trust_rely_contrast	04, 09
T12-E093	V09	Ch.1 / p-004 ¶527–534	V09-L012	囚われるのをやめるだけ` / `願いみたいなものでしょ	EXACT_VERIFIED	CS/LI	WISH_BOND_PRAYER	curse_wish_bond_prayer_semantic_field	04, 09
T12-E094	V09	Ch.1 / p-004 ¶553–555	V09-L014	支えてもらってたのはおれも同じだ	EXACT_VERIFIED	CS/LI	SUPPORT	support_obey_trust_rely_contrast	02, 04, 10
T12-E095	V09	Ch.1 / p-004 ¶611	V09-L017	頼ってください` / `共に、抱えますから	EXACT_VERIFIED	CS/LI	TOGETHER_TOMONI;RELY;COMMAND_REQUEST	together_tomoni_elevated_shared_burden	03, 10, 12
T12-E096	V09	Ch.1 / p-004 ¶617–622	V09-L019	一緒に生きたい	EXACT_VERIFIED	CS/LI	TOGETHER_ISSHO	together_issho_ordinary_shared_proximity	03, 09, 10
T12-E097	V09	Ch.2 / p-006 ¶30–47	V09-L022	選択の自由はない	EXACT_VERIFIED	PF/MI/LI	FREEDOM	freedom_rights_illusion_normative_lexicon	06, 09, 12
T12-E098	V09	Ch.2 / p-006 ¶506	V09-L025	私も必ず、貴方のいる場所に帰ってくるから	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04, 10
T12-E099	V09	Theo/Annette / p-009 ¶54–55	V09-L035	まだ死んでないから、何かをしたい	EXACT_VERIFIED	NV/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	01, 08, 09, 12
T12-E100	V09	Ch.4 / p-010 ¶470	V09-L041	それが誇りだからであって運命だからではない	EXACT_VERIFIED	CS/LI	PRIDE;ROLE_DESTINY	pride_exclusivity_shika	03, 09
T12-E101	V09	Ch.5 / p-011 ¶308–311	V09-L053	誇りという名の、傷という名の呪い	EXACT_VERIFIED	NV/LI	PRIDE;CURSE	pride_exclusivity_shika	01, 04, 09, 12
T12-E102	V09	afterword / p-015 ¶21	V09-L069	四巻からのエイティシックスたちの誇りと傷の物語は本巻にて一段落	EXACT_VERIFIED	PT	PRIDE	pride_exclusivity_shika	01, 09, 17
T12-E103	V10	Pledge / p-004 ¶298	V10-L005	おれはまだ死ねない	EXACT_VERIFIED	CS/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	02, 09, 12
T12-E104	V10	Varlet / p-012 ¶98	V10-L015	それでも、一緒に帰るか	EXACT_VERIFIED	CS/LI	RETURN_KAERU;TOGETHER_ISSHO	return_kaeru_homeward_recipient	02, 08, 10
T12-E105	V10	Varlet appendix / p-014 ¶40–42	V10-L018	共に在ろうとしてくれていますから	EXACT_VERIFIED	CS/LI	TOGETHER_TOMONI;COMMAND_REQUEST	together_tomoni_elevated_shared_burden	08, 10, 12
T12-E106	V10	Brand / p-016 ¶227	V10-L022	死神か、そうじゃなきゃ葬儀屋	EXACT_VERIFIED	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 09, 13
T12-E107	V10	Brand / p-016 ¶252	V10-L024	〈葬儀屋〉	EXACT_VERIFIED	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 12, 13
T12-E108	V10	Undertaker / p-020 ¶49	V10-L027	我らが死神	EXACT_VERIFIED	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 04, 12
T12-E109	V10	Lethe / p-027 ¶293	V10-L047	かえりたい	EXACT_VERIFIED	CS/AM	RETURN_KAERU	return_kaeru_homeward_recipient	08, 11, 12
T12-E110	V10	Lethe / p-027 ¶328	V10-L048	もう──かえっていい	EXACT_VERIFIED	CS/LI	RETURN_KAERU;FUTURE_TIME	return_kaeru_homeward_recipient	02, 08, 12
T12-E111	V10	Gentle World / p-033 ¶127	V10-L060	おれは死神でいなくてよかった	EXACT_VERIFIED	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 09, 12
T12-E112	V10	afterword / p-034 ¶10	V10-L067	首のない死神へと変貌	EXACT_VERIFIED	PT	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	01, 02, 13
T12-E113	V11	D+3 p-014 ¶68–76	V11-L006	その罪を負えるのは、レーナではない	EXACT_VERIFIED	NV/LI	ADDRESS_FORMS	address_register_command_request	03,05,09
T12-E114	V11	D+3 p-014 ¶158	V11-L007	人質なんか要らないから。ちゃんと帰ってくるから	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04,09,10
T12-E115	V11	return p-018 ¶213	V11-L013	全然、まだ赦せないよ	EXACT_VERIFIED	CS/LI	FUTURE_TIME;FORGIVE_ALLOW	temporal_grammar_mou_mada_mata_itsuka	04,05,09
T12-E116	V11	return p-018 ¶280	V11-L018	帰るところは、ここじゃないから	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04,09,10
T12-E117	V11	return p-018 ¶501	V11-L020	必ず、帰ってきます。ここに	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	03,09,10
T12-E118	V11	massacre p-022 ¶425	V11-L027	許してくれとは言わない	EXACT_VERIFIED	CS/LI	COMMAND_REQUEST;FORGIVE_ALLOW	forgive_allow_orthographic_context	04,05,09
T12-E119	V11	final evac p-026 ¶90	V11-L034	我らが連邦は、正義の国なのだから	EXACT_VERIFIED	CS/MI	JUSTICE	justice_aspiration_identity_grammar	06,07
T12-E120	V11	final evac p-026 ¶93	V11-L035	正義の美名	EXACT_VERIFIED	CS/LI/MI	JUSTICE	justice_aspiration_identity_grammar	06,07,12
T12-E121	V11	march p-026 ¶315–318	V11-L043	聖女マグノリアの、革命を導き率いた聖女の再来です` / `鮮血の女王	EXACT_VERIFIED	CS/LI/VI	QUEEN_TITLE	lena_queen_title_role_address	03,05,13
T12-E122	V11	Richard p-026 ¶427–430	V11-L048	ただの子供に戻ったか	EXACT_VERIFIED	CS/LI	RETURN_MODORU	return_modoru_state_reentry_recovery	06,09
T12-E123	V11	grief p-028 ¶5–6	V11-L055	滅びてしまった祖国のために	EXACT_VERIFIED	NV	HOMELAND_SOKOKU	homeland_sokoku	03,05,09
T12-E124	V11	aftermath p-030 ¶65–66	V11-L057	どうなるのかな、これから。──戦争は	EXACT_VERIFIED	CS/LI	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	04,09
T12-E125	V12	epigraph / p-001 ¶2	V12-L002	己の意思という夾雑物	EXACT_VERIFIED	CS/LI	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	08, 11, 12
T12-E126	V12	Ch.1 / p-004 ¶373	V12-L013	今なお従うことしか考えられない	EXACT_VERIFIED	NV/LI	OBEY	support_obey_trust_rely_contrast	01, 08, 09
T12-E127	V12	Ch.1 / p-004 ¶491	V12-L016	自由報道さえしばらくは抑えてある	EXACT_VERIFIED	NV/MI	FREEDOM	freedom_rights_illusion_normative_lexicon	06, 14
T12-E128	V12	Ch.1 / p-004 ¶624	V12-L022	姫様の導きにただ、従っていれば	EXACT_VERIFIED	NV/LI	OBEY	support_obey_trust_rely_contrast	01, 06, 09
T12-E129	V12	Ch.2 / p-005 ¶282	V12-L023	自由も平等も、素晴らしいどころか	EXACT_VERIFIED	CS/LI	FREEDOM;EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	01, 06, 09
T12-E130	V12	Ch.2 / p-005 ¶283	V12-L024	それが『自由』だと押しつけられた	EXACT_VERIFIED	CS/LI	FREEDOM	freedom_rights_illusion_normative_lexicon	06, 09, 12
T12-E131	V12	Ch.2 / p-005 ¶284	V12-L025	読み書きなんかを『平等』に学ばされた	EXACT_VERIFIED	CS/LI	EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	06, 09, 12
