evidence_id	source	source_locator	prior_locator_id	anchor	quote_state	evidence_class	evidence_type	motif	analytic_function	note
T13-E039	V06	p-009 ¶74	V06-L059	あなたに憎まれていたことなんて、本当にただの一度もなかった。	EXACT_VERIFIED	NV/RR	PROSE_LOCATOR	あなたに憎まれていたことなんて、本当にただの一度もなかった。	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E040	V06	p-009 ¶139	V06-L066	「今日は、帰ります。……待っている人がいますから」	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	「今日は、帰ります。……待っている人がいますから」	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E041	V07	epigraph / p-001.xhtml ¶1	V07-L001	彼らはもはや、英雄なれば	EXACT_VERIFIED	PT/NV	PROSE_LOCATOR	彼らはもはや、英雄なれば	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E042	V07	Ch.2 / p-007.xhtml ¶375	V07-L013	共和国人で、同時におれたちエイティシックスの女王	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	共和国人で、同時におれたちエイティシックスの女王	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E043	V07	Ch.3 / p-008.xhtml ¶99	V07-L023	いつまでそうやって、八五区にいるつもりなんだよ	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	いつまでそうやって、八五区にいるつもりなんだよ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E044	V07	Ch.3 / p-008.xhtml ¶767	V07-L031	全〈レギオン〉の停止コード	EXACT_VERIFIED	PF/MI	PROSE_LOCATOR	全〈レギオン〉の停止コード	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E045	V07	Ch.4 / p-009.xhtml ¶233	V07-L039	化物でもなければ、英雄でもない	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	化物でもなければ、英雄でもない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E046	V07	Ch.4 / p-009.xhtml ¶656	V07-L053	貴女と共に、海を見たい	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	貴女と共に、海を見たい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E047	V07	afterword / p-011.xhtml ¶18–20	V07-L060	ミスト＝湯煙` / `戦闘なしの全編ライト回	EXACT_VERIFIED	PT	PROSE_LOCATOR	ミスト＝湯煙` / `戦闘なしの全編ライト回	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E048	V08	memoir / p-001.xhtml ¶1–3	V08-L001	エイティシックスたちが立つ場所を	EXACT_VERIFIED	PT/NV	PROSE_LOCATOR	エイティシックスたちが立つ場所を	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E049	V08	Ch.1 / p-004.xhtml ¶103	V08-L008	戦争、終わるかもしれないのね	EXACT_VERIFIED	CS	PROSE_LOCATOR	戦争、終わるかもしれないのね	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E050	V08	Ch.2 / p-005.xhtml ¶41	V08-L016	海は人の世界ではない	EXACT_VERIFIED	NV/PF	PROSE_LOCATOR	海は人の世界ではない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E051	V08	Ch.3 / p-006.xhtml ¶218	V08-L025	答えるつもりになってくれたら	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	答えるつもりになってくれたら	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E052	V08	Ch.3 / p-006.xhtml ¶383	V08-L028	生きてりゃいつか、同じくらいに大切なものが	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	生きてりゃいつか、同じくらいに大切なものが	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E053	V08	Ch.4 / p-008.xhtml ¶233	V08-L036	誰も犠牲にならない道を	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	誰も犠牲にならない道を	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E054	V08	Ch.5 / p-011.xhtml ¶539	V08-L046	誇り以外の懊悩も感情も欲も願いも	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	誇り以外の懊悩も感情も欲も願いも	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E055	V08	afterword / p-014.xhtml ¶21	V08-L059	戦争の終わりの見え始めた中でのエイティシックスたちの選択	EXACT_VERIFIED	PT	PROSE_LOCATOR	戦争の終わりの見え始めた中でのエイティシックスたちの選択	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E056	V09	memoir / p-001 ¶1	V09-L001	誇り。願い。絆。祈り。あるいは──呪い。	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	誇り。願い。絆。祈り。あるいは──呪い。	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E057	V09	Ch.1 / p-004 ¶313–314	V09-L009	誇りしかない	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	誇りしかない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E058	V09	Ch.1 / p-004 ¶617–622	V09-L019	一緒に生きたい	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	一緒に生きたい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E059	V09	Ch.3 / p-008 ¶304	V09-L030	自分の無力を思い知らされることこそ	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	自分の無力を思い知らされることこそ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E060	V09	Ch.4 / p-010 ¶446	V09-L039	戦場で生きて戦場で死ぬのが──貴方たちの唯一の、運命	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	戦場で生きて戦場で死ぬのが──貴方たちの唯一の、運命	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E061	V09	Ch.5 / p-011 ¶191–198	V09-L048	撃てない──戦えないだろうな。おれたちは……人とは	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	撃てない──戦えないだろうな。おれたちは……人とは	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E062	V09	afterword / p-015 ¶21	V09-L069	四巻からのエイティシックスたちの誇りと傷の物語は本巻にて一段落	EXACT_VERIFIED	PT	PROSE_LOCATOR	四巻からのエイティシックスたちの誇りと傷の物語は本巻にて一段落	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E063	V10	Pledge / p-004 ¶99	V10-L002	人間ではない操縦士への配慮がまるでない	EXACT_VERIFIED	PF/MI	PROSE_LOCATOR	人間ではない操縦士への配慮がまるでない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E064	V10	Pledge / p-004 ¶339	V10-L006	シン。私を見ろ	EXACT_VERIFIED	CS/LI/BA	PROSE_LOCATOR	シン。私を見ろ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E065	V10	Misericorde appendix / p-009 ¶37	V10-L013	嫌われてたと思うし、おれは嫌いだった	EXACT_VERIFIED	CS/RR	PROSE_LOCATOR	嫌われてたと思うし、おれは嫌いだった	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E066	V10	Varlet / p-013 ¶35	V10-L017	いつまでもお前、じゃ	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	いつまでもお前、じゃ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E067	V10	Brand / p-016 ¶70	V10-L020	線を、引いておきたい	EXACT_VERIFIED	CS/SI	PROSE_LOCATOR	線を、引いておきたい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E068	V10	Culpa / p-022 ¶1	V10-L032	何をされているのか` / `後世に伝えて	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	何をされているのか` / `後世に伝えて	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E069	V10	Triage / p-025 ¶84	V10-L041	また来月やればいい	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	また来月やればいい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E070	V10	Lethe / p-027 ¶367–368	V10-L049	誰かがたどりつけるなら` / `おれは	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	誰かがたどりつけるなら` / `おれは	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E071	V10	Gentle World / p-033 ¶17–20	V10-L057	人の友人となるべく開発された人工知能	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	人の友人となるべく開発された人工知能	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E072	V10	Gentle World / p-033 ¶139	V10-L062	あの世界じゃなければよかった、なんて	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	あの世界じゃなければよかった、なんて	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E073	V11	D+1 `p-010 ¶192	V11-L005	おれのせいだとは思ってない	EXACT_VERIFIED	CS	PROSE_LOCATOR	おれのせいだとは思ってない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E074	V11	return `p-018 ¶128	V11-L010	復讐なんて、おれは望まなかったし、選ばなかった	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	復讐なんて、おれは望まなかったし、選ばなかった	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E075	V11	return `p-018 ¶480	V11-L019	また来よう。次は、おれたちみんなで	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	また来よう。次は、おれたちみんなで	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E076	V11	massacre `p-022 ¶502–506	V11-L029	総意を以て排除された	EXACT_VERIFIED	CS/PF	PROSE_LOCATOR	総意を以て排除された	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E077	V11	final evac `p-026 ¶118	V11-L039	貴様らが良く、生きる邪魔を、奴らなどにさせてやるな	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	貴様らが良く、生きる邪魔を、奴らなどにさせてやるな	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E078	V11	march `p-026 ¶353	V11-L045	悲壮面の聖女は、もうしません	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	悲壮面の聖女は、もうしません	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E079	V11	grief `p-026 ¶620–628	V11-L053	助けられなかった。本当は見捨てたくなかった	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	助けられなかった。本当は見捨てたくなかった	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E080	V11	afterword `p-034 ¶13	V11-L061	『もう一つのエイティシックス』たちの選択	EXACT_VERIFIED	PT	PROSE_LOCATOR	『もう一つのエイティシックス』たちの選択	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E081	V12	prologue / p-002 ¶30	V12-L003	私についてくればできないことなんかないわ	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	私についてくればできないことなんかないわ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E082	V12	Ch.1 / p-004 ¶616	V12-L020	今度こそなれるんだな。英雄って奴に	EXACT_VERIFIED	CS	PROSE_LOCATOR	今度こそなれるんだな。英雄って奴に	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E083	V12	Ch.2 / p-005 ¶572	V12-L032	君たちのペースでぜひ、楽しんでくれたまえ	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	君たちのペースでぜひ、楽しんでくれたまえ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E084	V12	Ch.3 / p-006 ¶748	V12-L051	簡単な文章に書き直してくれて	EXACT_VERIFIED	NV/MI	PROSE_LOCATOR	簡単な文章に書き直してくれて	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E085	V12	Ch.5 / p-008 ¶429	V12-L069	レーナが足りない。早く会いたい。傍にいたい	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	レーナが足りない。早く会いたい。傍にいたい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E086	V12	afterword / p-010 ¶24	V12-L080	Ｅｐ．13『ディア・ハンター』	EXACT_VERIFIED	PT	PROSE_LOCATOR	Ｅｐ．13『ディア・ハンター』	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E087	V13	V13 / `p-001.xhtml` para 1	V13-L001	`人は倦み、厭い、そして恐れる。戦いを。死を。`	CANONICAL_LOCATOR	`NV`	PROSE_LOCATOR	`人は倦み、厭い、そして恐れる。戦いを。死を。`	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E088	V13	V13 / `p-003.xhtml` para 483	V13-L016	`何が目的でこんなものを、と問われて、プリムヴェールは唇を嚙む。聴取の対象として共和国軍の高官や研究者、政府関係者と共に護送さ...`	CANONICAL_LOCATOR	`MI`	PROSE_LOCATOR	`何が目的でこんなものを、と問われて、プリムヴェールは唇を嚙む。聴取の対象として共和国軍の高官や研究者、政府関係者と共に	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E089	V13	V13 / `p-003.xhtml` para 581	V13-L030	`《優先目標を設定。共和国人が多数を占める陣地。補充兵が多数を占める陣地。少数民族が多数を占める陣地。──また合わせて、後方地...`	CANONICAL_LOCATOR	`MI`	PROSE_LOCATOR	`《優先目標を設定。共和国人が多数を占める陣地。補充兵が多数を占める陣地。少数民族が多数を占める陣地。──また合わせて、	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E090	V13	V13 / `p-005.xhtml` para 427	V13-L046	`それでもなお、その重い自由と平等を維持したいのなら、救済の仕組みは作るべきだった。何もできない人間が、それでも代替品の充足を...`	CANONICAL_LOCATOR	`CS`	PROSE_LOCATOR	`それでもなお、その重い自由と平等を維持したいのなら、救済の仕組みは作るべきだった。何もできない人間が、それでも代替品の	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E091	V13	V13 / `p-005.xhtml` para 578	V13-L060	`〈盗聴器〉という共和国の裏切りを、公表して報道させたのが決定打だった。`	CANONICAL_LOCATOR	`CS`	PROSE_LOCATOR	`〈盗聴器〉という共和国の裏切りを、公表して報道させたのが決定打だった。`	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E092	V13	V13 / `p-006.xhtml` para 208	V13-L073	`家族への、同胞への、祖国への愛。それらは所詮、愛という美名で糊塗しただけの卑劣だ。大切なものとそれ以外を天秤にかけて、大切で...`	CANONICAL_LOCATOR	`CS`	PROSE_LOCATOR	`家族への、同胞への、祖国への愛。それらは所詮、愛という美名で糊塗しただけの卑劣だ。大切なものとそれ以外を天秤にかけて、	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E093	V13	V13 / `p-007.xhtml` para 81	V13-L087	`自分とは違うという、あらゆる人間に共通するただ一点を以て誰も彼もを放りこんでしまえる便利なカテゴリに、他人をまとめて放りこん...`	CANONICAL_LOCATOR	`IT`	PROSE_LOCATOR	`自分とは違うという、あらゆる人間に共通するただ一点を以て誰も彼もを放りこんでしまえる便利なカテゴリに、他人をまとめて放	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E094	V13	V13 / `p-007.xhtml` para 684	V13-L104	`「駄目だよ。だって、俺は君を人殺しにしたくない。それが復讐でも君がそれを望んでるんだとしても、俺は君に人を殺してほしくない」`	CANONICAL_LOCATOR	`CS`	PROSE_LOCATOR	`「駄目だよ。だって、俺は君を人殺しにしたくない。それが復讐でも君がそれを望んでるんだとしても、俺は君に人を殺してほしく	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E095	V13	V13 / `p-007.xhtml` para 889	V13-L116	`連邦も、連邦軍も、成員同士で恐怖しあった果てに、分裂して崩壊してしまった。`	CANONICAL_LOCATOR	`NV`	PROSE_LOCATOR	`連邦も、連邦軍も、成員同士で恐怖しあった果てに、分裂して崩壊してしまった。`	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E096	V13	V13 / `p-008.xhtml` para 20	V13-L129	`次巻から『86』は最終篇です。最終篇の、そしてシリーズ当初からの敵と対峙できるまでシンとレーナとエイティシックスたちは成長し...`	CANONICAL_LOCATOR	`PT`	PROSE_LOCATOR	`次巻から『86』は最終篇です。最終篇の、そしてシリーズ当初からの敵と対峙できるまでシンとレーナとエイティシックスたちは	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E097	V14	p-001 / para 1	V14-L001	我ら、世界に誇る正義たらん	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	我ら、世界に誇る正義たらん	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E098	V14	p-004 / para 684	V14-L019	「勉強をしましょう。こんな時だからこそ。──戦争が終わる日のために」	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「勉強をしましょう。こんな時だからこそ。──戦争が終わる日のために」	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E099	V14	p-005 / para 261	V14-L041	「連邦のために──俺たちエイティシックスを悪魔呼ばわりして化物呼ばわりして、八六区みたいなこの戦場に閉じこめやがったブタどものために、また俺...	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「連邦のために──俺たちエイティシックスを悪魔呼ばわりして化物呼ばわりして、八六区みたいなこの戦場に閉じこめやがったブタ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E100	V14	p-005 / para 400	V14-L060	シン自身の意志は全く無視したそうした運用も、十月攻勢からの連邦軍ならやってしまえる。	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	シン自身の意志は全く無視したそうした運用も、十月攻勢からの連邦軍ならやってしまえる。	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E101	V14	p-006 / para 397	V14-L079	そして泣いたら、立っていられなくなる。指揮官の、女王の、強い仮面が崩れてしまう。	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	そして泣いたら、立っていられなくなる。指揮官の、女王の、強い仮面が崩れてしまう。	prose_motif_control	canonical volume locator retained for motif/object/space context
