locator_id	source	original_locator	original_anchor	original_validation	locked_locator	locked_anchor	locked_quote_state	correction_reason
V03-L030	V03	`p-010.xhtml ¶116`	`手に入れた“自由”` / `あまりにも大きな空虚`	FAIL_ANCHOR_NOT_FOUND	p-010.xhtml para 116	手に入れた〝自由〟の、思いもよらなかった茫ぼう漠ばくが──拠よる血も地もなく目指す導しるべもない身にはあまりにも大きな空くう虚きよが、……怖こわい。	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V03-L035	V03	`p-011.xhtml ¶224`	`人格と意志` / `上位指揮官機の命令には背けない`	FAIL_ANCHOR_NOT_FOUND	p-008.xhtml para 224	キリヤの抱いだいた苛いら立だちとは裏腹、禁則事項プロテクト抵てい触しよくの警告が流体マイクロマシンの脳のう裏りに明めい滅めつする。刷すり込こまれたプログラムが、それ以上の反論を厳重に禁じる。いかな戦死者の人格と意志を持つ〈羊飼い〉といえど、上位指揮官機の命令には背そむけない。	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V03-L041	V03	later collapse	`頼ることもできぬほど...独りにしたのは、もう昔`	NEEDS_LOCATOR_BACKFILL	p-011.xhtml para 452	「かように心が冷えきってしまったから、仲間たちと交わした情が熱うて、痛いのじゃ。抱かかえておれぬほどに辛つらいのなら、しばしの間くらい預かってやるゆえ、少しは周りを頼たよらぬか。……頼たよることもできぬほどに周りの誰だれもがそなたを独りにしたのは、もう昔の話であろうが……」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V07-L029	V07	`p-008.xhtml ¶743`	`赦しではない`	PASS_EXACT_PAGE_LOCK	p-008.xhtml para 742	だからこれも──赦ゆるしではない。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V07-L044	V07	`p-009.xhtml ¶342–373`	`互いのテンポ` / `別々の鼓動`	PASS_EXACT_PAGE_LOCK	p-009.xhtml para 373 + p-009.xhtml para 400	ワルツのテンポに合わせていたステップが、気づけばシンもレーナもいつのまにか、互いのテンポに合っている。静かに凪ないだ二つの心臓が、同じ調子で鼓動を刻んでいる。 / 意識と鼓動が溶け合うような、魔法のような時間が溶ける。互いの心臓が、別々の鼓動を刻み始める。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V07-L046	V07	`p-009.xhtml ¶488–490`	`久しぶり` / old battlefield fireworks	PASS_EXACT_PAGE_LOCK	p-009.xhtml para 482	「……花火、か。そうだな。久しぶりだ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V09-L023	V09	`p-006 ¶48`	`神戟は人ではないが、神の御使い`	FAIL_ANCHOR_NOT_FOUND	p-011.xhtml para 48	「共和国がエイティシックスをそう定義したように、人型の家畜と扱うわけでもありません。神テシ戟ャトは人ではないが、神の御使いである。日々の暮らしは敬意を以もつて遇され、士官ともなれば諸外国との外交に携わることもある以上、高等教育を受ける機会は教シェ徒クハよりも多い。神テシ戟ャトに不満があったなら武力を持たぬ聖教国の民は、とうに反乱で滅びていたでしょう。……不満	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V09-L061	V09	`p-012 ¶696 + p-013 ¶3`	`好きだった` → `今でも好き`	FAIL_ANCHOR_NOT_FOUND	p-011.xhtml para 696 + p-013.xhtml para 3	「あたし、あなたのことが好きだった」 / 「今でも好き。……きっとずっと、好きなまま」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V10-L003	V10	`p-004 ¶238`	`約束をしよう`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 239	「皆、約束をしよう。──死んだ奴やつの名前をそいつの機体の破片に刻んで、生き残った奴やつが持っていく。そうやって最後まで生き残った奴やつが、そいつの行きつくところまで、他の全員を連れていくと」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L004	V10	`p-004 ¶238`	`最後まで生き残った奴が`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 239	「皆、約束をしよう。──死んだ奴やつの名前をそいつの機体の破片に刻んで、生き残った奴やつが持っていく。そうやって最後まで生き残った奴やつが、そいつの行きつくところまで、他の全員を連れていくと」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L005	V10	`p-004 ¶298`	`おれはまだ死ねない`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 300	「おれはまだ死ねない。死ぬわけにはいかない。だから、……死んだりしません」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L006	V10	`p-004 ¶339`	`シン。私を見ろ`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 341	「シン。私を見ろ。それは今、起きていることじゃない。私を見るんだ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L007	V10	`p-004 ¶580–583`	`せめてもの慰め` / `救い`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 594	戦って死しても、墓標さえも残せない。そういう運命のエイティシックスにとっては、あの約束がせめてもの慰めで──これ以上ない救いなのだと。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L010	V10	`p-008 ¶197`	`やれることを、やりたいように`	PASS_EXACT_PAGE_LOCK	p-008.xhtml para 201	「やれることを、やりたいようにやっているだけ。やりたくないことをやってはいないだけです」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L011	V10	`p-008 ¶278`	`最後の一発は絶対に、誰にも使うな`	PASS_EXACT_PAGE_LOCK	p-008.xhtml para 282	「最後の一発は絶対に、誰にも使うな。それはお前が死に損なった時に、楽になるための一発だ。それだけは誰にも……誰であろうと、譲ってやるな」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L012	V10	`p-008 ¶310`	`あなたの役目も。おれの最期まで`	PASS_EXACT_PAGE_LOCK	p-008.xhtml para 314	「拳銃、預かっていきます。……あなたの役目も。おれの最さい期ごまで」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L018	V10	`p-014 ¶40–42`	`共に在ろうとしてくれていますから`	PASS_EXACT_PAGE_LOCK	p-014.xhtml para 43	「共に在ろうとしてくれていますから」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L020	V10	`p-016 ¶70`	`線を、引いておきたい`	PASS_EXACT_PAGE_LOCK	p-016.xhtml para 71	「誰のことも名前で呼ばねえ。約束とやらのこともあるから、覚えたくねえわけでもねえんだろうが。──それでも線を、引いておきたいんだろうよ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L021	V10	`p-016 ¶100`	`死んでほしいわけじゃない`	PASS_EXACT_PAGE_LOCK	p-016.xhtml para 101	「別に、死んでほしいわけじゃないです。そうでなければ隊長にも誰にも、こんなことは話していない。……亡霊憑つきの化物と、呼ばれたいわけでもありませんから」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L022	V10	`p-016 ¶227`	`死神か、そうじゃなきゃ葬儀屋`	PASS_EXACT_PAGE_LOCK	p-016.xhtml para 232	「まるで死神か、そうじゃなきゃ葬儀屋だな。持ってんのがシャベルだったらぴったりだ。一人生き残って仲間の墓を掘る、化物の葬儀屋って感じだ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L023	V10	`p-016 ¶241–243`	`誰をも頼らずいる方がいい`	PASS_EXACT_PAGE_LOCK	p-016.xhtml para 248	生き残らねばならない。たとえ一人になっても戦いぬいて、果たさねばならない望みがある。それならいっそ最初から、誰をも頼らずいる方がいい。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L024	V10	`p-016 ¶252`	`〈葬儀屋〉`	PASS_EXACT_PAGE_LOCK	p-016.xhtml para 257	「〈葬儀屋アンダーテイカー〉」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L029	V10	`p-020 ¶256`	`死んでもお前が連れてってくれる`	PASS_EXACT_PAGE_LOCK	p-020.xhtml para 257	「死んでもお前が連れてってくれるんだろ、我らが死神」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L030	V10	`p-020 ¶268–270`	`誰にも救いを求められない` / `重荷`	PASS_EXACT_PAGE_LOCK	p-020.xhtml para 269-271	誰かの救いになることを選んだのに、誰にも救ってもらえない。誰にも救いを求められない。 / 自分たちは所詮、重荷にしかなれない。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L035	V10	`p-022 ¶76`	`その人を守ってやりたい`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 77	「その人を守ってやりたいと。──お前は思っているのだろう？」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L036	V10	`p-022 ¶81–84`	`憎まなくていい` / `たいせつなひと`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 83-85	憎まなくていいと。 / 兄を　たいせつなひとだと　思ったままでいいのだと。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L037	V10	`p-022 ¶87–88`	`救いを一つ` / `誰かの救い`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 88-89	あの時たしかに、助けてもらえた。──救いを一つ、もらえたと思う。 / 同じように自分も、ほんのわずかでも、誰かの救いとなれるなら。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L038	V10	`p-025 ¶11`	`死亡群《トリアージタグ・ブラック》`	FAIL_ANCHOR_NOT_FOUND	p-025.xhtml para 11	優先治療選別：死亡群トリアージタグ・ブラック──まだ生きてはいるがじきに死ぬ、治療不要の戦死者一歩手前。戦場に放りこまれる前から一律そのカテゴリに分類されているも同然のエイティシックスの、それが共通する認識だ。	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V10-L042	V10	`p-025 ¶211`	`いい奴ならいいよな`	PASS_EXACT_PAGE_LOCK	p-025.xhtml para 214	「いい奴やつならいいよな」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L043	V10	`p-025 ¶223`	`戦隊間の直接連絡は禁じられている`	PASS_EXACT_PAGE_LOCK	p-025.xhtml para 226	戦隊間の直接連絡は禁じられているため必ずハンドラーを介さざるを得ない救援要請は、特にハンドラーが帰宅して不在の夜間は、致命的に遅れがちだけれど。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L044	V10	`p-025 ¶249–253`	`一振りの剣` / `誰かが`	PASS_EXACT_PAGE_LOCK	p-025.xhtml para 252-254	だってそれは、人の生き方ではない。それは氷ひよう刃じんの生き方だ。何かを斬り捨てる、ただそのために研がれ磨かれ、目的を果たした後はそのまま折れ砕ける──それ以外に何も持たぬ、一振りの剣つるぎの在り様だ。 / だからせめて、何か──誰か。なんでもいい、目的の他に心を留める何かが──誰かが。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L048	V10	`p-027 ¶328`	`もう──かえっていい`	PASS_EXACT_PAGE_LOCK	p-027.xhtml para 331	「もう──かえっていい」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L049	V10	`p-027 ¶367–368`	`誰かがたどりつけるなら` / `おれは`	PASS_EXACT_PAGE_LOCK	p-027.xhtml para 370-371	「それでも、誰かがたどりつけるなら、」 / おれは。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L052	V10	`p-030 ¶132`	`代償行為とは知りつつ`	PASS_EXACT_PAGE_LOCK	p-030.xhtml para 133	助けていただいたご恩は無論のこと、人間のよき友であれとの旦那様の願い。弟君と奇くしくも同じ愛称と、同じ紅あかい瞳。代償行為とは知りつつ、離れることはできませんでした。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L053	V10	`p-030 ¶181`	`人間のよき友であれ` / `絶対`	PASS_EXACT_PAGE_LOCK	p-030.xhtml para 185	わたくしは人に造られ、人間のよき友であれと望まれたものです。その願いはわたくしにとって絶対です。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L054	V10	`p-030 ¶221`	`朽ち果てるまでその任を全うしろ`	PASS_EXACT_PAGE_LOCK	p-030.xhtml para 225	「お前に預けていく。お前が、おれたちがここに行き着いた証あかしだ。──朽ち果てるまでその任を全うしろ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L055	V10	`p-030 ¶261`	`また会えてよかった`	PASS_EXACT_PAGE_LOCK	p-030.xhtml para 266	「まあでも、……また会えてよかった」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L058	V10	`p-033 ¶121`	`こんな世界ならよかった？`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 123	「ねえ。──こんな世界ならよかった？」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L059	V10	`p-033 ¶127`	`傷なんて、負わなくてよかった`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 129	「奪われなくてよかった。無くさなくてよかった。傷なんて、負わなくてよかった。こんな風に誰かが、誰もが少しだけ、優しく在れた世界なら。おれは死神でいなくてよかった」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L060	V10	`p-033 ¶127`	`おれは死神でいなくてよかった`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 129	「奪われなくてよかった。無くさなくてよかった。傷なんて、負わなくてよかった。こんな風に誰かが、誰もが少しだけ、優しく在れた世界なら。おれは死神でいなくてよかった」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L061	V10	`p-033 ¶134`	`会えない人がいる。知らない景色と言葉がある`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 136	「この世界だったら、会えない人がいる。知らない景色と言葉がある。だから、こんな世界ならよかった、なんて、」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L062	V10	`p-033 ¶139`	`あの世界じゃなければよかった、なんて`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 141	「あの世界じゃなければよかった、なんて、おれには言えない」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V10-L063	V10	`p-033 ¶157`	`こんな世界、なんて、今は。……言いたくはないな`	PASS_EXACT_PAGE_LOCK	p-033.xhtml para 159	「こんな世界、なんて、今は。……言いたくはないな」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L003	V11	D+1 `p-010 ¶178`	`あなたのせいじゃないわ`	PASS_EXACT_PAGE_LOCK	p-010.xhtml para 181	「あなたのせいじゃないわ。……反省するのはいい。でもあなたの罪じゃないことを、あなたの罪だって言っては駄目。悲壮面の聖女を、演じたら駄目よ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L004	V11	D+1 `p-010 ¶178`	`悲壮面の聖女を、演じたら駄目よ`	PASS_EXACT_PAGE_LOCK	p-010.xhtml para 181	「あなたのせいじゃないわ。……反省するのはいい。でもあなたの罪じゃないことを、あなたの罪だって言っては駄目。悲壮面の聖女を、演じたら駄目よ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L005	V11	D+1 `p-010 ¶192`	`おれのせいだとは思ってない`	PASS_EXACT_PAGE_LOCK	p-010.xhtml para 195	「ああ。それはわかってる。おれのせいだとは思ってない」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L013	V11	return `p-018 ¶213`	`全然、まだ赦せないよ`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 214	「そりゃさ、赦ゆるせるかっていったら全然、まだ赦ゆるせないよ。……たぶん一生赦ゆるせないと思う」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L014	V11	return `p-018 ¶240`	`だから──もういいや`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 241	「覚えててやる必要だって、たぶんないんだし。だから──もういいや」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L015	V11	return `p-018 ¶258`	`あたしはもう──大丈夫`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 259	「うん。大丈夫だよ。あたしはもう──大丈夫」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L016	V11	return `p-018 ¶260–267`	`もう怖くないよ`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 268	「もう怖くないよ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L017	V11	return `p-018 ¶279`	`私が生まれた、ただそれだけの国`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 281	さよなら。私が生まれた、ただそれだけの国。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L018	V11	return `p-018 ¶280`	`帰るところは、ここじゃないから`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 282	「さよなら。……私の生きる場所は、生きたいところは、──帰るところは、ここじゃないから」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L019	V11	return `p-018 ¶480`	`また来よう。次は、おれたちみんなで`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 486	「慰めか、気休めに聞こえるかもしれないけど。……また来よう。次は、おれたちみんなで」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L020	V11	return `p-018 ¶501`	`必ず、帰ってきます。ここに`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 507	「必ず、帰ってきます。ここに。あなたと──シンと初めて、会った場所に」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L022	V11	massacre `p-022 ¶176`	`あなたを探している〈レギオン〉はいないと`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 180	「──あなたを探している〈レギオン〉はいないと、あの時おれは言ったじゃないですか」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L023	V11	massacre `p-022 ¶192`	`どうして──会いに行ってやらなかったんですか`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 196	「奥方もご息女も、きっと待っていたでしょうに。どうして──会いに行ってやらなかったんですか……！」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L024	V11	massacre `p-022 ¶232`	`隊長じゃなくて俺の役目です`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 236	『アルドレヒト中尉と最後に話して、見送ったのは隊長じゃなくて俺ですっ！　だからこの中尉を倒すのも、隊長じゃなくて俺の役目です！』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L025	V11	massacre `p-022 ¶238`	`任せる`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 242	「任せる」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L026	V11	massacre `p-022 ¶376`	`同じことを、しないでよ`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 382	「同じことを、しないでよ」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L027	V11	massacre `p-022 ¶425`	`許してくれとは言わない`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 431	『許してくれとは言わない。けれどできれば、』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L028	V11	massacre `p-022 ¶437`	`単なるオレの、気まぐれと気分で`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 443	「助けてやるよ。免じてなんかじゃない。単なるオレの、気まぐれと気分で」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L029	V11	massacre `p-022 ¶502–506`	`総意を以て排除された`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 510	自分は、統括ネットワーク中枢から──〈レギオン〉総指揮官たちから、その総意を以もつて排除された。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L030	V11	massacre `p-022 ¶506`	`彼ら自身の望みを果たすために`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 514	現〈レギオン〉の統括ネットワーク中枢は、〈羊飼い〉たちは、初期命令をあらゆる論理・行動を駆使し、回避しようと試みている。〈レギオン〉としてではない、彼ら自身の望みを果たすために。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L034	V11	final evac `p-026 ¶90`	`我らが連邦は、正義の国なのだから`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 91	『軍人ともあろうものが我が身を惜しんで、民間人を見捨てて逃げるわけにはいかんからな。何しろ我らが連邦は、正義の国なのだから』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L035	V11	final evac `p-026 ¶93`	`正義の美名`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 94	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永えい劫ごうの財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差さし障	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L036	V11	final evac `p-026 ¶105`	`軍も軍人も、政のための道具だ`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 106	『一つ教えておいてやろう、ミリーゼ大佐。そこのヴェンツェル大佐は、この手の政治が得意ではないからな。──軍も軍人も、政まつりごとのための道具だ。敵を倒すのが本義ではない。貴様が共和国の道具なのか、エイティシックスのための女王という駒なのかは知らん。ただ貴様が属する場所の利のために、貴様の才と勝利を使え』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L037	V11	final evac `p-026 ¶107`	`死に急ぐような戦いは二度とするな`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 108	『貴様たちもだ、エイティシックス。貴様たちは連邦軍の一員、連邦の政治のための駒だ。生き方全てで応じろとは言わん。ただ軍人としてはそのように働け。戦いぬいてその果てに死ぬなどという、己がためだけの戦闘はもはや貴様らには許されん。間違って全滅でもされては連邦が困るのだ。──死に急ぐような戦いは二度とするな』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L038	V11	final evac `p-026 ¶118`	`復讐を選ばなかったなら、これからも選ぶな`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 119	『正義たるが連邦軍人の誇り。人間たるがエイティシックスの誇りなのだろう。そのとおりに行動しろ。復讐を選ばなかったなら、これからも選ぶな。貴様らが良く、生きる邪魔を、奴らなどにさせてやるな。──ヴェンツェル大佐』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V11-L039	V11	final evac `p-026 ¶118`	`貴様らが良く、生きる邪魔を、奴らなどにさせてやるな`	PASS_EXACT_PAGE_LOCK	p-026.xhtml para 119	『正義たるが連邦軍人の誇り。人間たるがエイティシックスの誇りなのだろう。そのとおりに行動しろ。復讐を選ばなかったなら、これからも選ぶな。貴様らが良く、生きる邪魔を、奴らなどにさせてやるな。──ヴェンツェル大佐』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
