source	military_level	phase5_scope_statement	representative_mi_locators	rule	phase5_status
V03	STRATEGIC	Morpho removal as theater necessity	V03-L005, V03-L018, V03-L048	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V03	POLITICAL_CONSTITUTIONAL	dangerous mission versus disposal; accountability for expected return	V03-L005, V03-L018, V03-L048	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V04	TACTICAL	Phonix engagement and IFF/classification problems	V04-L011, V04-L019, V04-L025	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V04	OPERATIONAL	command succession and strike-group continuity	V04-L011, V04-L019, V04-L025	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V04	STRATEGIC	Legion adaptation and human institutional response	V04-L011, V04-L019, V04-L025	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V04	POLITICAL_CONSTITUTIONAL	risk, autonomy, and command responsibility after rescue	V04-L011, V04-L019, V04-L025	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V05	TACTICAL	Sirin/Roa combat employment	V05-L028, V05-L042, V05-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V05	OPERATIONAL	Sirin casualty model and allied operational burden-sharing	V05-L028, V05-L042, V05-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V05	STRATEGIC	technological force substitution and attrition logic	V05-L028, V05-L042, V05-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V05	POLITICAL_CONSTITUTIONAL	citizenship, expendability, and artificial-subject military standing	V05-L028, V05-L042, V05-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V06	TACTICAL	large-scale combat execution and Shin/Spearhead roles	V06-L005, V06-L007, V06-L034, V06-L050, V06-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V06	OPERATIONAL	coalition coordination and operational burden-sharing	V06-L005, V06-L007, V06-L034, V06-L050, V06-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V06	STRATEGIC	Legion command system and campaign effects	V06-L005, V06-L007, V06-L034, V06-L050, V06-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V06	POLITICAL_CONSTITUTIONAL	hero dependence, institutional survival, and persons versus functions	V06-L005, V06-L007, V06-L034, V06-L050, V06-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V07	TACTICAL	training/rest/readiness and combat capability	V07-L002, V07-L003, V07-L007, V07-L031, V07-L032, V07-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V07	OPERATIONAL	publicity, rotation, delegation and anti-hero force design	V07-L002, V07-L003, V07-L007, V07-L031, V07-L032, V07-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V07	STRATEGIC	irreplaceable specialist capability versus distributed force resilience	V07-L002, V07-L003, V07-L007, V07-L031, V07-L032, V07-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V07	POLITICAL_CONSTITUTIONAL	what a humane military owes soldiers beyond usefulness	V07-L002, V07-L003, V07-L007, V07-L031, V07-L032, V07-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V08	TACTICAL	naval/Reginleif battle execution and Theo injury	V08-L002, V08-L003, V08-L007, V08-L017, V08-L026	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V08	OPERATIONAL	Fleet Country joint operation and Shin absence redistribution	V08-L002, V08-L003, V08-L007, V08-L017, V08-L026	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V08	STRATEGIC	Noctiluca/Fleet institutional survival and war termination horizon	V08-L002, V08-L003, V08-L007, V08-L017, V08-L026	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V08	POLITICAL_CONSTITUTIONAL	institutional sacrifice, return, disability, and role exit	V08-L002, V08-L003, V08-L007, V08-L017, V08-L026	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V09	TACTICAL	Theocracy combat and individual error recovery	V09-L002, V09-L003, V09-L005, V09-L022, V09-L023, V09-L031, V09-L032, V09-L038	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V09	OPERATIONAL	retention/adaptation after disability and team continuity	V09-L002, V09-L003, V09-L005, V09-L022, V09-L023, V09-L031, V09-L032, V09-L038	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V09	STRATEGIC	sacralized military role and force-generation model	V09-L002, V09-L003, V09-L005, V09-L022, V09-L023, V09-L031, V09-L032, V09-L038	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V09	POLITICAL_CONSTITUTIONAL	role exit, sacred functionalization, and soldier standing	V09-L002, V09-L003, V09-L005, V09-L022, V09-L023, V09-L031, V09-L032, V09-L038	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V10	TACTICAL	historical combat inheritance and Undertaker technique	V10-L002, V10-L009, V10-L038, V10-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V10	OPERATIONAL	how veteran knowledge/offices are transmitted	V10-L002, V10-L009, V10-L038, V10-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V10	STRATEGIC	institutional memory as military capital	V10-L002, V10-L009, V10-L038, V10-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V10	POLITICAL_CONSTITUTIONAL	child-soldier conditions and care without legitimating the system	V10-L002, V10-L009, V10-L038, V10-L043	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V11	TACTICAL	retreat/rearguard/local defensive execution	V11-L009, V11-L033, V11-L034, V11-L035, V11-L036	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V11	OPERATIONAL	rotating withdrawal, evacuation, resupply and rest	V11-L009, V11-L033, V11-L034, V11-L035, V11-L036	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V11	STRATEGIC	Republic collapse and theater preservation	V11-L009, V11-L033, V11-L034, V11-L035, V11-L036	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V11	POLITICAL_CONSTITUTIONAL	civil-military responsibility, rescue, logistics and political failure	V11-L009, V11-L033, V11-L034, V11-L035, V11-L036	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V12	TACTICAL	human judgment in combined-arms execution	V12-L008, V12-L016, V12-L017, V12-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V12	OPERATIONAL	retreat/preservation, accessible doctrine, Sirin employment	V12-L008, V12-L016, V12-L017, V12-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V12	STRATEGIC	Hail Mary concentration and command-system failure	V12-L008, V12-L016, V12-L017, V12-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V12	POLITICAL_CONSTITUTIONAL	self-government, obedience, saviorism and military authority	V12-L008, V12-L016, V12-L017, V12-L051	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V13	TACTICAL	Fawn threat, local fighting, force protection	V13-L008, V13-L009, V13-L010, V13-L011, V13-L012, V13-L015, V13-L016, V13-L017	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V13	OPERATIONAL	rear denial, refugee manpower, fragmentation and command interruption	V13-L008, V13-L009, V13-L010, V13-L011, V13-L012, V13-L015, V13-L016, V13-L017	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V13	STRATEGIC	Legion social-systems warfare and Federacy cohesion	V13-L008, V13-L009, V13-L010, V13-L011, V13-L012, V13-L015, V13-L016, V13-L017	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V13	POLITICAL_CONSTITUTIONAL	reproduced Sector relation, coercion, refusal and return rights	V13-L008, V13-L009, V13-L010, V13-L011, V13-L012, V13-L015, V13-L016, V13-L017	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V14	TACTICAL	Operation Wrath execution without Shin	V14-L002, V14-L003, V14-L004, V14-L005, V14-L009, V14-L010, V14-L011, V14-L040	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V14	OPERATIONAL	distributed targeting/command, morale logistics, engineering and recovery	V14-L002, V14-L003, V14-L004, V14-L005, V14-L009, V14-L010, V14-L011, V14-L040	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V14	STRATEGIC	survival of force under social/political fragmentation	V14-L002, V14-L003, V14-L004, V14-L005, V14-L009, V14-L010, V14-L011, V14-L040	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V14	POLITICAL_CONSTITUTIONAL	justice, emergency governance, coup/restoration risk, and military constitutional role	V14-L002, V14-L003, V14-L004, V14-L005, V14-L009, V14-L010, V14-L011, V14-L040	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
