term_family	t12_evidence_id	source	prior_locator_id	phase5_locked_locator	japanese_anchor	quote_state	source_verification	source_excerpt	later_synthesis_constraint
TOGETHER_TOMO	T12-E072	V07	V07-L053	`p-009.xhtml ¶656`	`貴女と共に、海を見たい`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「おれは貴女に、海を見せたい。......貴女と共に、海を見たい。見たことのないものを。戦争に鎖されたままでは見られないものを。同じ景色を、貴女と見たい」	Preserve elevated/normative/burden-sharing register where context supports it; do not force a binary.
TOGETHER_TOMO	T12-E073	V07	V07-L054	`p-009.xhtml ¶659`	`傍にいたい。共に生きたい`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「あなたの傍にいたい。共に生きたい。できるなら──いつまでも」	Preserve elevated/normative/burden-sharing register where context supports it; do not force a binary.
PRIDE	T12-E091	V09	V09-L009	`p-004 ¶313–314`	`誇りしかない`	EXACT_VERIFIED	PASS_SOURCE_EXACT	誇りしかない。 / 己の形を保つものが、誇りしかない。	Check restrictive constructions such as pride-only before calling pride pathological.
PRIDE	T12-E076	V08	V08-L027	`p-006.xhtml ¶365`	`戦い抜く誇り以外に`	EXACT_VERIFIED	PASS_SOURCE_EXACT	帰るべき故郷もなく、守るべき家族もなく、受け継いだ文化もない。戦い抜く誇り以外に、自分の形を規定するものが何もない。	Check restrictive constructions such as pride-only before calling pride pathological.
CURSE	T12-E157	V13	V13-L096	V13 / `p-007.xhtml` para 270	`あなたの呪いになるね。`	EXACT_VERIFIED_BY_PHASE5	PASS_SOURCE_EXACT	あなたの呪いになるね。	Treat as context-sensitive binding-force metaphor, not a fixed synonym for evil attachment.
CURSE	T12-E087	V08	V08-L053	`p-011.xhtml ¶703`	`幸福にならねばならないという呪い`	EXACT_VERIFIED	PASS_SOURCE_EXACT	幸福にならねばならないという呪いに──あなたを変える。	Treat as context-sensitive binding-force metaphor, not a fixed synonym for evil attachment.
SUPPORT	T12-E137	V12	V12-L067	`p-008 ¶415–417`	`従うのではなく支えてくれた`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「心配はいりません。......あなたたちは、従うのではなく支えてくれた。求めるのではなく信じてくれた」 / 女王陛下。 / その呼び名は敬意だけれど。信頼だけれど。崇拝でもないしましてや強迫でもない。	Distinguish support from obedience, guardianship, and surveillance.
SUPPORT	T12-E025	V03	V03-L033	`p-010.xhtml ¶149`	`共に行く者どもを支えとすればよい`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「......そなたが今、進むことに戦いておるのは、そなたが正しく未来を見据えようとしたからじゃ。道なき行く手を、直視しようとしたからじゃ。それは恥じることではなかろうし、その間くらい、共に行く者どもを支えとすればよい。仲間とは......人と人とが共に在ろうとするのは、そのためであるぞ」	Distinguish support from obedience, guardianship, and surveillance.
TRUST	T12-E082	V08	V08-L040	`p-011.xhtml ¶60`	`あんたが信じてやらなくてどうする`	EXACT_VERIFIED	PASS_SOURCE_EXACT	『あいつなら大丈夫だ。だって、帰ってくるって言ったんだろ。そのことをあんたが信じてやらなくてどうするんだよ。大丈夫だ。だってあいつ、特別偵察さえ生き残ったんだぜ』	Treat trust as answer-space under uncertainty, not guaranteed compliance.
TRUST	T12-E092	V09	V09-L010	`p-004 ¶410–414`	`戦場の外の、未来` / `信じられない`	EXACT_VERIFIED	PASS_SOURCE_EXACT	自習室に行こうとするとどうしても、クレナは足がすくんでしまう。戦場の外の、未来というものを意識するのが恐ろしくて、考えたくない。 / あるいはそれは、彼女と同様に今なお戦場に固執する、戦場の外の未来を頑なに拒む多くのエイティシックスに共通する感情だったかもしれない。 / 踏みだした先に、地面なんてないかもしれない。 / 未来なんていつも保証がない。自分たちは今日、死ぬかもしれない者だ。明日には生きていないかもしれない者だ。まともな支援もない絶死の戦場に長く暮らして、諦観にも似たその認識はどうしても彼女たちの内から去っていかない。 / 望めば幸福な明日が来るなんて──信じられない。	Treat trust as answer-space under uncertainty, not guaranteed compliance.
OBEY	T12-E137	V12	V12-L067	`p-008 ¶415–417`	`従うのではなく支えてくれた`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「心配はいりません。......あなたたちは、従うのではなく支えてくれた。求めるのではなく信じてくれた」 / 女王陛下。 / その呼び名は敬意だけれど。信頼だけれど。崇拝でもないしましてや強迫でもない。	Do not equate obedience with support or mature trust.
OBEY	T12-E126	V12	V12-L013	`p-004 ¶373`	`今なお従うことしか考えられない`	EXACT_VERIFIED	PASS_SOURCE_EXACT	命じられたのだから従わないと。その思考しかこれまで許されてこなかったから、今なお従うことしか考えられない。	Do not equate obedience with support or mature trust.
FREEDOM	T12-E097	V09	V09-L022	`p-006 ¶30–47`	`選択の自由はない`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「放埓を好むは人の性、低きに流れるは人の習いなれば、我らノイリャ聖教の厳格なる教えに異国の民が従えぬのは無理なきこと。まして地の姫神が定めし御役目に身を捧げぬ放埓を自由などと謳う、共和国の民が理解しえぬのは三百年前からわたくしどもは存じ上げておりますれば、お気になさることはありませんわ」 / 「............」 / 出立前に、グレーテが。 / 聖教国はものの考え方が違うから、戸惑うことも多いだろうけれどと前置きして教えてくれたことを思いだしてレーナは内心嘆息する。ヒェルナや聖教国の幕僚と話しているとしばしば思い知らされるこの、価値観の断絶。 / 聖教国を中心に極西諸国で信仰されるノイリャ聖教は、地神と彼女が司る運命を絶対視して信奉する。人には果たすべき役目、従うべき運命がそれぞれに課され、ゆえに、全ての魂はその果たすべき役割を担う家の下に生まれつく。ノイリャ聖教を国教とし、その教義を国の法よりも上位と定めて厳格に従う聖教国では、未だに職業選択や婚姻には家門こそが重視され、選択の自由はないのだとか。 / 傍らで無言のまま佇立していた聖教国軍のまだ若い参謀官が、正面を向いたまま一つ咳払いをした。たしなめられてヒェルナがぴくんと細い肩をはねさせる。 / 「あっ......すみません。わたくし何か、失礼を申し上げてしまったのですね?」 / とたんに金色の双眸をおろおろとさせて、𠮟られた仔猫のように見上げてくる。──そう、あくまでヒェルナに悪気はないのである。考え方が少し、根本から異なるだけで。 / そして聖教国は共和国、連邦とは使う言語が違うというのに、レーナやエイティシックスたちに合わせて、派遣された当初から常に連邦語で話してくれているのがヒェルナだ。時にレーナがそのことを、忘れそうになってしまうくらいに自然に。 / 「いいえ、お気になさらず。......それからヒェルナ。わたしのこともどうぞ、レーナと」 / ぱっとヒェルナは顔を輝かせた。──そういうところはやはりレーナより三つも年下の、まだ幼い少女だった。 / 「ありがとうございます、レーナお姉さま!」 / もう	Attribute speaker and context; distinguish formal liberty, usable capability, and practiced self-government.
FREEDOM	T12-E002	V01	V01-L006	`p-007.xhtml ¶035`	`死んだ仲間を悼む自由も`	EXACT_VERIFIED	PASS_SOURCE_EXACT	人型の豚には死んだ後に安らう権利も、死んだ仲間を悼む自由も存在しない。それが九年前に彼らの祖国が作り上げ、かくあるべきと九年維持されている世界の形だ。	Attribute speaker and context; distinguish formal liberty, usable capability, and practiced self-government.
JUSTICE	T12-E120	V11	V11-L035	p-026.xhtml para 94	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永えい劫ごうの財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差さし障	EXACT_VERIFIED_BY_PHASE5	PASS_SOURCE_EXACT	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永劫の財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差し障る』	Attribute speaker/grammar; preserve aspiration toward justice versus identity-as-justice.
JUSTICE	T12-E134	V12	V12-L058	`p-008 ¶131`	`正義の国は卑怯だ`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「そうだな。正義の国は卑怯だ」	Attribute speaker/grammar; preserve aspiration toward justice versus identity-as-justice.
ADDRESS_FORMS	T12-E071	V07	V07-L052	`p-009.xhtml ¶649`	`貴女が好きです`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「貴女が好きです」	Treat names, ranks, callsigns, Queen/Death-God titles as speaker- and relation-dependent.
ADDRESS_FORMS	T12-E006	V01	V01-L028	p-018.xhtml para 434	『先にいきます。少佐』	EXACT_VERIFIED_BY_PHASE5	PASS_SOURCE_EXACT	『先にいきます。少佐』	Treat names, ranks, callsigns, Queen/Death-God titles as speaker- and relation-dependent.
