jp_id	source	locator_id	display_locator	index_anchor	quote_state	phase5_locked_locator	phase5_locked_anchor	source_verification	source_excerpt
JP-POL-012	V11	V11-L035	p-026.xhtml para 94	`正義の美名`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI/MI`	p-026.xhtml para 94	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永えい劫ごうの財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差さし障	PASS_SOURCE_EXACT	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永劫の財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差し障る』
JP-POL-016	V13	V13-L048	V13 / `p-005.xhtml` para 447	`人権...自由...正義...幻想`	`EXACT_VERIFIED_BY_PHASE5` / `CS`	V13 / `p-005.xhtml` para 447	`人権だとか、自由だとか平等だとか正義だとか。そういうものは、なるほど幻想だ。実在しない。だからこそ市民それぞれが、その幻想の...`	PASS_SOURCE_EXACT	人権だとか、自由だとか平等だとか正義だとか。そういうものは、なるほど幻想だ。実在しない。だからこそ市民それぞれが、その幻想の価値を守らねばならない。本当は無価値な空虚な言葉に、市民それぞれが価値を付与し、そして努力して維持し続けねばならない。
JP-POL-017	V14	V14-L001	`p-001` para 1	`正義たらん`	`EXACT_VERIFIED` / `LI/PT`	`p-001` para 1	`我ら、世界に誇る正義たらん`	PASS_SOURCE_EXACT	我ら、世界に誇る正義たらん
JP-POL-018	V14	V14-L206	`p-009` para 2	`正義である`	`EXACT_VERIFIED` / `LI/IT`	`p-009` para 2	`『我ら、世界に誇る正義たらん』。──つまり、連邦人の我らはすなわち正義である。`	PASS_SOURCE_EXACT	『我ら、世界に誇る正義たらん』。──つまり、連邦人の我らはすなわち正義である。
JP-PERSON-001	V03	V03-L035	p-008.xhtml para 224	`人格と意志`	`EXACT_VERIFIED_BY_PHASE5` / `NV/PF`	p-008.xhtml para 224	キリヤの抱いだいた苛いら立だちとは裏腹、禁則事項プロテクト抵てい触しよくの警告が流体マイクロマシンの脳のう裏りに明めい滅めつする。刷すり込こまれたプログラムが、それ以上の反論を厳重に禁じる。いかな戦死者の人格と意志を持つ〈羊飼い〉といえど、上位指揮官機の命令には背そむけない。	PASS_SOURCE_EXACT	キリヤの抱いた苛立ちとは裏腹、禁則事項抵触の警告が流体マイクロマシンの脳裏に明滅する。刷り込まれたプログラムが、それ以上の反論を厳重に禁じる。いかな戦死者の人格と意志を持つ〈羊飼い〉といえど、上位指揮官機の命令には背けない。
JP-PERSON-002	V04	V04-L022	`p-009.xhtml ¶61`	`自己同一性`	`EXACT_VERIFIED` / `PF/NV/LI`	`p-009.xhtml ¶61`	`自己同一性`	PASS_SOURCE_EXACT	自己同一性。
JP-PERSON-007	V06	V06-L008	`p-004 ¶243`	`疑似人格`	`EXACT_VERIFIED` / `PF/NV`	`p-004 ¶243`	`目の前のリュドミラは、先の戦闘で死んだリュドミラと同じ疑似人格、同じ戦闘経験...`	PASS_SOURCE_EXACT	目の前のリュドミラは、先の戦闘で死んだリュドミラと同じ疑似人格、同じ戦闘経験、そしておそらくはあの数日の作戦以前の、同じ記憶を持っているのだろう。それでも同じ存在とはいえまいとシンとしては感じるけれど、それでも。
JP-PERSON-009	V08	V08-L038	`p-008.xhtml ¶470`	`人格が、自我が幾つも`	`EXACT_VERIFIED` / `NV/PF/LI`	`p-008.xhtml ¶470`	`人格が、自我が幾つも`	PASS_SOURCE_EXACT	生きた人間の脳を複数、ばらばらに切り刻んでランダムに入れ替えて、つぎはぎのそれを元の頭蓋の中に入れでもしたかのような。戦死者の意識が、人格が、自我が幾つも繫ぎあわされて混じりあったかのような混声合唱。
JP-PERSON-012	V12	V12-L002	`p-001 ¶2`	`己の意思という夾雑物`	`EXACT_VERIFIED` / `CS/LI`	`p-001 ¶2`	`己の意思という夾雑物`	PASS_SOURCE_EXACT	彼女たちは命じられた以外を行わない。怯懦を、逃避を、己の意思という夾雑物を、作戦行動に混入させない。
JP-MEM-001	V01	V01-L011	`p-008.xhtml ¶266`	`名前さえ、一回だって訊いたことがない`	`EXACT_VERIFIED` / `CS/LI`	`p-008.xhtml ¶266`	`名前さえ、一回だって訊いたことがない`	PASS_SOURCE_EXACT	『僕達の名前さえ、一回だって訊いたことがないじゃないか!』
JP-MEM-005	V03	V03-L044	`p-013.xhtml ¶106–110`	`言われましたから` → `忘れたくない`	`EXACT_VERIFIED` / `CS/LI`	`p-013.xhtml ¶106–110`	`忘れないでと、言われましたから` / `忘れたくないから`	PASS_SOURCE_EXACT	「忘れないでと、言われましたから」 / 同じ空の下、違う炎の花を見上げながら──いつか同じ花火を見ようと、叶わない約束を交わしながら、預けられた願い。 / それに応えることしか、自分にはできないから......ああ、違う。それだけじゃない。 / 忘れたくないから。 / 無関心なそぶりで、けれど沢山のものを残してくれた彼を、まだ、この世界から完全に、消え去らせてはしまいたくはないから──。
JP-FREE-005	V09	V09-L022	`p-006 ¶30–47`	`選択の自由はない`	`EXACT_VERIFIED` / `PF/MI/LI`	`p-006 ¶30–47`	`選択の自由はない`	PASS_SOURCE_EXACT	「放埓を好むは人の性、低きに流れるは人の習いなれば、我らノイリャ聖教の厳格なる教えに異国の民が従えぬのは無理なきこと。まして地の姫神が定めし御役目に身を捧げぬ放埓を自由などと謳う、共和国の民が理解しえぬのは三百年前からわたくしどもは存じ上げておりますれば、お気になさることはありませんわ」 / 「............」 / 出立前に、グレーテが。 / 聖教国はものの考え方が違うから、戸惑うことも多いだろうけれどと前置きして教えてくれたことを思いだしてレーナは内心嘆息する。ヒェルナや聖教国の幕僚と話しているとしばしば思い知らされるこの、価値観の断絶。 / 聖教国を中心に極西諸国で信仰されるノイリャ聖教は、地神と彼女が司る運命を絶対視して信奉する。人には果たすべき役目、従うべき運命がそれぞれに課され、ゆえに、全ての魂はその果たすべき役割を担う家の下に生まれつく。ノイリャ聖教を国教とし、その教義を国の法よりも上位と定めて厳格に従う聖教国では、未だに職業選択や婚姻には家門こそが重視され、選択の自由はないのだとか。 / 傍らで無言のまま佇立していた聖教国軍のまだ若い参謀官が、正面を向いたまま一つ咳払いをした。たしなめられてヒェルナがぴくんと細い肩をはねさせる。 / 「あっ......すみません。わたくし何か、失礼を申し上げてしまったのですね?」 / とたんに金色の双眸をおろおろとさせて、𠮟られた仔猫のように見上げてくる。──そう、あくまでヒェルナに悪気はないのである。考え方が少し、根本から異なるだけで。 / そして聖教国は共和国、連邦とは使う言語が違うというのに、レーナやエイティシックスたちに合わせて、派遣された当初から常に連邦語で話してくれているのがヒェルナだ。時にレーナがそのことを、忘れそうになってしまうくらいに自然に。 / 「いいえ、お気になさらず。......それからヒェルナ。わたしのこともどうぞ、レーナと」 / ぱっとヒェルナは顔を輝かせた。──そういうところはやはりレーナより三つも年下の、まだ幼い少女だった。 / 「ありがとうございます、レーナお姉さま!」 / もう一度参謀官が咳払いをした。ヒェルナは今度は、おどけた様子で大仰に肩をすくめた。 / あくまで正面を見据え続ける参謀官の、淡金の双眸にはけれど妹に向けるような優しい情愛と、姫宮に向けるような深い尊崇があ
JP-FREE-006	V12	V12-L024	`p-005 ¶283`	`『自由』だと押しつけられた`	`EXACT_VERIFIED` / `CS/LI`	`p-005 ¶283`	`それが『自由』だと押しつけられた`	PASS_SOURCE_EXACT	郷士様や街長に任せておけばよかった面倒な決断を、それが『自由』だと押しつけられた。
JP-SUPPORT-001	V03	V03-L033	`p-010.xhtml ¶149`	`共に...支え`	`EXACT_VERIFIED` / `CS`	`p-010.xhtml ¶149`	`共に行く者どもを支えとすればよい`	PASS_SOURCE_EXACT	「......そなたが今、進むことに戦いておるのは、そなたが正しく未来を見据えようとしたからじゃ。道なき行く手を、直視しようとしたからじゃ。それは恥じることではなかろうし、その間くらい、共に行く者どもを支えとすればよい。仲間とは......人と人とが共に在ろうとするのは、そのためであるぞ」
JP-SUPPORT-003	V08	V08-L040	`p-011.xhtml ¶60`	`信じてやらなくてどうする`	`EXACT_VERIFIED` / `CS/LI`	`p-011.xhtml ¶60`	`あんたが信じてやらなくてどうする`	PASS_SOURCE_EXACT	『あいつなら大丈夫だ。だって、帰ってくるって言ったんだろ。そのことをあんたが信じてやらなくてどうするんだよ。大丈夫だ。だってあいつ、特別偵察さえ生き残ったんだぜ』
JP-SUPPORT-005	V09	V09-L014	`p-004 ¶553–555`	`支えてもらってたのはおれも同じだ`	`EXACT_VERIFIED` / `CS/LI`	`p-004 ¶553–555`	`支えてもらってたのはおれも同じだ`	PASS_SOURCE_EXACT	「重いから、簡単に死んで投げだすような真似はできないと思えるようになった。それだけ大勢に頼られていたから、折れずにいられた。......支えてもらってたのはおれも同じだ。それだけでもしてやれることがあると思えるから、楽になれた」 / 頼られることで、支えられていた。 / 救いになることでシン自身、救われていたのだと思う。
JP-SUPPORT-006	V09	V09-L017	`p-004 ¶611`	`頼ってください` / `共に、抱えますから`	`EXACT_VERIFIED` / `CS/LI`	`p-004 ¶611`	`頼ってください` / `共に、抱えますから`	PASS_SOURCE_EXACT	「頼ってください。つらいなら、寄りかかってください。抱えきれないほど哀しいなら、分けてください。支えますから。共に、抱えますから。貴方が辛くて、哀しくてたまらない時には、わたしが貴方を──守りますから」
JP-SUPPORT-009	V12	V12-L067	`p-008 ¶415–417`	`従うのではなく支えてくれた`	`EXACT_VERIFIED` / `CS/LI`	`p-008 ¶415–417`	`従うのではなく支えてくれた`	PASS_SOURCE_EXACT	「心配はいりません。......あなたたちは、従うのではなく支えてくれた。求めるのではなく信じてくれた」 / 女王陛下。 / その呼び名は敬意だけれど。信頼だけれど。崇拝でもないしましてや強迫でもない。
JP-SUPPORT-010	V14	V14-L129	`p-008` para 29	`信頼してるぜ、レーナ`	`EXACT_VERIFIED` / `CS/LI`	`p-008` para 29	`「俺はあんたを信頼してるぜ、レーナ。だからあんたも信じてくれよ」`	PASS_SOURCE_EXACT	「俺はあんたを信頼してるぜ、レーナ。だからあんたも信じてくれよ」
JP-RETURN-002	V03	V03-L021	`p-009.xhtml ¶089`	`必ず帰れ`	`EXACT_VERIFIED` / `CS`	`p-009.xhtml ¶089`	`必ず帰れ`	PASS_SOURCE_EXACT	「まったく、何が帰れぬじゃ。斯様な心構えでようも吐かせたものじゃの。そなたらときたら一体いつまで、必ず死ぬと定められた、かの八六区の戦場に囚われたつもりでおるのか。必ず帰れと、エルンストめも言うたであろ。......それこそが今のそなたらに課せられたさだめであるぞ」
JP-RETURN-003	V04	V04-L015	`p-006.xhtml ¶639`	`戻れぬ`	`EXACT_VERIFIED` / `CS/LI`	`p-006.xhtml ¶639`	`先に進めぬ、ではない。戻れぬ、であろ。`	PASS_SOURCE_EXACT	「先に進めぬ、ではない。戻れぬ、であろ。そなたは幸福であった幼き日に、その時の関係に戻りたいだけじゃ。そなたの罪を、無かったことにしたいのじゃ。......シンエイを傷つけたと言いながら、その傷痕には目もくれずにそなた一人が楽になりたいだけじゃ」
JP-RETURN-007	V07	V07-L053	`p-009.xhtml ¶656`	`貴女と共に、海を見たい`	`EXACT_VERIFIED` / `CS/LI`	`p-009.xhtml ¶656`	`貴女と共に、海を見たい`	PASS_SOURCE_EXACT	「おれは貴女に、海を見せたい。......貴女と共に、海を見たい。見たことのないものを。戦争に鎖されたままでは見られないものを。同じ景色を、貴女と見たい」
JP-RETURN-011	V09	V09-L019	`p-004 ¶617–622`	`一緒に生きたい`	`EXACT_VERIFIED` / `CS/LI`	`p-004 ¶617–622`	`一緒に生きたい`	PASS_SOURCE_EXACT	「一緒に生きたい。一緒にまた、海を見たい。貴方が見せたいと言ってくれた海を」 / 静かに青く光孕むという、北の無情な海を。 / 眩しく光降るのだという、南の夏の海を。 / 革命祭の花火を。レーナはまだ知らない連邦の秋と冬を。見にこいと言われた、連合王国の極光を。見てほしいと勧められた盟約同盟の絶景を。〈レギオン〉支配域の向こうの、未だ見知らぬ異国の街を。八六区に再び、咲くのだろう花々を。 / 戦場の向こう、あなたが見せたいと、共に見たいと望んでくれたものを。 / 「見たことのないものを共に見たい。それを見て笑う、貴方を見たい。気持ちを分かちあいたい。嬉しいことも、辛いことも。できるなら──いつまでも」
JP-RETURN-014	V11	V11-L055	grief `p-028 ¶5–6`	`祖国`	`EXACT_VERIFIED` / `NV`	grief `p-028 ¶5–6`	`滅びてしまった祖国のために`	PASS_SOURCE_EXACT	滅びてしまった祖国のために、死んでしまった大勢を思い。 / わあわあ声をあげてレーナは泣いた。
JP-RETURN-015	V13	V13-L115	V13 / `p-007.xhtml` para 885	`帰還` denied`	`EXACT_VERIFIED_BY_PHASE5` / `MI`	V13 / `p-007.xhtml` para 885	`「ただし──リュストカマー基地への帰還だけは、許可できません。……ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全...`	PASS_SOURCE_EXACT	「ただし──リュストカマー基地への帰還だけは、許可できません。......ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全軍の敗退、それに伴う生活の悪化、なにより殺戮機械に蹂躙されるかもしれないという恐怖。──その捌け口を市民も、軍人たちも探し求めている現状、安全のためにもあなた方を、前線へ戻すことはできないのです」
JP-RETURN-016	V13	V13-L124	V13 / `p-007.xhtml` para 985	`平和の故郷に帰る`	`EXACT_VERIFIED_BY_PHASE5` / `NV`	V13 / `p-007.xhtml` para 985	`平和の故郷に帰ることも。`	PASS_SOURCE_EXACT	平和の故郷に 帰ることも。
JP-RETURN-017	V14	V14-L044	`p-005` para 308	`戻ってこられる`	`EXACT_VERIFIED` / `CS/LI`	`p-005` para 308	`「そうだ。だから、他の奴やつらだって変われる。戻ってこられる」`	PASS_SOURCE_EXACT	「そうだ。だから、他の奴らだって変われる。戻ってこられる」
JP-BIND-002	V03	V03-L012	`p-006.xhtml ¶054`	`誇りしか`	`EXACT_VERIFIED` / `NV`	`p-006.xhtml ¶054`	`戦い抜く誇りしか、おれ達にはない`	PASS_SOURCE_EXACT	戦い抜く誇りしか、おれ達にはないから。
JP-BIND-006	V08	V08-L033	`p-008.xhtml ¶95`	`誇りしかないとはもう言わない`	`EXACT_VERIFIED` / `CS/LI`	`p-008.xhtml ¶95`	`誇りしかないとはもう言わない`	PASS_SOURCE_EXACT	『そうだな。言うとおり、戦わなくてもいいんだと思う。誇りしかないとはもう言わないし、戦場以外に居場所がないとも、もう思わない。......けど、戦わないと行きたいところに行きつけないし、......それ以上に自分に恥じるようには生きたくない』
JP-BIND-009	V09	V09-L001	`p-001 ¶1`	`誇り。願い。絆。祈り...呪い`	`EXACT_VERIFIED` / `NV/LI`	`p-001 ¶1`	`誇り。願い。絆。祈り。あるいは──呪い。`	PASS_SOURCE_EXACT	誇り。願い。絆。祈り。あるいは──呪い。
JP-BIND-011	V09	V09-L053	`p-011 ¶308–311`	`誇りという名の...呪い`	`EXACT_VERIFIED` / `NV/LI`	`p-011 ¶308–311`	`誇りという名の、傷という名の呪い`	PASS_SOURCE_EXACT	「いなくならないでほしかったの。でも──縛りたいわけじゃなかったの。呪いたいわけじゃなかったの。でも......あたしもきっと、今のスヴェンヤと同じになってたの」 / スヴェンヤはまるで、ギルヴィースに縋りついて呪いをかけているようだ。 / ミルメコレオの兵士たちはまるで、スヴェンヤに縋りついて呪いをかけているようだ。 / 仲間なのだからと、同胞なのだからと、同じ傷を抱えているのだからと、その傷こそが自分たちの絆なのだからと。誇りという名の、傷という名の呪いをかけあっているようだ。
JP-BIND-015	V13	V13-L113	V13 / `p-007.xhtml` para 853	`言葉も...感情も...呪い`	`EXACT_VERIFIED_BY_PHASE5` / `NV`	V13 / `p-007.xhtml` para 853	`言葉も、願いも、祈りも、感情も、およそ人が人に向けるものはどれもが呪いだ。進む足を縛る。先行きを捻じ曲げる。選ぶ道を誤らせ、...`	PASS_SOURCE_EXACT	言葉も、願いも、祈りも、感情も、およそ人が人に向けるものはどれもが呪いだ。進む足を縛る。先行きを捻じ曲げる。選ぶ道を誤らせ、その者の魂の形さえも時に、決定的に変えてしまう。
JP-BIND-016	V13	V13-L114	V13 / `p-007.xhtml` para 854	`受けいれられた呪い...愛`	`EXACT_VERIFIED_BY_PHASE5` / `NV`	V13 / `p-007.xhtml` para 854	`それでもなお受けいれられた呪いを、せめて、愛と呼ぶのだろう。`	PASS_SOURCE_EXACT	それでもなお受けいれられた呪いを、せめて、愛と呼ぶのだろう。
JP-TIME-013	V11	V11-L045	p-026.xhtml para 356	`もうしません`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI`	p-026.xhtml para 356	「悲壮面の聖女は、もうしません。したくありませんから。……これで共和国軍人としての義務は果たしました。だからもう、このあと彼らに縋すがられたって、知りません」	PASS_SOURCE_EXACT	「悲壮面の聖女は、もうしません。したくありませんから。......これで共和国軍人としての義務は果たしました。だからもう、このあと彼らに縋られたって、知りません」
JP-FORGIVE-002	V14	V14-L049	`p-005` para 331	`赦してなどいない`	`EXACT_VERIFIED` / `NV`	`p-005` para 331	`シンは、シンこそが、赦ゆるしてなどいない。身勝手な正義でリトを殺し、あげくその身勝手を正当化しようとエイティシックスを人類の敵へと仕立てあげ...`	PASS_SOURCE_EXACT	シンは、シンこそが、赦してなどいない。身勝手な正義でリトを殺し、あげくその身勝手を正当化しようとエイティシックスを人類の敵へと仕立てあげた男を、その行動も存在も何一つとして赦していない。
JP-VOICE-013	V03	V03-L025	`p-009.xhtml ¶347`	`俺は、死にたくねえ。それだけだ`	`EXACT_VERIFIED` / `CS/LI`	`p-009.xhtml ¶347`	`俺は、死にたくねえ。それだけだ`	PASS_SOURCE_EXACT	「......俺は、死にたくねえ。それだけだ。それで充分だと思ってる。多分、他の奴らも同じだろうぜ」
JP-VOICE-027	V06	V06-L055	`p-007 ¶825`	`生きてるから`	`EXACT_VERIFIED` / `CS/LI`	`p-007 ¶825`	`「生きてるから」`	PASS_SOURCE_EXACT	「生きてるから」
JP-VOICE-067	V13	V13-L089	V13 / `p-007.xhtml` para 85	`弱くて、臆病で、馬鹿`	`EXACT_VERIFIED_BY_PHASE5` / `CS`	V13 / `p-007.xhtml` para 85	`「そうだな。おれは──弱くて、臆病で、馬鹿だから」`	PASS_SOURCE_EXACT	「そうだな。おれは──弱くて、臆病で、馬鹿だから」
JP-VOICE-068	V14	V14-L197	`p-008` para 653	`痛かった`	`EXACT_VERIFIED` / `CS/LI`	`p-008` para 653	`『──痛かった、』`	PASS_SOURCE_EXACT	『──痛かった、』
