logical_id	role	scope	canonical	drive_id	filename	size_bytes	duration_seconds	width	height	avg_frame_rate	video_codec	audio_codec	sample_rate	channels	sha256
LILJA-C07	song_commu	ガラクタロード	True	11HpS-SBQRUSkBCGj7InoxRV3NrhZwLTo	【ガラクタロード】葛城リーリヤ  楽曲コミュまとめ【学マス】-(1080p60).mp4	172513177	681.737868	1920	1080	60/1	h264	aac	44100	2	418f1550edd8ceedde5303b07f600d75d76cf35f56a238fd37d1f87baab8caff
LILJA-P01	3dmv	白線	True	1Ymo6SL_Vw5zJ8nN06JC-Ii6HH3Y793cL	4K HDR「白線」 (葛城リーリヤ SSR solo)【学マス⧸学園アイドルマスタ⧸Gakuen Idolm@ster MV】-(1080p60).mp4	99160806	166.463855	1920	1080	60/1	h264	aac	44100	2	b757ff70d76380ea8ec1d285bb8e16de9632836a5bd8086ca352d3048a93ac71
LILJA-P02	official_mv	白線	True	1neo_V_BdIIFaCSegzOy8sYXtNCrfgdXT	初星学園 「白線」Official Music Video (HATSUBOSHI GAKUEN - Hakusen)-(1080p30).mp4	38806256	217.524535	1920	1080	30/1	h264	aac	44100	2	bc556e9dd88713e4110f7840cd6a02489bd312a7ea52d33150eebba87e8cda3a
LILJA-P03	3dmv	Campus mode!!	True	1ZbEzLIhNmHVWLm9Vm-0L_ApP9s0YLKJp	4K HDR「Campus mode!!」(葛城リーリヤ フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	97427400	160.867846	1920	1080	60/1	h264	aac	44100	2	e1abdec17c1de4f1931250abb8b9024686558799ebc2eae91d0583877866bbbd
LILJA-P04	3dmv	極光	True	1aBBm_T93qFrLFWKuQCiZU2yJbl6ZK5mz	4K HDR「極光」 (葛城リーリヤ ソロ2 SSR) Aurora⧸Kyokkou【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	118091488	196.742676	1920	1080	60/1	h264	aac	44100	2	97e8c9c91bc5f030c1e0495056f7c955c3f1f38c0041c90804aecd35ebafa477
LILJA-P05	3dmv	Atmosphere	True	1hpdJVVZrm9NuOBKwGIc9Ri-gJmmsqYIv	4K HDR「Atmosphere」 (葛城リーリヤ STEP3 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	108010215	189.59093	1920	1080	60/1	h264	aac	44100	2	c87768556292f09287e57b4ad6868a71f0ead6c763b53cbfdf89804e01f14bfa
LILJA-P06	official_mv	Atmosphere	True	12-rObEU0laIqRrAs02EL_NU6UZuiZzn4	初星学園 「Atmosphere」Official Music Video (HATSUBOSHI GAKUEN - Atmosphere)-(1080p24).mp4	85856800	269.328254	1920	1080	24/1	h264	aac	44100	2	a48bc643f218624cfd1f9d6092551146061c3f42d86766eaabd4e60e1d7c3666
LILJA-P07	3dmv	ときめきエモーション / REVERSI	True	1fp98TuOKSdskrdEnhsErAodD4-L03Ifs	4K HDR「ときめきエモーション」(葛城リーリヤ・紫雲清夏 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	95196375	160.403447	1920	1080	60/1	h264	aac	44100	2	ed4f754493e81ef34ccb1144e877036b07669a498b94516fd1d06a05ccdfd535
LILJA-P07-ALT	3dmv_alternate_capture	ときめきエモーション / REVERSI	False	1he_AXVXJJHLIUYfFW7hQf7vstc1oYHMA	【学マスMV】「ときめきエモーション」葛城リーリヤ、紫雲清夏【REVERSI】-(1038p60).mp4	100263057	156.247075	1920	1038	60/1	h264	aac	44100	2	daaed3aaa708270034fb283cd9121a786df6dd59c018c667714695e56e6984ea
LILJA-P08	official_mv	ときめきエモーション / REVERSI	True	1nj6WRlWUo0CUVQAz5nOqYZd2grirWFp6	初星学園 「ときめきエモーション」Official Music Video (HATSUBOSHI GAKUEN -  Tokimeki Emotion)-(1080p24).mp4	49081793	209.049252	1920	1080	24/1	h264	aac	44100	2	fcdd1475cf75446ee548830f5fda17357ff9f4c7fa4ee34606ec9081f32ce743
LILJA-P09	3dmv	ガラクタロード	True	1sdaJf3or327tGqnu3kQYeKH8CusmMgtV	4K HDR「ガラクタロード」(葛城リーリヤ フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	101466805	164.04898	1920	1080	60/1	h264	aac	44100	2	cf08c0306e843dd3fea1778c4ae0fdd56cda38be4400e07606441d5344bc2e23
LILJA-P10	3dmv	ENDLESS DANCE	True	14jD24znAnkuasN3BvGcWmMJQB04t5W4J	4K HDR「ENDLESS DANCE」(葛城リーリヤ SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	63656376	109.621406	1920	1080	60/1	h264	aac	44100	2	f57b433a0d325e12db45a2634c4d6af5f0c4f90ae66ed0503248da76da1dea8b
LILJA-P11	3dmv	Howling over the World	True	1Jn3ntEyFmEylBPwUaVRhx1B5R_-DWPMt	4K HDR「Howling over the World」  (葛城リーリヤ ソロ SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	71513931	110.666304	1920	1080	60/1	h264	aac	44100	2	a65961f2e80e3cad17aee63937e0712457b8de3060e441fa4efb32f29c282b07
