source_id	class	form	title	filename	drive_id	provenance	notes	sha256	size_bytes	duration_seconds	format_name	container_bit_rate	video_codec	width	height	r_frame_rate	avg_frame_rate	video_bit_rate	audio_codec	sample_rate	channels	channel_layout	audio_bit_rate
RINAMI-D04	dear	dear_compilation	Dear 028-037 / STEP4 H.I.F.	【学マス】姫崎莉波　親愛度２８～３７話【アイドルコミュ STEP4 HIF】-(720p30).mp4	1S7_d7iqp2xlwXgOcmG8lD5vO7nl8cC9L	library_direct_upload	720p direct-upload analysis materialization; canonical Drive provenance counterpart is 360p30	3bedd68001ea277ddd50242da301fff1e1818a54505266dedccd7a340a25c876	451542566	3613.907302	mov,mp4,m4a,3gp,3g2,mj2	999566	h264	1280	720	30/1	30/1	860615	aac	44100	2	stereo	127999
RINAMI-P01	performance	3dmv	clumsy trick 3DMV	4K HDR「clumsy trick」(歌：姫崎莉波)【学マス⧸学園アイドルマスタ⧸Gakumas MV】-(1080p60).mp4	1ahpWzxQwn_DxOFFxZdLUlYz5v-hOsFid	drive	rendered solo performance	9f654f9b6cb422fedc46300fec9896c2f4b7a57737b1cec20d1991de1c1c748a	89986957	161.587664	mov,mp4,m4a,3gp,3g2,mj2	4455139	h264	1920	1080	60/1	60/1	4267621	aac	44100	2	stereo	127999
RINAMI-P02	performance	official_mv	clumsy trick official MV	初星学園 「clumsy trick」Official Music Video (HATSUBOSHI GAKUEN - clumsy trick)-(1080p24).mp4	1GQ8SNx2PcNvqrySRChcRcxBZfA6vc8vY	drive	authored official MV	a0be0334901aca8cd40694a5352449c9b3ef72c21d821311711cffb5184e8345	71639338	232.176327	mov,mp4,m4a,3gp,3g2,mj2	2468445	h264	1920	1080	24/1	24/1	2295945	aac	44100	2	stereo	127999
RINAMI-P03	performance	3dmv	L.U.V 3DMV	4K HDR「L.U.V」 (姫崎莉波 ソロ2 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1B5AMreNXJurwpf6OJjni3Lbi9uVuEwa9	drive	rendered solo performance	0ea7d30d9d610d3df58b4263cd7ec6fb878981a3bb89438c5c4bf2300ffeb4d3	133149283	200.736508	mov,mp4,m4a,3gp,3g2,mj2	5306430	h264	1920	1080	60/1	60/1	5123756	aac	44100	2	stereo	127999
RINAMI-P04	performance	static_full_mix	L.U.V full-song presentation	L.U.V-(1080p25).mp4	1VYqPYkkckcefcKFIMmA6OJzFWDu4lJ2A	drive	static/full-song video; not treated as authored MV	e7419bbf66b6ce36fb14db8c78e14c1bce7a6ab4ea2ef8dab26160af82372b16	8133485	251.366009	mov,mp4,m4a,3gp,3g2,mj2	258857	h264	1080	1080	25/1	25/1	105088	aac	44100	2	stereo	128000
RINAMI-P05	performance	3dmv	36℃ U･B･U 3DMV	4K HDR「36℃ U･B･U」 (姫崎莉波 STEP3 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1iuVT_uX4l0TSDBuTfgMyXMxIdvUWJQvn	drive	rendered solo performance	8bad327cc161f0973bece448341c95e300d55b05d9aa1bf9ebc4a2262c01c62a	114094860	169.15737	mov,mp4,m4a,3gp,3g2,mj2	5395915	h264	1920	1080	60/1	60/1	5185193	aac	44100	2	stereo	127999
RINAMI-P06	performance	official_mv	36℃ U･B･U official MV	初星学園 「36℃ U･B･U」Official Music Video (HATSUBOSHI GAKUEN - 36℃ U･B･U)-(1080p30).mp4	197jq5Fix5fIGE9SEoet0Rwo4oyIM8ODA	drive	authored official MV	8fdb2a16bd44f95b95170352665894e2bbc5a65039e4a6538d37c77734bb8c48	96998758	251.634649	mov,mp4,m4a,3gp,3g2,mj2	3083796	h264	1920	1080	30/1	30/1	2911819	aac	44100	2	stereo	127999
RINAMI-P07	performance	3dmv	Campus mode!! 3DMV	4K HDR「Campus mode!!」(姫崎莉波 フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	16ZZpI69RLaju1y3-07BRSxm1siPkgqKz	drive	rendered inherited-repertoire performance	da6c1691e3010b84f0ec29f61d8dc939ff3146829bee1ba1e33f39d433b25272	107053341	160.380227	mov,mp4,m4a,3gp,3g2,mj2	5339977	h264	1920	1080	60/1	60/1	5144952	aac	44100	2	stereo	127999
RINAMI-P08	performance	3dmv	ガラクタロード 3DMV	4K HDR「ガラクタロード」(姫崎莉波 フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1QaHxLTSvg0fTqr5JeeftelBPTsVuTjnS	drive	rendered inherited-repertoire performance	07684989b126c9b03410084a6d661617f0ef6568dd7afbf99744bc1d0bc0fe6b	116099734	164.118639	mov,mp4,m4a,3gp,3g2,mj2	5659307	h264	1920	1080	60/1	60/1	5467711	aac	44100	2	stereo	127999
RINAMI-P09	performance	3dmv	Howling over the World 3DMV	4K HDR「Howling over the World」 (姫崎莉波 ソロ SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1kl8_uhs-iLkNXlkPdDpsuA50ryYqc5Z5	drive	rendered inherited-repertoire performance	23ac9a50fc70dc36cd8d11953687978ad2ed50a26771ce22f4efbb95adc5e3e9	62530706	111.386122	mov,mp4,m4a,3gp,3g2,mj2	4491094	h264	1920	1080	60/1	60/1	4303530	aac	44100	2	stereo	127999
RINAMI-P10	performance	3dmv	SUGAR FLAVOR duet 3DMV	4K HDR「SUGAR FLAVOR」(姫崎莉波・有村麻央 SSR)【学マス⧸学園アイドルマスタ⧸学園偶像大師⧸Gakuen idolm@ster MV】-(1080p60).mp4	1clT7o2Sz9sA8mWpl7Ijz9XJgp9Y9ntsF	drive	rendered Rinami/Mao duet performance	515374b0a246e6baaad09f0f9484ca3016a2bfb29859f756f007025ad203bf69	79590939	138.646349	mov,mp4,m4a,3gp,3g2,mj2	4592457	h264	1920	1080	60/1	60/1	4387262	aac	44100	2	stereo	127999
RINAMI-P11	performance	official_mv	SUGAR FLAVOR official MV	初星学園 「SUGAR FLAVOR」Official Music Video (HATSUBOSHI GAKUEN - SUGAR FLAVOR)-(1080p24).mp4	1jFJxvLA8ExtN-f17o20RPv8eVO0Jahbz	drive	authored official duet MV	8072c8728aa35284792941c5915ca1a4e95ec4ea00dcb010fe5528198256ce8a	72304019	188.104853	mov,mp4,m4a,3gp,3g2,mj2	3075051	h264	1920	1080	24/1	24/1	2745198	aac	44100	2	stereo	255999
RINAMI-P12	performance	official_mv	歌声は君いろ official MV	初星学園 「歌声は君いろ」Official Music Video (HATSUBOSHI GAKUEN - The singing voice is your color)-(1080p24).mp4	1CdvrQQ1XvvXZkBfyBp74CadKgstkrNeh	drive	authored official MV / breadth object	e8d710dcfca31856be6688576c4cd94dcc4e5e57d58631d1bab277689985720b	84323442	278.314376	mov,mp4,m4a,3gp,3g2,mj2	2423832	h264	1920	1080	24/1	24/1	2242705	aac	44100	2	stereo	127999
RINAMI-P13	performance	3dmv	ENDLESS DANCE 3DMV	4K HDR「がむしゃらに行こう！」 (姫崎莉波 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	106paLOR08gWzHAuNN2hGzASJ0II_ukr0	drive	rendered common-repertoire breadth object	4ab90b6b10a6abc418620d9f80a0895785f0d5d872c5ebf6bbedd85072b85d66	73119877	109.644626	mov,mp4,m4a,3gp,3g2,mj2	5335045	h264	1920	1080	60/1	60/1	5106990	aac	44100	2	stereo	127999
RINAMI-P14	performance	3dmv	がむしゃらに行こう！ 3DMV	4K HDR「ミラクルナナウ(ﾟ∀ﾟ)！」 (姫崎莉波 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1sP3EhPm7VV6dAE5zrLOnsLBh7l36EsoE	drive	rendered common-repertoire breadth object	e0cd916e274d65599cea21d9bfb116b9669ad168c35486bd91f18794fc7317b4	72475132	116.819592	mov,mp4,m4a,3gp,3g2,mj2	4963217	h264	1920	1080	60/1	60/1	4754215	aac	44100	2	stereo	127999
RINAMI-P15	performance	3dmv	ミラクルナナウ(ﾟ∀ﾟ)！ 3DMV	4K HDR「ENDLESS DANCE」(姫崎莉波 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	1PY8DFDQnz6miS0QjUH5MXdMlhzm_lq2a	drive	rendered novelty/repertoire breadth object	db1762480542b974880ed8c778031b3d6b93645528d62915a1b64093b1908393	63651011	109.389206	mov,mp4,m4a,3gp,3g2,mj2	4655012	h264	1920	1080	60/1	60/1	4431076	aac	44100	2	stereo	127999
RINAMI-P16	performance	song_video	初 [Rinami] song video	[学マス] 『初』 姫崎 莉波ver-(1080p30).mp4	1jRLY6NWRXIGjvL9njL1IsZJ6NI-5GOn6	drive	supplemental common-song video	408ec0fe5db4cf8434bd43403a9b80dc95916a78c5e9ba4d7425e5959225cc8a	7853086	153.878639	mov,mp4,m4a,3gp,3g2,mj2	408274	h264	1084	1080	30/1	30/1	236238	aac	44100	2	stereo	127999
