case_id	intake_date	title_original	title_romanized	title_working_english	franchise	creator_or_circle	format	r18_status	pairing_or_focus	work_type_initial	source_status	baseline_status	analysis_status	priority	confidence	next_action	notes
DJFW_BACKLOG_0010	2026-08-28	Oregairu Iroha doujin		Iroha kouhai-manipulation romance	Oregairu		doujinshi	r18	Iroha / Hachiman	kouhai manipulation romance	metadata_only_needs_reupload	A	metadata_only	high	provisional	Strong pilot if source recovered; Oregairu V2 baseline likely excellent.	Handoff identifies as voice-preserving domestic yuri.
DJFW_BACKLOG_0011	2026-08-28	Kokonoe Kazura 3		Kokonoe Kazura 3	WataMote		doujinshi	r18	Tomoko / Yuri	established-couple domestic yuri	metadata_only_needs_reupload	C	metadata_only	high	provisional	Recover source and WataMote baseline before formal closeout.	Handoff notes cool-girl vulnerability and confession pressure.
DJFW_BACKLOG_0012	2026-08-28	Little Witch Academia xxx		Little Witch Academia xxx	Little Witch Academia		doujinshi	r18	Diana / Akko	rival-to-lover confession yuri	metadata_only_needs_reupload	C	metadata_only	medium	provisional	Recover source and baseline before fidelity judgment.	Handoff treats as literary and post-confession hidden-self study.
DJFW_BACKLOG_0013	2026-08-28	IBERISU		IBERISU	Idol/yuri fanwork		doujinshi	r18_or_romance_weighted	idol yuri pairing	introspective idol yuri	metadata_only_needs_reupload	C	metadata_only	high	provisional	Clarify franchise/source on recovery.	Compare with Blue Monday #3 by same author.
DJFW_BACKLOG_0014	2026-08-28	YOU CHIKA XOXO		YOU CHIKA XOXO	Love Live! Sunshine!!		doujinshi	r18	You / Chika	baka-couple idol yuri comedy	metadata_only_needs_reupload	C	metadata_only	medium	provisional	Needs Sunshine baseline before strong fidelity claims.	Handoff identifies Riko as catalyst and relation-naming pressure.
DJFW_BACKLOG_0015	2026-08-28	Blue Monday #3		Blue Monday #3	Love Live! Sunshine!!	Mushiyaki!! / Kanbayashi Makoto	doujinshi	all_ages	You / Chika / Riko	confession-deferral yuri	metadata_only_needs_reupload	C	metadata_only	high	provisional	Strong all-ages pilot after source/baseline recovery.	Handoff identifies the emotional event as purely linguistic.
DJFW_BACKLOG_0016	2026-08-28	ChinaHiro Short Stories #2		ChinaHiro Short Stories #2	Gakuen Idolmaster	POLE-STAR / Porasuta	doujinshi	all_ages	China / Shinosawa Hiro	name-intimacy sketch	metadata_only_needs_reupload	A_or_B	metadata_only	high	provisional	Excellent pilot if Gakumas baseline pointers are resolved.	Handoff identifies as romantic continuation / grief repair.
DJFW_BACKLOG_0017	2026-08-28	最高の花束を君に2	Saikou no Hanataba wo Kimi ni 2	The Best Bouquet for You 2	BANANA FISH		doujinshi	r18_or_romance_weighted	Ash / Eiji	grief-repair BL	metadata_only_needs_reupload	C	metadata_only	medium	provisional	Recover source and baseline.	Tests Bakugou flattening risk and Todoroki blunt-calm fidelity.
DJFW_BACKLOG_0018	2026-08-28	Melty Baby		Melty Baby	My Hero Academia		doujinshi	r18_or_romance_weighted_BL	Todoroki / Bakugou	prickly-boy vulnerability BL	metadata_only_needs_reupload	A_or_B	metadata_only	high	provisional	Strong pilot after MHA baseline state confirmed.	
DJFW_CASE_0002	2026-08-28	水着の下の誘惑	Mizugi no Shita no Yuuwaku	Mizugi no Shita no Yuuwaku	THE IDOLM@STER CINDERELLA GIRLS	telomereNA (Gustav)	digital CBZ	r18	Nitta Minami / Producer	costume/body-premise romantic intensification	uploaded_locked_full_sequence	A / Minami mobile-game monograph + canonical audit	continuous_sequential_canonical	medium	high	Use as telomereNA costume-premise comparator; no further OCR unless line-level register is needed.	Author afterword explicitly recognizes sexual-appeal-priority character-collapse risk and uses Minami's official tanning trait as a bridge.
DJFW_CASE_0003	2026-08-28	メイド主従ラバーズ	Maid Shujuu Lovers	Maid Shujuu Lovers	THE IDOLM@STER CINDERELLA GIRLS	telomereNA (Gustav)	digital CBZ	r18	Nitta Minami / Producer	maid role-performance romantic intensification	uploaded_locked_full_sequence	A / Minami mobile-game monograph + canonical audit	continuous_sequential_canonical	medium_high	high	Use as role-performance transformation benchmark.	Afterword states stronger master-servant transformation would require in-story time because ordinary Minami would not simply change without development.
DJFW_CASE_0004	2026-08-28	夜まで待てない complete	Yoru made Matenai complete	Yoru made Matenai complete	THE IDOLM@STER CINDERELLA GIRLS	telomereNA (Gustav)	digital CBZ	r18	Nitta Minami / Producer	accretive ongoing-relationship continuity	uploaded_locked_full_sequence	A / Minami mobile-game monograph + canonical audit	continuous_sequential_canonical	high	high	Use as telomereNA relationship-duration comparator.	Strongest quartet case for temporal continuity, but afterword shows accretive scene-built construction rather than tightly preplanned plot.
DJFW_CASE_0005	2026-08-28	オトナのせいにして	Otona no Sei ni Shite	It's all the adults' fault.	THE IDOLM@STER CINDERELLA GIRLS	telomereNA (Gustav)	digital CBZ	r18	Nitta Minami / Producer	private adulthood / self-authorization romantic intensification	uploaded_locked_full_sequence	A / Minami mobile-game monograph + canonical audit	continuous_sequential_canonical	high	high	Use as strongest telomereNA adult/desire comparator.	Strongest quartet case for private adulthood and desire, but baseline audit requires reading desire as intensification, not late discovery; afterword self-critiques earlier collapse risk.
DJFW_CASE_0006	2026-08-28	Ichijou 10-man Yen	Ichijou 10-man Yen	Ichijou 10-man Yen	Gakuen Idolmaster	Itano Chiharu	digital CBZ	r18	Shinosawa Hiro / Producer	frailty-collapse bodily-risk negative control	uploaded_locked_full_sequence	A / canonical Hiro textual+AV baseline	continuous_sequential_canonical_V2	medium	high	Retain as Hiro frailty-collapse negative control.	Recognizes Hiro's bodily limit but loses authored/selected difficulty and accountable attachment.
DJFW_CASE_0007	2026-08-28	白宵の宿	Shirayoi no Yado	Shirayoi no Yado	Gakuen Idolmaster	Shioyamachicurry (Shioya Coluli)	digital CBZ	r18	Shinosawa Hiro / Producer	occult mystery / folklore-horror transformative AU	uploaded_locked_full_sequence	A / canonical Hiro textual+AV baseline	continuous_sequential_canonical_V2	high	high	Use as strongest current long-form Hiro-preserving AU benchmark.	Transforms frailty, calm, impossible-experience appetite, charisma, and Producer attachment into occult story grammar without erasing Hiro's agency.
DJFW_CASE_0008	2026-08-28	GakuMas Dosukebe Goudoushi - Gakuen Ikisugi Master 4	Gakuen Ikisugi Master 4	Gakuen Ikisugi Master 4	Gakuen Idolmaster	Nerimono Koujou (Various)	digital CBZ anthology	r18	multi-character roster; two adjacent Hiro micro-segments	roster anthology / motif-first micro-fidelity	uploaded_locked_exact_duplicate_resupply	A / canonical Hiro textual+AV baseline	continuous_sequential_canonical_V2	medium	high	Retain as anthology micro-fidelity comparator; do not create duplicate case for resupply.	V2 corrects prior one-segment assumption: two adjacent independently authored Hiro micro-segments preserve thin evaluative calm but not full character architecture.
DJFW_CASE_0009	2026-08-28	GakuMas Icha Love Ero Goudou - Dosukebe mode!!	GakuMas Icha Love Ero Goudou - Dosukebe mode!!	Dosukebe mode!!	Gakuen Idolmaster	Kakuzatou (Various); Hiro segment by mameojitan	digital CBZ anthology	r18	multi-character roster; Shinosawa Hiro / Producer segment	icha-love anthology / short-form relational fidelity	uploaded_locked_full_sequence	A / canonical Hiro textual+AV baseline	continuous_sequential_canonical_V2	high	high	Use as strongest current short-form Hiro relational/voice compression benchmark.	Manual segment map resolves prior OPEN state; mameojitan segment preserves frailty, shared aspiration, reciprocal constraint, teasing, and accountable difficulty.
DJFW_CASE_0010	2026-08-28	Kodomo Idol o Suki Houdai shite Idenshi Mazemaze Haramase Nyanko	Kodomo Idol o Suki Houdai shite Idenshi Mazemaze Haramase Nyanko	Typehatena negative-control case	Idolmaster cross-franchise	2nd color (Typehatena)	digital CBZ	r18_minor_coded_categorical_only	multi-idol roster; Hiro closing-page visual cameo	artist-machine negative control / subjecthood-erasing roster use	uploaded_locked_categorical_only	categorical_only	continuous_sequential_categorical_canonical_V2	high_taxonomic	high	Use only as categorical negative control; no explicit OCR/transcription.	Hiro is visually present but character authorship is absent; work is useful for interchangeability and subjecthood-erasure taxonomy, not line-level fidelity.
