rank	id	title	tier	total	S	O	C	I	R	J	H	D	opens	operation	chronology	caveat	confidence	rationale
11	event_2023_009_st-eve-2309-backside	遥か頂に向かう秀麗	E1_CORE	20	4	4	3	2	3	2	2	0	OPEN-01,OPEN-03,OPEN-08	REVISION	POST_ANIME_PRE_STELLAR		HIGH	Rei overtrains toward the top; Haruko forfeits a live rather than permit bodily risk, providing a direct counter-model for Sakura/Makino health-autonomy tensions.
12	event_2024_010_st-eve-2410-dice	お待たせしました里帰り～星見凱旋記～	E1_CORE	20	4	4	3	2	3	2	2	0	OPEN-14,OPEN-17,OPEN-18	REVISION	POST_BIG4_LIKELY		HIGH	Hoshimi homecoming overlays Mana/Haruko/Makino local history with the current multi-unit institution, making place-based public memory part of professional continuity.
13	event_2024_008_st-eve-2408-race	偽りのREALISM ～密着 新曲会議！？～	E1_CORE	20	3	4	3	3	3	2	2	0	OPEN-10,OPEN-15,OPEN-16	REVISION	POST_IIIX_HOSHIMI_TRANSFER_LATE		HIGH	IIIX turns documentary exposure, center conflict and deliberate public friction into creative material, directly testing authenticity under managed media.
14	event_2026_002_st-eve-2602-dice	ぶつかり愛のCenter Battle！	E1_CORE	19	4	4	3	1	3	2	2	0	OPEN-07,OPEN-15	REVISION	LATE_GAME_POST_BIG4		HIGH	All five Tsuki members contest center by performance; Nagisa wins, proving BIG4's contestable-center principle generalizes beyond Kotono/Suzu and that losing can deepen rather than erase agency.
15	event_2026_003_st-eve-2603-race	あなたに捧ぐWith your songs	E1_CORE	19	4	4	3	1	3	2	2	0	OPEN-17	TEMPORAL_MATURATION	LATE_GAME		HIGH	Kotono and Suzu build an answer song around Mana while testimony splits sister, idol, rival and vulnerable person; Sakura again experiences embodied presence without proving supernatural causality.
16	event_2022_010_st-eve-2210-race	運命繋ぐ流星の軌跡	E1_CORE	19	4	3	3	2	3	2	2	0	OPEN-17,OPEN-18	REVISION	POST_ANIME_PRE_STELLAR		HIGH	Rio explicitly abandons the idea that moving forward requires forgetting Mana; public cover performance converts memory from obstacle into competitive continuity.
17	event_2024_004_st-eve-2404-dice	不屈のChallenger～Roll the dice～	E2_IMPORTANT	18	3	4	2	3	2	2	2	0	OPEN-08,OPEN-10	TEMPORAL_MATURATION	POST_IIIX_HOSHIMI_TRANSFER_LATE		HIGH	IIIX tests overseas expansion while preserving Hoshimi affiliation, making global ambition and contractual autonomy concrete.
18	event_2026_006_st-eve-2606-dice	羽ばたけ！恩返しのAile	E2_IMPORTANT	18	3	4	3	2	2	2	2	0	OPEN-06,OPEN-08,OPEN-11	TEMPORAL_MATURATION	LATE_GAME_POST_STELLAR_LIKELY		HIGH	TRINITYAiLE reframes gratitude as repeatable practice rather than debt and uses DoriKyun/Makino relationships to show repayment continuing after achievement.
19	event_2022_002_st-eve-2202-marathon	心愛溶けるビターチョコレート	E2_IMPORTANT	18	4	3	3	2	3	2	1	0	OPEN-08,OPEN-16	REVISION	POST_ANIME		HIGH	Kokoro turns accidental past harm into private atonement; LizNoir rejects guilt as a legitimate basis for future labor and redirects her toward self-authored contribution.
20	event_2022_003_st-eve-2203-race	並び立つ歌姫のフルリール	E2_IMPORTANT	18	4	3	3	2	3	2	1	0	OPEN-03,OPEN-08,OPEN-11,OPEN-16	REVISION	POST_ANIME		HIGH	Shizuku/Rui collaboration tests mentorship, consent, self-confidence and rival-unit equality; Rui explicitly recognizes the arrogance of imposing her own correct method.
21	event_2026_001_st-eve-2601-race	新春万福　素顔の晒し合いGAME	E2_IMPORTANT	17	3	3	3	2	3	2	1	0	OPEN-10,OPEN-16	TEMPORAL_MATURATION	LATE_GAME_LIKELY_POST_STELLAR		HIGH	IIIX official video channel deliberately commodifies the members' unguarded selves, making the boundary between genuine friction and produced authenticity newly explicit.
22	event_2021_005_st-eve-2111-backside	夢踊るステージに架け橋を	E2_IMPORTANT	16	3	3	3	2	2	2	1	0	OPEN-08,OPEN-16	EXTENSION	EARLY_POST_ANIME		HIGH	Rei and her father directly debate whether idol labor is socially meaningful, sustainable, and worth a life; unusually strong family-versus-vocation evidence.
23	event_2023_001_st-eve-2301-contest	最高優美＊飛躍のカウントダウン	E2_IMPORTANT	16	3	3	3	2	2	2	1	0	OPEN-08,OPEN-15	EXTENSION	POST_ANIME_PRE_STELLAR		HIGH	Rio absence forces Kokoro to occupy center and LizNoir to prove resilience; center is treated as earned responsibility rather than immutable ownership.
24	event_2023_004_st-eve-2304-marathon-raid	音色の輝石が紡ぐ未来	E2_IMPORTANT	16	3	3	3	1	2	2	2	0	OPEN-07,OPEN-15	RELAPSE_RECURSION	PRE_BIG4_LIKELY		HIGH	Sunny/Tsuki rivalry reveals the pressure of comparative distance and Kotono-style result fixation, useful as a precursor to BIG4 rather than an endpoint revision.
25	event_2023_008_st-eve-2308-marathon-raid	おしごとシークレット	E2_IMPORTANT	16	3	3	3	2	2	2	1	0	OPEN-08,OPEN-11,OPEN-16	EXTENSION	POST_ANIME		HIGH	Yu hides a family-linked doujin vocation while balancing idol work; the reveal reframes elite professionalism as compatible with a private creative life and paternal support.
26	event_2024_003_st-eve-2403-race	笑顔のSUNNY 繋げるPEACE	E2_IMPORTANT	16	3	3	3	2	2	2	1	0	OPEN-08,OPEN-14	TEMPORAL_MATURATION	POST_ANIME_LATE		HIGH	Sunny national tour literalizes reciprocal audience connection across regions, including fans whose lives and aspirations are changed by the unit.
27	event_2024_009_st-eve-2409-marathon-raid	開演！ぷりてぃー★エンジェル	E2_IMPORTANT	16	3	3	3	2	2	2	1	0	OPEN-08,OPEN-11,OPEN-16	EXTENSION	POST_ANIME_LATE		HIGH	Yu confronts acting lineage and her mother, clarifying inherited talent, persona, refusal and family-professional negotiation.
28	event_2021_006_st-eve-2112-marathon	羽休む聖夜のサプライズ	E2_IMPORTANT	15	3	3	3	1	2	2	1	0	OPEN-11,OPEN-12	EXTENSION	EARLY_POST_ANIME		HIGH	Rui holiday loneliness and TRINITYAiLE care expose private dependency beneath elite professionalism and add needed pre-Stellar Rui relational evidence.
29	event_2025_006_st-eve-2507-race	星見プロ全国ツアー　Stars Journey	E2_IMPORTANT	15	3	3	3	2	2	1	1	0	OPEN-05,OPEN-08,OPEN-18	TEMPORAL_MATURATION	LATE_GAME		HIGH	Hoshimi national tour tests multi-unit institutional identity outside Tokyo and provides broad social/managerial continuity evidence.
30	event_2026_004_st-eve-2604-dice	IDOLY MATCH～地下闘技場への挑戦～	E2_IMPORTANT	15	3	3	2	3	2	1	1	0	OPEN-05,OPEN-07,OPEN-08	EXTENSION	LATE_GAME		HIGH	Underground IDOLY MATCH expands the competitive ecosystem beyond polished agencies and tests what counts as idol professionalism at the industry margins.
31	event_2025_004_st-eve-2504-marathon-raid	旗揚げ！劇団★見～二人のアリスとWONDERLAND～	E2_IMPORTANT	15	3	2	3	2	2	2	1	0	OPEN-16	EXTENSION	LATE_GAME		HIGH	Stage-play work makes self-expression, casting and acting-as-persona explicit across units, useful for authenticity synthesis.
32	event_2025_009_st-eve-2510-marathon-raid	私達の青春謳歌～DOTABATA SCHOOL FESTIVAL～	E2_IMPORTANT	15	3	2	3	2	2	2	1	0	OPEN-05,OPEN-08,OPEN-11	EXTENSION	LATE_GAME		HIGH	School-festival material tests Yu and other student idols across public work and ordinary school identities, valuable for labor/social-boundary synthesis.
33	event_2021_003_st-eve-2109-backside	芽吹く黒ユリの蕾	E2_IMPORTANT	14	3	2	3	1	2	2	1	0	OPEN-08,OPEN-15	EXTENSION	EARLY_POST_ANIME		HIGH	Ai confronts inferiority inside LizNoir and learns that emotional intensity must be disciplined without erasing individuality; strong undercovered LizNoir internal evidence.
34	event_2022_005_st-eve-2205-race	心紡ぎ合う輝きの競演	E2_IMPORTANT	14	3	2	3	1	2	2	1	0	OPEN-15,OPEN-16	EXTENSION	POST_ANIME		HIGH	Chisa/Saki limited unit turns sisterhood into chosen artistic collaboration and tests identity outside their default units.
35	event_2023_010_st-eve-2310-race	迷走ピリオド 涼やかな青春	E2_IMPORTANT	14	3	2	3	1	2	2	1	0	OPEN-15,OPEN-16	EXTENSION	POST_ANIME		HIGH	Mei/Suzu limited unit turns contrasting styles into reciprocal challenge and broadens how Tsuki members can author performance outside default roles.
36	event_2025_010_st-eve-2511-race	let's 湯けむり dancing！	E2_IMPORTANT	14	3	2	3	2	2	1	1	0	OPEN-13,OPEN-16	TEMPORAL_MATURATION	LATE_GAME		HIGH	Aoi accepts authorship pressure for a LizNoir song, then recovers creativity through the unit and concludes that LizNoir style is produced by each member being themselves rather than by a fixed formula.
37	event_2022_004_st-eve-2204-contest	愛歌う星の継承者	E2_IMPORTANT	13	3	2	3	1	2	2	1	-1	OPEN-17	EXTENSION	POST_ANIME		HIGH	Mana-song inheritance through Suzu/Mei/Kotono/Rio adds person-versus-legend texture but substantially overlaps the already frozen inheritance architecture.
38	event_2022_011_st-eve-2211-marathon-raid	舌戦開幕！賛美の湯	E2_IMPORTANT	13	3	2	3	1	2	2	1	-1	OPEN-10,OPEN-16	STABILIZATION	POST_IIIX_HOSHIMI_TRANSFER		HIGH	IIIX praise-game/onsen material gives unusually dense hostile-intimacy evidence but mostly stabilizes a relational grammar established elsewhere.
39	event_2022_012_st-eve-2212-race	君と願う月灯の祝祭	E2_IMPORTANT	13	3	2	3	0	2	2	1	0	OPEN-17	TEMPORAL_MATURATION	POST_ANIME		HIGH	Kotono birthday/Christmas ritual links Mana-era memory to the four members explicitly affirming her existence and shared history; this is material grief-personhood maturation, not mere seasonal texture.
40	event_2023_007_st-eve-2307-race	灼熱のBEACH ～イライラMAX ⅢX～	E2_IMPORTANT	13	3	2	3	1	2	2	1	-1	OPEN-10,OPEN-16	STABILIZATION	POST_IIIX_HOSHIMI_TRANSFER		HIGH	IIIX beach conflict confirms hostile intimacy as durable creative/professional structure, with moderate rather than transformative delta.
41	event_2024_007_st-eve-2407-dice	漕ぎ出せ！アイドル★サバイバーズ	E2_IMPORTANT	13	3	2	3	1	2	1	1	0	OPEN-08,OPEN-16	TEMPORAL_MATURATION	POST_ANIME_LATE		HIGH	Chisa confronts a childhood drowning fear and her habit of declaring herself expendable; supported safeguards let her articulate a positive want to remain with the group, materially extending self-authorship under dependence.
42	event_2025_001_st-eve-2501-race	迎春！翼に込める躍進の一念	E2_IMPORTANT	13	3	2	3	2	2	1	1	-1	OPEN-08,OPEN-11	EXTENSION	LATE_GAME		HIGH	TRINITYAiLE television challenges expose grit, health management and elite-image flexibility, useful but secondary to stronger score/gratitude events.
43	event_2023_003_st-eve-2303-race	ぱじゃまパーティー！～夢見る少女と眠り姫～	E3_SUPPORT	12	2	2	3	1	2	2	1	-1	OPEN-16	EXTENSION	POST_ANIME		MEDIUM	Sumire-led cross-unit mini-unit gives strong self-definition and peer-recognition evidence outside TRINITYAiLE, though it does not materially revise the main spine.
44	event_2023_002_st-eve-2302-marathon-raid	守れ！純潔のベーゼ～imposition of love～	E3_SUPPORT	11	2	2	2	2	2	1	1	-1	OPEN-11,OPEN-16	EXTENSION	POST_ANIME		MEDIUM	Rui commercial kiss/CM pressure tests public persona, boundaries and group protection, but with limited longitudinal state change.
45	event_2025_002_st-eve-2502-marathon-raid	感謝を伝えるLovely Valentine's Day	E3_SUPPORT	10	2	2	2	2	1	1	1	-1	OPEN-03,OPEN-05	STABILIZATION	LATE_GAME		MEDIUM	Sunny gratitude toward Makino/Hoshimi helps specify manager-idol reciprocity but largely confirms the established co-authorship model.
46	event_2021_001_st-eve-2107-tour	雨上がりの太陽と共に	E3_SUPPORT	9	2	2	2	1	1	1	1	-1	OPEN-14	TEMPORAL_MATURATION	EARLY_POST_ANIME		MEDIUM	Haruko-centered summer work revisits veteran insecurity and professional continuity, but mostly extends rather than revises the Tier-A model.
47	event_2022_006_st-eve-2206-marathon	導きのファンファーレ	E3_SUPPORT	9	2	2	2	1	1	1	1	-1		STABILIZATION	POST_ANIME		MEDIUM	Sunny collaborative songwriting and fan encounters reinforce audience reciprocity with modest new state change.
48	event_2022_008_st-eve-2208-backside	熱中☆ハプニングサマー	E3_SUPPORT	9	2	1	3	0	1	2	1	-1	OPEN-13	TEXTURE	POST_ANIME		MEDIUM	Four-person LizNoir leisure material is valuable for domestic/professional social rhythm but low in main-model revision pressure.
49	event_2022_001_st-eve-2201-contest	昇る初陽に咲く笑顔	E3_SUPPORT	8	2	1	2	1	1	1	1	-1		STABILIZATION	POST_ANIME		MEDIUM	Sunny gratitude and Sakura family life stabilize reciprocal-care motifs with limited contradiction potential.
50	event_2022_009_st-eve-2209-contest	未来とつながるマジカルメロディ	E4_LOW_DELTA_OR_CAVEATED	7	2	1	2	1	1	1	1	-2	OPEN-16	FORMAL_DEPENDENCY	POST_ANIME	CROSSOVER_CANON_CAVEAT	HIGH	TRINITYAiLE/Miku collaboration offers audience and performance-persona evidence, but crossover premises constrain series-native inference.
51	event_2023_012_st-eve-2312-contest	君と輝くサンシャイン!!	E4_LOW_DELTA_OR_CAVEATED	6	2	1	2	1	1	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	Love Live Sunshine collaboration contains useful Sunny social texture but external crossover premises sharply limit longitudinal inference.
52	event_2024_002_st-eve-2402-contest	未来を彩るスノーフェスティバル	E4_LOW_DELTA_OR_CAVEATED	6	2	1	2	1	1	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	LizNoir/Miku snow-festival material adds performance gratitude but is crossover-dependent and redundant with stronger native evidence.
53	event_2025_008_st-eve-2509-contest	未来へ続く夏祭り	E4_LOW_DELTA_OR_CAVEATED	6	2	1	2	1	1	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	Miku/Tsuki summer event has useful social texture but crossover dependence and low unique state change.
54	event_2021_002_st-eve-2108-tour	月夜に輝く恋の魔法	E4_LOW_DELTA_OR_CAVEATED	6	1	1	2	0	1	1	1	-1		TEXTURE	EARLY_POST_ANIME		MEDIUM	Tsuki summer/new-song social texture and Mei relational material; useful voice evidence but little Tier-A revision pressure.
55	event_2024_001_st-eve-2401-race	にゃんか不思議なお正月！？	E4_LOW_DELTA_OR_CAVEATED	6	1	1	2	0	1	1	1	-1		TEXTURE	POST_ANIME		MEDIUM	Tsuki New Year comedy and ordinary-life motifs are retrieval-useful but low delta.
56	event_2023_005_st-eve-2305-race	きょうえん！HTT＆HMA～放課後ティータイム＆星見アンバサダー～	E4_LOW_DELTA_OR_CAVEATED	2	1	0	1	1	0	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	K-On collaboration is primarily crossover/event texture with little uniquely necessary IDOLY PRIDE state evidence.
57	event_2024_012_st-eve-2412-contest	心跳ねるクリスマスパーティー	E4_LOW_DELTA_OR_CAVEATED	2	1	0	1	1	0	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	GochiUsa Christmas collaboration is mostly crossover social texture without major native continuity leverage.
58	event_2025_003_st-eve-2503-dice	SOS！星見プロダクションの転送～ただのアイドルには興味ありません！？～	E4_LOW_DELTA_OR_CAVEATED	2	1	0	1	1	0	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	Haruhi crossover is analytically low priority for series-native claims.
59	event_2025_011_st-eve-2512-dice	ドタバタ！？トラブルクリスマス！	E4_LOW_DELTA_OR_CAVEATED	2	1	0	1	1	0	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	To Love-Ru crossover is low priority for series-native longitudinal claims.
60	event_2026_005_st-eve-2605-marathon-raid	ハロー！アイドル♪ 夢でつながるミラクルステージ	E4_LOW_DELTA_OR_CAVEATED	2	1	0	1	1	0	1	0	-2		FORMAL_DEPENDENCY	CROSSOVER	CROSSOVER_CANON_CAVEAT	HIGH	Sanrio crossover is primarily thematic/social material and carries a strong canon caveat.
