locator_id	volume	chapter	internal_cbz_image_filename	sequential_page_index	printed_page_if_verified	short_japanese_anchor	panel_spread_description	evidence_type	linked_claim_ids	linked_specialist_document	verification_status	locator_priority	source_evidence_id	claim_linkage_basis	confidence	verification_note
AOT-LOC-02-003	V02	第7話 小さな刃					Attachment functions as a reason to survive without resolving dependency.	SI/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E003	VOLUME_SPECIALIST_ROUTE	B	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-004	V02	第8話 咆哮					Selective behavior creates a new category beyond ordinary Titan anomaly.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-005	V02	第8話 咆哮					Armin’s strength is reinterpretation of an anomaly before full explanation.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E005	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-006	V02	第8話 咆哮					Jean’s fear-informed practical judgment begins functioning as leadership.	SI/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E006	VOLUME_SPECIALIST_ROUTE	B	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-007	V02	第9話 心臓の鼓動が聞こえる					A human body can occupy or generate a Titan body.	TF		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E007	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-008	V02	第9話 心臓の鼓動が聞こえる					Eren’s human body now possesses Titan-like regenerative properties.	TF		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E008	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-001	V03	第10話 左腕の行方					Eren’s human body now expresses regenerative properties associated with Titans.	TF		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E001	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-002	V03	第11話 応える				「人か？ 巨人か？」 / 「人間です」	Self-identification and institutional classification diverge.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-003	V03	第11話 応える					Titan flesh can be generated partially and can express protective purpose.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E003	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-004	V03	第11話 応える					Armin changes the governing question from essence to demonstrated allegiance and use.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-005	V03	第12話 偶像					The military constructs symbolic legitimacy before understanding the person or power.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E005	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-006	V03	第12話 偶像					Strategic desperation converts uncertainty into an institutional gamble.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E006	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-007	V03	第13話 傷					Human memory and attachment do not guarantee bodily control.	TF/UA		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E007	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-03-008	V03	第13話 傷					Recognition and memory can restore agency inside the generated body.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V03_E008	VOLUME_SPECIALIST_ROUTE	B	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-001	V04	第14話 原初的欲求				「オレが!! この世に生まれたからだ!!」	Eren’s deepest motive is the birth-grounded world claim rather than revenge alone.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E001	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-002	V04	第14話 原初的欲求					Freedom becomes burden and collective labor rather than unrestricted motion.	VF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-003	V04	第15話 個々					Military education explicitly negates civilian identity to produce soldiers.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E003	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-004	V04	第16話 必要				「命を投げうつことだけが戦うことじゃない」	Armin rejects bodily sacrifice as the only legitimate form of struggle.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-005	V04	第17話 武力幻想				「兵士ごっこ」	Annie identifies the moral theater and incentive contradictions of training.			AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E005	VOLUME_SPECIALIST_ROUTE	B	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-006	V04	第18話 今、何をすべきか					Jean’s weakness/fear becomes the basis of leadership rather than its negation.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E006	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-007	V04	第18話 今、何をすべきか					The battlefield destroys the clean individuality the training system classified.	VF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E007	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-04-008	V04	第18話 今、何をすべきか					Strategic value increases Eren’s custody and decreases ordinary autonomy.	VF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_09_104TH_WARRIORS_AND_GENERATIONAL_ENSEMBLE_BELONGING_BETRAYAL_AND_REPAIR.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V04_E008	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-001	V05	特別編 イルゼの手帳				「ユミルの民」「ユミル様」	A Titan displays language, reverence and historical vocabulary.	TF/UA		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E001	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-002	V05	特別編 イルゼの手帳				「イルゼ・ラングナーの戦果だ」	Levi explicitly recognizes preserved observation as military achievement.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-003	V05	第19話 まだ目を見れない				「全部オレに投資しろ!!」	Eren frames himself as a strategic wager rather than asking for interpersonal understanding.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E003	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-004	V05	第19話 まだ目を見れない					Calculated violence makes Eren institutionally manageable while preserving ethical disturbance.			AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-005	V05	第20話 特別作戦班				「違う視点から巨人を見てみたい」	Hange defines epistemic defamiliarization as a survival method.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E005	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-006	V05	第20話 特別作戦班					An internal human actor is suppressing Titan knowledge.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E006	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-007	V05	第21話 開門					Strategic honesty functions as both information and selection.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E007	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-05-008	V05	第22話 長距離索敵陣形				「知性」がある	Armin identifies purposeful intelligence by behavior rather than appearance.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V05_E008	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-06-001	V06	第23話 女型の巨人					Armin turns language into a behavioral test of the intelligent enemy.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_05_REINER_BRAUN_ROLE_IDENTITY_GUILT_RECOGNITION_AND_SURVIVAL.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V06_E001	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-06-002	V06	第24話 巨大樹の森					Operational security protects the plan by denying the organization full self-knowledge.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_05_REINER_BRAUN_ROLE_IDENTITY_GUILT_RECOGNITION_AND_SURVIVAL.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V06_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-06-003	V06	第25話 噛みつく				「私達を信じて」	Petra asks for interpersonal trust without access to demonstrable reasoning.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_05_REINER_BRAUN_ROLE_IDENTITY_GUILT_RECOGNITION_AND_SURVIVAL.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V06_E003	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-06-004	V06	第25話 噛みつく				「俺にはわからない」	Levi’s authority explicitly refuses omniscience.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_05_REINER_BRAUN_ROLE_IDENTITY_GUILT_RECOGNITION_AND_SURVIVAL.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V06_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-06-005	V06	第25話 噛みつく				「悔いが残らない方を自分で選べ」	Freedom becomes ownership of an uncertain decision, not certainty of outcome.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md;AOT_05_REINER_BRAUN_ROLE_IDENTITY_GUILT_RECOGNITION_AND_SURVIVAL.md;AOT_08_LEVI_ERWIN_HANGE_COMMAND_SACRIFICE_AND_SUCCESSION.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V06_E005	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
