speaker	target	matrix_status	audit_disposition	matrix_row_count	matrix_row_ids	matrix_pair_form	reverse_row_count	reverse_row_ids	profile_heading_declared	diagnostic_mentions_broad	diagnostic_mentions_direct_target_field	sample_diagnostic_ids	symmetry_state	notes
Frederica Rosenfort	Viktor Idinarohk / Vika	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-FRE-VIK-01	EXACT_DYADIC	1	86-CMR-RM-VIK-FRE-01	true	3	3	86-CMR-FRE-033;86-CMR-FRE-035;86-CMR-FRE-036	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Lerche	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			1	86-CMR-RM-LER-FRE-01	false	0	0		ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Frederica Rosenfort	Rito Oriya	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Frederica Rosenfort	Erwin Marcel / Marcel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Frederica Rosenfort	Fido	PRESENT	ADDED_CMR7	1	86-CMR-RM-FRE-FID-01	EXACT_DYADIC	1	86-CMR-RM-FID-FRE-01	false	1	1	86-CMR-FRE-018	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Frederica Rosenfort	PRESENT	PRESENT_PRE_CMR7	3	86-CMR-RM-SHI-FRE-01;86-CMR-RM-SHI-FRE-02;86-CMR-RM-SHI-FRE-03	EXACT_DYADIC	3	86-CMR-RM-FRE-SHI-01;86-CMR-RM-FRE-SHI-02;86-CMR-RM-FRE-SHI-03	true	3	3	86-CMR-SHI-011;86-CMR-SHI-048;86-CMR-SHI-049	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Vladilena Milizé	PRESENT	PRESENT_PRE_CMR7	5	86-CMR-RM-SHI-LEN-01;86-CMR-RM-SHI-LEN-02;86-CMR-RM-SHI-LEN-03;86-CMR-RM-SHI-LEN-04;86-CMR-RM-SHI-LEN-05	EXACT_DYADIC	7	86-CMR-RM-LEN-SHI-01;86-CMR-RM-LEN-SHI-02;86-CMR-RM-LEN-SHI-03;86-CMR-RM-LEN-SHI-04;86-CMR-RM-LEN-SHI-05;86-CMR-RM-LEN-SHI-06;86-CMR-RM-LEN-SHI-07	true	27	25	86-CMR-SHI-001;86-CMR-SHI-003;86-CMR-SHI-004;86-CMR-SHI-005;86-CMR-SHI-007;86-CMR-SHI-009;86-CMR-SHI-016;86-CMR-SHI-017;86-CMR-SHI-018;86-CMR-SHI-020;86-CMR-SHI-021;86-CMR-SHI-023	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Raiden Shuga	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-SHI-RAI-01;86-CMR-RM-SHI-RAI-02	EXACT_DYADIC	6	86-CMR-RM-RAI-SHI-01;86-CMR-RM-RAI-SHI-02;86-CMR-RM-RAI-SHI-03;86-CMR-RM-RAI-SHI-04;86-CMR-RM-RAI-SHI-05;86-CMR-RM-RAI-SHI-06	true	10	10	86-CMR-SHI-006;86-CMR-SHI-007;86-CMR-SHI-008;86-CMR-SHI-014;86-CMR-SHI-019;86-CMR-SHI-041;86-CMR-SHI-042;86-CMR-SHI-043;86-CMR-SHI-044;86-CMR-SHI-051	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Theoto Rikka	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-SHI-THE-01	EXACT_DYADIC	3	86-CMR-RM-THE-SHI-01;86-CMR-RM-THE-SHI-02;86-CMR-RM-THE-SHI-03	true	4	3	86-CMR-SHI-012;86-CMR-SHI-031;86-CMR-SHI-044;86-CMR-SHI-045	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Kurena Kukumila	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-SHI-KUR-01	EXACT_DYADIC	4	86-CMR-RM-KUR-SHI-01;86-CMR-RM-KUR-SHI-02;86-CMR-RM-KUR-SHI-03;86-CMR-RM-KUR-SHI-04	true	3	3	86-CMR-SHI-012;86-CMR-SHI-013;86-CMR-SHI-033	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Anju Emma	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-SHI-ANJ-01	EXACT_DYADIC	2	86-CMR-RM-ANJ-SHI-01;86-CMR-RM-ANJ-SHI-02	true	2	2	86-CMR-SHI-012;86-CMR-SHI-022	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Shiden Iida	PRESENT	ADDED_CMR7	1	86-CMR-RM-SHI-SHD-01	EXACT_DYADIC	4	86-CMR-RM-SHD-SHI-01;86-CMR-RM-SHD-SHI-02;86-CMR-RM-SHD-SHI-03;86-CMR-RM-SHD-SHI-04	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Ernst Zimmermann	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			2	86-CMR-RM-ERN-SHI-01;86-CMR-RM-ERN-SHI-02	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Shinei Nouzen	Grethe Wenzel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			3	86-CMR-RM-GRE-SHI-01;86-CMR-RM-GRE-SHI-02;86-CMR-RM-GRE-SHI-03	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Shinei Nouzen	Annette Penrose	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-SHI-ANN-01;86-CMR-RM-SHI-ANN-02	EXACT_DYADIC	3	86-CMR-RM-ANN-SHI-01;86-CMR-RM-ANN-SHI-02;86-CMR-RM-ANN-SHI-03	true	2	2	86-CMR-SHI-035;86-CMR-SHI-055	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Viktor Idinarohk / Vika	PRESENT	ADDED_CMR7	1	86-CMR-RM-SHI-VIK-01	EXACT_DYADIC	3	86-CMR-RM-VIK-SHI-01;86-CMR-RM-VIK-SHI-02;86-CMR-RM-VIK-SHI-03	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Lerche	PRESENT	ADDED_CMR7	1	86-CMR-RM-SHI-LER-01	EXACT_DYADIC	3	86-CMR-RM-LER-SHI-01;86-CMR-RM-LER-SHI-02;86-CMR-RM-LER-SHI-03	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Rito Oriya	PRESENT	ADDED_CMR7	1	86-CMR-RM-SHI-RIT-01	EXACT_DYADIC	2	86-CMR-RM-RIT-SHI-01;86-CMR-RM-RIT-SHI-02	false	1	1	86-CMR-SHI-038	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Erwin Marcel / Marcel	PRESENT	ADDED_CMR7	1	86-CMR-RM-SHI-MAR-01	EXACT_DYADIC	3	86-CMR-RM-MAR-SHI-01;86-CMR-RM-MAR-SHI-02;86-CMR-RM-MAR-SHI-03	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Shinei Nouzen	Fido	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-SHI-FID-01	EXACT_DYADIC	5	86-CMR-RM-FID-CSH-01;86-CMR-RM-FID-SHI-01;86-CMR-RM-FID-SHI-02;86-CMR-RM-FID-SHI-03;86-CMR-RM-FID-SHI-04	true	2	2	86-CMR-SHI-002;86-CMR-SHI-015	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Frederica Rosenfort	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-LEN-FRE-01;86-CMR-RM-LEN-FRE-02	EXACT_DYADIC	1	86-CMR-RM-FRE-LEN-01	true	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Shinei Nouzen	PRESENT	PRESENT_PRE_CMR7	7	86-CMR-RM-LEN-SHI-01;86-CMR-RM-LEN-SHI-02;86-CMR-RM-LEN-SHI-03;86-CMR-RM-LEN-SHI-04;86-CMR-RM-LEN-SHI-05;86-CMR-RM-LEN-SHI-06;86-CMR-RM-LEN-SHI-07	EXACT_DYADIC	5	86-CMR-RM-SHI-LEN-01;86-CMR-RM-SHI-LEN-02;86-CMR-RM-SHI-LEN-03;86-CMR-RM-SHI-LEN-04;86-CMR-RM-SHI-LEN-05	true	48	46	86-CMR-LEN-012;86-CMR-LEN-013;86-CMR-LEN-014;86-CMR-LEN-015;86-CMR-LEN-016;86-CMR-LEN-018;86-CMR-LEN-019;86-CMR-LEN-020;86-CMR-LEN-021;86-CMR-LEN-022;86-CMR-LEN-023;86-CMR-LEN-024	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Raiden Shuga	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-LEN-RAI-01	EXACT_DYADIC	2	86-CMR-RM-RAI-LEN-01;86-CMR-RM-RAI-LEN-02	true	1	1	86-CMR-LEN-055	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Theoto Rikka	PRESENT	ADDED_CMR7	1	86-CMR-RM-LEN-THE-01	EXACT_DYADIC	2	86-CMR-RM-THE-LEN-01;86-CMR-RM-THE-LEN-02	false	1	1	86-CMR-LEN-003	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Kurena Kukumila	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			2	86-CMR-RM-KUR-LEN-01;86-CMR-RM-KUR-LEN-02	false	1	1	86-CMR-LEN-062	ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Vladilena Milizé	Anju Emma	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			1	86-CMR-RM-ANJ-LEN-01	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Vladilena Milizé	Shiden Iida	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-LEN-SHD-01	EXACT_DYADIC	6	86-CMR-RM-SHD-LEN-01;86-CMR-RM-SHD-LEN-02;86-CMR-RM-SHD-LEN-03;86-CMR-RM-SHD-LEN-04;86-CMR-RM-SHD-LEN-05;86-CMR-RM-SHD-LEN-06	true	3	3	86-CMR-LEN-032;86-CMR-LEN-033;86-CMR-LEN-066	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Ernst Zimmermann	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			0		false	1	1	86-CMR-LEN-073	NO_DIRECTION	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row.
Vladilena Milizé	Grethe Wenzel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			2	86-CMR-RM-GRE-LEN-01;86-CMR-RM-GRE-LEN-02	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Vladilena Milizé	Annette Penrose	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-LEN-ANN-01;86-CMR-RM-LEN-ANN-02	EXACT_DYADIC	4	86-CMR-RM-ANN-LEN-01;86-CMR-RM-ANN-LEN-02;86-CMR-RM-ANN-LEN-03;86-CMR-RM-ANN-LEN-04	true	5	5	86-CMR-LEN-006;86-CMR-LEN-007;86-CMR-LEN-008;86-CMR-LEN-039;86-CMR-LEN-068	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Viktor Idinarohk / Vika	PRESENT	ADDED_CMR7	1	86-CMR-RM-LEN-VIK-01	EXACT_DYADIC	2	86-CMR-RM-VIK-LEN-01;86-CMR-RM-VIK-LEN-02	false	1	1	86-CMR-LEN-071	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Lerche	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			1	86-CMR-RM-LER-LEN-01	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Vladilena Milizé	Rito Oriya	PRESENT	ADDED_CMR7	1	86-CMR-RM-LEN-RIT-01	EXACT_DYADIC	1	86-CMR-RM-RIT-LEN-01	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Vladilena Milizé	Erwin Marcel / Marcel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			1	86-CMR-RM-MAR-LEN-01	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Vladilena Milizé	Fido	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			1	86-CMR-RM-FID-LEN-01	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Raiden Shuga	Frederica Rosenfort	PRESENT	PRESENT_PRE_CMR7	3	86-CMR-RM-RAI-FRE-01;86-CMR-RM-RAI-FRE-02;86-CMR-RM-RAI-FRE-03	EXACT_DYADIC	3	86-CMR-RM-FRE-RAI-01;86-CMR-RM-FRE-RAI-02;86-CMR-RM-FRE-RAI-03	true	10	8	86-CMR-RAI-012;86-CMR-RAI-016;86-CMR-RAI-018;86-CMR-RAI-023;86-CMR-RAI-038;86-CMR-RAI-043;86-CMR-RAI-049;86-CMR-RAI-050;86-CMR-RAI-059;86-CMR-RAI-068	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Shinei Nouzen	PRESENT	PRESENT_PRE_CMR7	6	86-CMR-RM-RAI-SHI-01;86-CMR-RM-RAI-SHI-02;86-CMR-RM-RAI-SHI-03;86-CMR-RM-RAI-SHI-04;86-CMR-RM-RAI-SHI-05;86-CMR-RM-RAI-SHI-06	EXACT_DYADIC	2	86-CMR-RM-SHI-RAI-01;86-CMR-RM-SHI-RAI-02	true	43	37	86-CMR-RAI-003;86-CMR-RAI-004;86-CMR-RAI-005;86-CMR-RAI-006;86-CMR-RAI-007;86-CMR-RAI-008;86-CMR-RAI-012;86-CMR-RAI-013;86-CMR-RAI-018;86-CMR-RAI-019;86-CMR-RAI-020;86-CMR-RAI-021	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Vladilena Milizé	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-RAI-LEN-01;86-CMR-RM-RAI-LEN-02	EXACT_DYADIC	1	86-CMR-RM-LEN-RAI-01	true	11	9	86-CMR-RAI-009;86-CMR-RAI-010;86-CMR-RAI-011;86-CMR-RAI-014;86-CMR-RAI-021;86-CMR-RAI-031;86-CMR-RAI-035;86-CMR-RAI-040;86-CMR-RAI-048;86-CMR-RAI-066;86-CMR-RAI-070	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Theoto Rikka	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-RAI-THE-01;86-CMR-RM-RAI-THE-02	EXACT_DYADIC	2	86-CMR-RM-THE-RAI-01;86-CMR-RM-THE-RAI-02	true	3	2	86-CMR-RAI-002;86-CMR-RAI-037;86-CMR-RAI-058	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Kurena Kukumila	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-RAI-KUR-01	EXACT_DYADIC	1	86-CMR-RM-KUR-RAI-01	true	4	3	86-CMR-RAI-022;86-CMR-RAI-060;86-CMR-RAI-066;86-CMR-RAI-068	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Anju Emma	ABSENT_OPEN	OPEN_UNDERDETERMINED	0			0		true	1	0	86-CMR-RAI-068	NO_DIRECTION	Profile/corpus relation exists, but no distinct speaker-side register is stable enough to add without symmetry inference.
Raiden Shuga	Shiden Iida	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			1	86-CMR-RM-SHD-RAI-01	false	1	0	86-CMR-RAI-054	ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Raiden Shuga	Ernst Zimmermann	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Raiden Shuga	Grethe Wenzel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Raiden Shuga	Annette Penrose	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Raiden Shuga	Viktor Idinarohk / Vika	PRESENT	ADDED_CMR7	1	86-CMR-RM-RAI-VIK-01	EXACT_DYADIC	1	86-CMR-RM-VIK-RAI-01	false	1	0	86-CMR-RAI-050	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Lerche	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Raiden Shuga	Rito Oriya	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-RAI-RIT-01;86-CMR-RM-RAI-RIT-02	EXACT_DYADIC;QUALIFIED_PERSON_TARGET	1	86-CMR-RM-RIT-RAI-01	true	4	2	86-CMR-RAI-029;86-CMR-RAI-054;86-CMR-RAI-055;86-CMR-RAI-065	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Raiden Shuga	Erwin Marcel / Marcel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Raiden Shuga	Fido	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-RAI-FID-01	EXACT_DYADIC	1	86-CMR-RM-FID-RAI-01	true	2	2	86-CMR-RAI-001;86-CMR-RAI-037	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Frederica Rosenfort	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-THE-FRE-01	EXACT_DYADIC	1	86-CMR-RM-FRE-THE-01	false	2	2	86-CMR-THE-019;86-CMR-THE-065	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Shinei Nouzen	PRESENT	PRESENT_PRE_CMR7	3	86-CMR-RM-THE-SHI-01;86-CMR-RM-THE-SHI-02;86-CMR-RM-THE-SHI-03	EXACT_DYADIC	1	86-CMR-RM-SHI-THE-01	true	16	14	86-CMR-THE-001;86-CMR-THE-009;86-CMR-THE-022;86-CMR-THE-024;86-CMR-THE-028;86-CMR-THE-031;86-CMR-THE-032;86-CMR-THE-037;86-CMR-THE-043;86-CMR-THE-044;86-CMR-THE-055;86-CMR-THE-068	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Vladilena Milizé	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-THE-LEN-01;86-CMR-RM-THE-LEN-02	EXACT_DYADIC	1	86-CMR-RM-LEN-THE-01	true	6	6	86-CMR-THE-004;86-CMR-THE-005;86-CMR-THE-010;86-CMR-THE-011;86-CMR-THE-067;86-CMR-THE-068	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Raiden Shuga	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-THE-RAI-01;86-CMR-RM-THE-RAI-02	EXACT_DYADIC	2	86-CMR-RM-RAI-THE-01;86-CMR-RM-RAI-THE-02	true	5	5	86-CMR-THE-005;86-CMR-THE-021;86-CMR-THE-028;86-CMR-THE-032;86-CMR-THE-075	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Kurena Kukumila	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-THE-KUR-01;86-CMR-RM-THE-KUR-02	EXACT_DYADIC	2	86-CMR-RM-KUR-THE-01;86-CMR-RM-KUR-THE-02	true	4	4	86-CMR-THE-029;86-CMR-THE-033;86-CMR-THE-070;86-CMR-THE-071	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Anju Emma	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-THE-ANJ-01;86-CMR-RM-THE-ANJ-02	EXACT_DYADIC	1	86-CMR-RM-ANJ-THE-01	true	2	2	86-CMR-THE-006;86-CMR-THE-072	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Shiden Iida	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			1	86-CMR-RM-SHD-THE-01	false	0	0		ONE_DIRECTION_ONLY	No independent directed register is established at the locked source boundary. Reverse direction exists independently and does not authorize this direction.
Theoto Rikka	Ernst Zimmermann	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-THE-ERN-01	EXACT_DYADIC	1	86-CMR-RM-ERN-THE-01	true	2	2	86-CMR-THE-065;86-CMR-THE-066	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Grethe Wenzel	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
Theoto Rikka	Annette Penrose	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-THE-ANN-01;86-CMR-RM-THE-ANN-02	EXACT_DYADIC	4	86-CMR-RM-ANN-THE-01;86-CMR-RM-ANN-THE-02;86-CMR-RM-ANN-THE-03;86-CMR-RM-ANN-THE-04	true	9	9	86-CMR-THE-050;86-CMR-THE-051;86-CMR-THE-052;86-CMR-THE-054;86-CMR-THE-061;86-CMR-THE-062;86-CMR-THE-063;86-CMR-THE-069;86-CMR-THE-085	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Viktor Idinarohk / Vika	PRESENT	ADDED_CMR7	1	86-CMR-RM-THE-VIK-01	EXACT_DYADIC	1	86-CMR-RM-VIK-THE-01	false	0	0		BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Theoto Rikka	Lerche	ABSENT_NO_WARRANT	NO_INDEPENDENT_REGISTER	0			0		false	0	0		NO_DIRECTION	No independent directed register is established at the locked source boundary.
