locator,spine_ordinal,printed_page,image_member,image_sha256,review_method,reviewer,disposition,content_summary,evidence_ids,reason,uncertainties
UA:s0029,29,029,OPS/images/08_880719_880264_1_029_001.jpg,3cbeffb12941a0bc8b6a07c30c83a49133c3a67862202e1fb88dd7e331dfec13,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Engine/Recipro Burst and stall; group organization and discipline, with concern about flexibility. Manual says Iida being Ingenium's brother motivated his unlikely recruitment offer and hopes he becomes rule-abiding hero.",SUP-UA-029-01,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0030,30,030,OPS/images/08_880719_880264_1_030_001.jpg,817736606b29f11a6c8db1a368bd0bb908204a29993ba8e386e7d137bb379817,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Shoto recommended admission; inherited fire/ice powers;1/11,176cm,O,Shizuoka area; likes soba not warm. Bakugo angrily objects to acquaintance label and Shoto's aloof manner, includes him with Deku as a future full-force rival.",SUP-UA-030-01; SUP-UA-030-02,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0031,31,031,OPS/images/08_880719_880264_1_031_001.jpg,38eb22bb31a8ac29acd1016a2a0906df266ab749917a1069232f104a58d4d76e,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Half-Cold Half-Hot; past suppression of fire because of father conflict, large-range power and battle judgment. Endeavor describes Shoto as his complete superior replacement and says he will make him surpass All Might.",SUP-UA-031-01,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0032,32,032,OPS/images/08_880719_880264_1_032_001.jpg,527307c1a92157b4a116c9f67f6340a20933155fd590c189020f5a74df8d8301,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Asui academically strong, calm, uses -chan for male/female classmates;2/12,150cm,B,Aichi,likes rain/jelly. Mineta acquaintance voice fears her USJ deductions and adds objectifying remark about touching her.",SUP-UA-032-01; SUP-UA-032-02,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0033,33,033,OPS/images/08_880719_880264_1_033_001.jpg,314fcbad61206b7c4ecdbb1ce5feb7c9af48790f536aae6af5f7fc20aa54757c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Asui frog mobility, ~20m tongue, support/cooperation and calm judgment; Recovery Girl says few occasions to treat her and praises practical final-exam performance.",SUP-UA-033-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0034,34,034,OPS/images/08_880719_880264_1_034_001.jpg,afd0ff44391947c0c494ff0ee19eaaa545b54ccf226995d8c9724dcf4f02105f,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Mineta10/8,108cm,A,Kanagawa,likes women; editorial sole stated hero motive is romantic popularity, habitual sexual framing but can deliver under pressure. Asui identifies repeated misconduct against herself and targeting Momo, jokes about bringing it to victims' association.",SUP-UA-034-01; SUP-UA-034-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0035,35,035,OPS/images/08_880719_880264_1_035_001.jpg,7c21a4435216a6172e856a694cac9dce7b80047f2aafcc1ea15746c915bb9899,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Pop Off adhesive duration depends on condition, overuse bleeds, no numerical pluck cap; cooperative usefulness and popularity motive channeled into admirable manhood. Mt Lady calls voluntary intern immature and her agency needs adult men.",SUP-UA-035-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0036,36,036,OPS/images/08_880719_880264_1_036_001.jpg,f1fa4ea93a221525e9b10268a28592aebc7591c365997041a4dac2cf747a55b5,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Kirishima10/16,170cm,O,Chiba; likes tough/manly things and meat; warm socializer/boisterous with Kaminari, dislikes plainness of power. Bakugo dismisses query beyond Sports Festival victory.",SUP-UA-036-01; SUP-UA-036-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0037,37,037,OPS/images/08_880719_880264_1_037_001.jpg,770054e80318ecab264cf410512c960c3505c305bece62b87bf2d0023732bcc8,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Hardening offense/defense and Crimson Riot aspiration; editorial says apparently simple but notices ominous atmosphere; Aizawa calls him bright/hot-blooded and apparently few worries/easy to manage.,SUP-UA-037-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0038,38,038,OPS/images/08_880719_880264_1_038_001.jpg,ebdce864ccae4a55a68a90a3c06500a16081b5249e57d5c83de5e1a971ba4b92,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Yaoyorozu9/23,173cm,A,Aichi; likes reading/illustrated encyclopedias; confidence restored after earlier defeat. Mina credits home study gathering for exam pass and appreciates snacks/expensive-looking tea.",SUP-UA-038-01; SUP-UA-038-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0039,39,039,OPS/images/08_880719_880264_1_039_001.jpg,05e97bad98e78a1db5167979093e8333dde4f6d93aaf42e1669ab288b8448f3a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Creation of nonliving objects from no fixed body part; editorial sexualizing joke around exposure. Leadership/teaching enthusiasm and gullibility juxtaposed. Uwabami praises visual appeal/power and commercially successful advertisement, anticipates future recruitment.",SUP-UA-039-01; SUP-UA-039-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0040,40,040,OPS/images/08_880719_880264_1_040_001.jpg,c7907d5a09d6900b5bb4d67ac88d3905ca6c87df7a03f729cfb466ec752a71ba,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Tokoyami10/30,158cm,AB,Shizuoka; likes dim places/apples; dramatic phrases. Hatsume admires his Sports Festival Quirk and invites him to contact her to make Dark Shadow cuter/stronger.",SUP-UA-040-01; SUP-UA-040-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0041,41,041,OPS/images/08_880719_880264_1_041_001.jpg,e4a881a717e80705800bed5eb0b4adc735f97bb8a7549e46f7adafbfbb9a07f9,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Dark Shadow has consciousness and speech; light weakness, deep-darkness loss of control; strong cooperation/surveillance. All Might praises potential while questioning bodily ability.",SUP-UA-041-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0042,42,042,OPS/images/08_880719_880264_1_042_001.jpg,ed8e5221164e4d47d5d3f439cbd905428286b3951cb6d18fe2a646a7a7ebed10,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Kaminari6/29,168cm,O,Saitama; likes trends/hamburgers; low written grades contrasted with rich vocabulary. Mineta mocks academic ability and praises Sports Festival scheme/pickup skill.",SUP-UA-042-01; SUP-UA-042-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0043,43,043,OPS/images/08_880719_880264_1_043_001.jpg,0faf1aee9272624d5ab2ae99acde6b4eb9aa5790d51caca3315fd72979434d4b,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Kaminari's adjustable discharge can intercept/detect; overuse short-circuits him. Editorially easily hurt and aided by advice; Present Mic criticizes panic-driven full discharge in final exam.,SUP-UA-043-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0044,44,044,OPS/images/08_880719_880264_1_044_001.jpg,c6aa525253b02f9618f3c043cda64f1c051d8c9c4e64d907b4d54ef0563237c6,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Jiro 8/1,154cm,A,Shizuoka,likes rock. Kaminari credits her USJ plan with revealing his power's strength while asking her never to repeat it.",SUP-UA-044-01; SUP-UA-044-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0045,45,045,OPS/images/08_880719_880264_1_045_001.jpg,3068468a2642f56adb2343cd33fd3b62b5a47b3d2509f0aa247be3549f09e8af,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Jiro's flexible extended jacks and amplified heartbeat have attack/detection uses; editorial praises bold decisions and proposes future rescue applications. Present Mic calls her his inferior version while praising effort.,SUP-UA-045-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0046,46,046,OPS/images/08_880719_880264_1_046_002.jpg,f9b87aa7204700df5f9dd9192eaba90f04784c054ce348d4f620a0237a843ae6,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Shoji 2/15,187cm,B,Fukuoka,likes takoyaki and squid-ink pasta. Tokoyami apologizes for the camp burden and values the friend who refused to abandon him.",SUP-UA-046-01; SUP-UA-046-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0047,47,047,OPS/images/08_880719_880264_1_047_001.jpg,1a1d6514f24e756b4cefa86406f22757b5ff975ce8891ffcf819b8290044a1a8,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Shoji's replicated organs improve sensing, carrying and grip. Editorial explicitly calls self-disregarding protection both a strength and a matter requiring caution. Present Mic admires cavalry-event use.",SUP-UA-047-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0048,48,048,OPS/images/08_880719_880264_1_048_001.jpg,6b8d2fa6aa28b7c889ea45b4cf7a7398cb29924d96fca4184c0696a760b92182,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Sero 7/28,177cm,B,Tokyo,likes oranges/soybeans and foods that seem healthy. Shoto judges him strong, acknowledges irritation and excess force in their Sports Festival match, and apologizes.",SUP-UA-048-01; SUP-UA-048-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0049,49,049,OPS/images/08_880719_880264_1_049_001.jpg,d091e59471598177de89f7b67c578d8ef333c674859c7a05a19154eb8d77c169,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Sero's tape supports binding, movement and catching objects. Mountain rescue is a projected possibility; All Might praises his high-ground choice and victory in the rescue-training race.",SUP-UA-049-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0050,50,050,OPS/images/08_880719_880264_1_050_002.jpg,aea76d3e19ebd3d9261416ef449bb757fcde08659c900161ccecb6f9d982bb6c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Mina 7/30,159cm,AB,Chiba,likes dance/natto/okra. Aoyama admits losing physically but asserts superiority in elegance; profile contrasts technique with weak academic rating.",SUP-UA-050-01; SUP-UA-050-02,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0051,51,051,OPS/images/08_880719_880264_1_051_001.jpg,a17c041c9d1a7c4e5c6735005ce42ccc76595aef2cc5fe59d59cc5a2e98da4fd,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Mina adjusts acid concentration and traverses obstacles. Editorial mood-making/physical praise includes gendered comparison; Nezu praises athletics while criticizing academics and offering instruction.,SUP-UA-051-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0052,52,052,OPS/images/08_880719_880264_1_052_001.jpg,62363fa742ef47fe783f2376057b9b907183fd0fb8d12413f988f1f8f3c1d007,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Aoyama 5/30,168cm,O; France is explicitly self-claimed, and liking himself is profile self-branding. Ochako finds him individualistic and destabilizing to her pace during finals.",SUP-UA-052-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0053,53,053,OPS/images/08_880719_880264_1_053_001.jpg,67b4941a8cb696bd22c29ebe9a1bfca2357eaee120df06e42c09806cc07d1d70,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Aoyama's laser has an early one-second/stomach-pain limit. Editorial calls him observant of Ochako but self-paced; Aizawa admits he cannot tell what he thinks, sees motivation, and notes near-failure in written finals.",SUP-UA-053-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0054,54,054,OPS/images/08_880719_880264_1_054_001.jpg,3cc650909b4aa223fabf753ba9e9adef30ca67e867c76bbe6b27c11efdfaf27f,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Ojiro 5/28,169cm,O,Tokyo,likes martial arts. Hagakure calls him an approachable friend, finds Sports Festival withdrawal overly serious, but values that seriousness.",SUP-UA-054-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0055,55,055,OPS/images/08_880719_880264_1_055_001.jpg,a5260bb6945c4cab62b7cdbb5590c96416b0773368e8a96fac14b9a0e3bde3fc,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Ojiro's tail supports weight, manipulates and strikes; USJ solo fighting and voluntary Sports Festival withdrawal support strength and fairness. Midnight warmly calls withdrawal youthful and hopes he wins by his own ability.",SUP-UA-055-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0056,56,056,OPS/images/08_880719_880264_1_056_001.jpg,7d65010d7beae3659073205f29558725706df2f9772e20f13caaee475127e4e8,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Hagakure 6/16,152cm,A,Tokyo,likes caramel/prank shows. Ojiro reports frequent conversation since combat training and remembers cheerleading flexibility; editorial bodily speculation is explicitly inference.",SUP-UA-056-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0057,57,057,OPS/images/08_880719_880264_1_057_001.jpg,516cb3d5fa701da117129f09c4ebc7e65548842c5d6dcb9d73162222d045c70d,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Hagakure encourages Ojiro; invisibility aids scouting but also risks friendly fire and makes teaching harder. Aizawa calls her his first wholly invisible student and welcomes her straightforward personality; costume gag remains editorial framing.,SUP-UA-057-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0058,58,058,OPS/images/08_880719_880264_1_058_001.jpg,14772c7dced5eb7af8b89c43825f842485df1c830f6904f10e27d662deddc804,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Sato 6/19,185cm,O,Tottori,likes cake; profile says little spotlight but apt comments. Kirishima finds liking sweets insufficiently manly, then admires power and wants to test it against his hardening.",SUP-UA-058-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0059,59,059,OPS/images/08_880719_880264_1_059_001.jpg,cbd0f3f7da9881fd84ec2e9f4999a0bb85da0fd291dabec2825e140be9d285fa,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Sato's sugar-powered strength has duration and cognitive costs. Editorial stresses emergency judgment and encouragement of Iida during USJ; Aizawa notes failed final exam and advises better use/timing.,SUP-UA-059-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0060,60,060,OPS/images/08_880719_880264_1_060_001.jpg,6251b0ade72b968cdd1a37c9c089a7b92299060dc57a109e0dd5acb0ecb85549,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Koda 2/1,186cm,A,Iwate,likes nature. Quietness is explicitly not lack of hero aspiration. Jiro credits their exam pass to him and apologizes for pressing his insect fear, while recalling initial unreliability.",SUP-UA-060-01,"Distinct factual, speaker-conditioned or source-framing contribution retained.",
UA:s0061,61,61,OPS/images/08_880719_880264_1_061_001.jpg,cc57c2aae6e0a82aaa38bb9dc53bb60e4254c9f1c0d81ba3040c91574dfa6f4a,Original extracted image viewed with view_image(detail=original); all meaningful visible text and visual relationships read; no OCR substitution Enlarged small manga-text crop(s) additionally visually inspected.,models,REVIEWED_MATERIAL,"Koda Anivoice ability/hero name; low volume versus strength; insect aversion, Jiro injury prompting effort, class-representative candidacy; Present Mic exercise evaluation gag.",SUP-UA-061-01; SUP-UA-061-02,"Specific situational and social distinctions merit retention, with manga excerpts treated as dependent evidence.",
UA:s0062,62,62,OPS/images/08_880719_880264_1_062_001.jpg,f5756885ae1c7502e803d7c0cbc25b04e98a8c2b5666f8b2a180c4a079f72f5d,Original extracted image viewed with view_image(detail=original); all meaningful visible text and visual relationships read; no OCR substitution,models,REVIEWED_MATERIAL,"A-Class Playback opens entrance-exam recap with Nezu framing, manga excerpts and All Might/Present Mic/Aizawa in-character teacher commentary.",SUP-UA-062-01,The added teacher exchange supplies bounded peer/teaching contrast; recap panels remain dependent on entrance-exam manga.,Personal authorship and main-continuity event status of scripted teacher exchange not established.
