locator,spine_ordinal,printed_page,image_member,image_sha256,review_method,reviewer,disposition,content_summary,evidence_ids,reason,uncertainties,named_or_identified_subjects,census_note
UAG:s0013,13,015,OPS/images/08_X10000_000062_1_015_001.jpg,afb5346c02d36098895296e8f1bd1d96f75babe8b7b69d4e0ed8533caf0195ef,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Legal position/reward, hired sidekicks, exclusive Hero Network, Billboard metrics, permitted media work and collaborative team-ups.",SUP-UAG-013-01; SUP-UAG-013-02,,,Uraraka Ochako; Centipeder; Sir Nighteye; Hadō Nejire; Asui Tsuyu; Kamui Woods; Uwabami; Edgeshot; Mt. Lady,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0014,14,016,OPS/images/08_X10000_000062_1_016_001.jpg,10a1055b1cdfcb27389614a89e5e747d0602e7dac132bebd3a735fe249f7265a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Hero-school admission and U.A./Shiketsu; written/practical evaluation; licensing and provisional exam phases, venues, dates and thresholds.",SUP-UAG-014-01,,,Midoriya Izuku; Present Mic; All Might; Uraraka Ochako; Asui Tsuyu; Mera Yokumiru,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0015,15,017,OPS/images/08_X10000_000062_1_017_001.jpg,9470993872841bfd147dbc5f0e9348bd5abec51df51341c15f60eebf4923687e,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Internship versus remedial path; graduation careers and Nighteye example; Commission oversight, licensing and rankings over manga reprints.",SUP-UAG-015-01,,,Fat Gum; Todoroki Shoto; Bakugo Katsuki; Gang Orca; Endeavor; Sir Nighteye; All Might; Midoriya Izuku; Mera Yokumiru; HPSC meeting officials (unnamed on page),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0016,16,018,OPS/images/08_X10000_000062_1_018_001.jpg,d499d6f3a86ff343a1b717d16db8eafb4daae0a68cf644faa1ff8a46c539bed4,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Police and hero division of powers; investigation information sharing and public Quirk-use restriction; Tartarus layout and security with breakout panel.,SUP-UAG-016-01; SUP-UAG-016-02,,,"Tsukauchi Naomasa; Endeavor; All Might; Shigaraki Tomura; Tartarus gate guards (two, names unprinted here)",Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0017,17,,OPS/images/08_X10000_000062_1_019_001.jpg,aab763d28360a59552726d6f987af63e3ce3dde488b12d1b858e5f29aa4d6df5,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,New Hero Episode chapter divider; large Midoriya image and retrospective introduction.,,Section branding and recap invitation; no new scene or verified event date.,,Midoriya Izuku,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0018,18,020,OPS/images/08_X10000_000062_1_020_001.jpg,526bbcffba780bce2f3dd8b201a57d85cbefccf7b2de925a321b97e4111a15db,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Midoriya profile: original OFA header beside school-to-adult biography; third-year professional licensing, teaching, children-facility visits, expanded-chart recognition before armor, parallel teaching/front-line return. Rescue quality statement.",SUP-UAG-018-01; SUP-UAG-018-02,,,Midoriya Izuku; All Might; All For One; Shigaraki Tomura; Class A,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0019,19,021,OPS/images/08_X10000_000062_1_021_002.jpg,8082067c7d9358c5f62b32e248e83dbf75dd526773c33f6eedf2b2191fd6df0b,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Costume zeta equipment and limitations; childhood Quirklessness, All Might encounter, mother-made costume, early Bakugo training confrontation recaps.",SUP-UAG-019-01; SUP-UAG-019-02,,,Midoriya Izuku; Gran Torino; All Might; Garaki Kyudai; Midoriya Inko; Bakugo Katsuki,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0020,20,,OPS/images/08_X10000_000062_1_022_001.jpg,79cb7a78fba59e4c7918e0a6e9b02ab3a4aeb0826a8116900a064f6a9f447925,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"USJ, Gran Torino control, Hosu, forest camp and Kamino recaps; beta repairs and Hatsume-prompted Shoot Style. Hosu editorial text calls Stain allied with League.",SUP-UAG-020-01; SUP-UAG-020-02,,Printed folio not visible; no ordinal-derived folio assigned.,Midoriya Izuku; All Might; Gran Torino; Stain; Bakugo Katsuki; Hatsume Mei; All For One; Iida Tenya; Kirishima Eijiro; Yaoyorozu Momo; Todoroki Shoto; Muscular; USJ Nomu; League of Villains (collective recap),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0021,21,023,OPS/images/08_X10000_000062_1_023_001.jpg,d62220cf708f35acd7c006085794e242c2a1a07a8cb88bb5ab0517bda26e473b,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Provisional exam, second Bakugo confrontation/guilt and8% discovery; costume gamma, Nighteye internship/Eri rescue, Gentle and preservation of school festival.",SUP-UAG-021-01,,,Midoriya Izuku; Bakugo Katsuki; All Might; Toga Himiko (Camie disguise in exam inset); Utsushimi Camie (impersonated identity); Sir Nighteye; Overhaul; Eri; Gentle Criminal,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0022,22,,OPS/images/08_X10000_000062_1_024_001.jpg,2951ec9601a381d6e42513a149ba49b8a8742eaf11a68bf1b04e7c5593d37a83,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Blackwhip emergence with peers; Endeavor winter instruction; glove integration and full war/strategic evacuation, physical Shigaraki resists even under Erasure.",SUP-UAG-022-01,,,Midoriya Izuku; Endeavor; Bakugo Katsuki; Todoroki Shoto; Hatsume Mei; Shigaraki Tomura; All For One; Aizawa Shota,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0023,23,025,OPS/images/08_X10000_000062_1_025_001.jpg,4e6fc81c9e381c80926fd5d55be28a7cd3f4c4ddc0e598a5ba7afc37ef3eab88,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Float, resistance to OFA theft, Danger Sense, suitability revelation, departure from U.A. and supported Muscular rematch; distinct power/knowledge states.",SUP-UAG-023-01,,,Midoriya Izuku; Shigaraki Tomura; All For One; Shimura Nana; Shinomori Hikage; All Might; En (Sixth OFA holder); Yoichi; Endeavor; Hawks; Best Jeanist; Dabi; Gigantomachia; Muscular; Aizawa Shota,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0024,24,026,OPS/images/08_X10000_000062_1_026_001.jpg,e33d6b0dbad4d21018189edbdfd81aaf5c995a5708d5544e7ae667bb6bb393ec,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Nagant encounter, Smokescreen/Fa Jin, costume epsilon/relational keepsakes, solitary exhaustion, Class A return and Aoyama revelation.",SUP-UAG-024-01; SUP-UAG-024-02,,,Midoriya Izuku; Lady Nagant; All For One; Muscular; Gran Torino; Midoriya Inko; Bakugo Katsuki; Iida Tenya; Uraraka Ochako; Aoyama Yuga; En (Sixth OFA holder),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0025,25,,OPS/images/08_X10000_000062_1_027_001.jpg,dd3799b1c469edba508956eca90acb415e8ab4fe98154deeb4b7ad1c8ccf4771,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Final confrontation; Aoyama lure, preventing Decay spread, reaching child Tenko, transfer strategy, AFO return and collective final strike; Overlay/internal Blackwhip, eta and Origin shirt designs.",SUP-UAG-025-01; SUP-UAG-025-02,,,Midoriya Izuku; Aoyama Yuga; All For One; Shigaraki Tomura / Shimura Tenko; Aizawa Shota; All Might; Bakugo Katsuki; Uraraka Ochako; Iida Tenya; Kirishima Eijiro; Todoroki Shoto; Asui Tsuyu; Mineta Minoru; Shoji Mezo,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0026,26,028,OPS/images/08_X10000_000062_1_028_002.jpg,04d830c73d4d6a78ff5ed1a50cc586e32b1d2a28c74fb5816a06d4bf2dac5167,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"OFA holders1–5: Yoichi/Kudo; third-holder full name, research, naming, exile/death and limited knowledge; Hikage withdrawal/18years; Banjo resistance, public inspiration and transfer-risk understanding.",SUP-UAG-026-01; SUP-UAG-026-02; SUP-UAG-026-03; SUP-UAG-026-04,,,Shigaraki Yoichi; Kudo Toshitsugu / 駆藤敏次; Bruce Lee / ブルース・リー (fictional third OFA holder); Shinomori Hikage; Banjo Daigoro / Lariat; All For One; Midoriya Izuku; Shimura Nana; Tayutai En; All Might,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0027,27,,OPS/images/08_X10000_000062_1_029_002.jpg,e816bfde8fd1ef7e8fe50d245b425aa3f26b4b9dc461d90d7791a6c9f4309b81,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"OFA holders6–8: En full name/mentor attachment/late disclosure/resistance team; Nana husband death and own recruitment, contingent inheritance, inference about vessels/embers; All Might parents, U.S. exile and return; inherited Quirk list.",SUP-UAG-027-01; SUP-UAG-027-02; SUP-UAG-027-03; SUP-UAG-027-04; SUP-UAG-027-05,,,"Tayutai En / 揺蕩井煙; Banjo Daigoro / Lariat; Gran Torino; Shimura Nana; Nana husband (unnamed); Shimura Kotaro; All Might / Yagi Toshinori; All Might parents (unnamed, two); All For One; Shigaraki Yoichi; Kudo Toshitsugu; Bruce Lee (fictional third OFA holder); Shinomori Hikage; Midoriya Izuku",Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0028,28,030,OPS/images/08_X10000_000062_1_030_002.jpg,49d154d807fe41640496a2efd7521a9e6bbbcab5b579fe472985a191558475d2,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Bakugo profile: ambition/combat insight, gradual recognition of Midoriya, Jeanist sidekick after graduation then independence; skill assessment, ranking impeded by harsh speech, team-up reputation and senior affection.",SUP-UAG-028-01,,,Bakugo Katsuki; Midoriya Izuku; All Might; Best Jeanist; Togata Mirio,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0029,29,031,OPS/images/08_X10000_000062_1_031_001.jpg,084e4e3f09bea4e400ca1de77b1225ce16688eae471023f974a179064c914ecf,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"CostumeIII thermal/stored-sweat equipment and transferable BN grenades; childhood resentment of Quirkless equal treatment, fear of Midoriya growth and Shoto competition.",SUP-UAG-029-01; SUP-UAG-029-02,,,Bakugo Katsuki; Midoriya Izuku; All Might; Todoroki Shoto; Sludge Villain,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0030,30,032,OPS/images/08_X10000_000062_1_032_001.jpg,3d27cc94d5539cb6b4582f8250f4af81bd59c5946fb710415d8777547ed952a5,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Jeanist work-experience correction with rhetorical question; hero-name lesson; reluctantly cooperating with Midoriya against All Might, sacrifice and success; Kamino refusal/rescue and initial recognition of All Might message.",SUP-UAG-030-01,,,Bakugo Katsuki; Best Jeanist; All Might; Midoriya Izuku; All For One; Shigaraki Tomura,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0031,31,033,OPS/images/08_X10000_000062_1_033_001.jpg,ef4f721c157398ac38544358d7e1a93ac52648e7da3080988ea733fd637ef6ad,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Second fight, remedial children encounter, Joint Training teamwork and winter internship; curated insulting nickname list including peers/pros/villains and rejected own names.",SUP-UAG-031-01; SUP-UAG-031-02,,,Bakugo Katsuki; Midoriya Izuku; Todoroki Shoto; Uraraka Ochako; Iida Tenya; Kirishima Eijiro; Hawks; Best Jeanist; Mirko; Shigaraki Tomura; All For One; Kurogiri; Midnight; Gang Orca; Yoarashi Inasa; Utsushimi Camie; Endeavor; Todoroki Natsuo; Kamakiri Togaru; Awase Yosetsu; Jiro Kyoka; Sero Hanta; Sato Rikido; Masegaki proud boy (unnamed here),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0032,32,034,OPS/images/08_X10000_000062_1_034_001.jpg,b251142b59d562ad768ed0ddef552b38cd46b364757ad0e59b8597e621c2a750,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Ordinary cooking and drumming compilation; first-war instinctive shielding/injury/changed Quirk feeling; hero-name reception; locating Midoriya, apology and shared rescue/win resolve.",SUP-UAG-032-01; SUP-UAG-032-02,,,Bakugo Katsuki; Kirishima Eijiro; Todoroki Shoto; Kaminari Denki; Jiro Kyoka; Sato Rikido; Mineta Minoru; Midoriya Izuku; Best Jeanist; Iida Tenya; Hadō Nejire; Mr. Compress; Spinner; Togata Mirio; Dabi; Gigantomachia; All Might; Shigaraki Tomura,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0033,33,035,OPS/images/08_X10000_000062_1_035_001.jpg,c199a8797170a7e8190c21210b7e6b6c33e47596bbae298f7c86fc6ed0741f9a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Second final battle: facial/right-arm injury, momentary change and apparent death, Edgeshot/Quirk resuscitation, All Might rescue, AFO fight and exhausted final support for Midoriya.",SUP-UAG-033-01,,,Bakugo Katsuki; Midoriya Izuku; Shigaraki Tomura; Best Jeanist; Edgeshot; All Might; All For One,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0034,34,036,OPS/images/08_X10000_000062_1_036_001.jpg,7ce0067f255f0cf930aaf81c35ad3c9f54dcf3e821359bfdac10d49ec0905099,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Shoto profile adds continuing annual festival attendance and ice castles/slides for children; past-facing hero aspiration and Endeavor-derived technique.,SUP-UAG-034-01,,,Todoroki Shoto; Endeavor,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0035,35,037,OPS/images/08_X10000_000062_1_037_001.jpg,32c2734b2423fecb0fa578f720c569181249a765e3afa21e11dd356a7289906e,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Gamma costume temperature regulation, compression supports and first-aid belt; age-five imposed training, denied sibling play, All Might admiration, Toya/parental conflict and Rei injury recaps.",SUP-UAG-035-01; SUP-UAG-035-02,,,Todoroki Shoto; Endeavor; Todoroki Rei; Todoroki Toya / Dabi; All Might; Todoroki siblings,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
