source_id	title	class	sample_frames	mean_luma_0_255	luma_sd	mean_saturation_0_255	saturation_sd	mean_edge_fraction	mean_inter_sample_absdiff_0_255	analysis_note
RINAMI-P05	36℃ U･B･U 3DMV	performance	16	84.11269124348959	34.778396857953105	103.4795888264974	41.77095758025215	0.07759772406684029	65.63338939525464	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P06	36℃ U･B･U official MV	performance	16	187.13910929361978	41.45071887404822	56.66196865505643	22.523819996370523	0.11886766221788196	71.22980866608796	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P07	Campus mode!! 3DMV	performance	16	56.93850877549913	21.933510460006087	115.19883388943143	31.401791202792253	0.07931688096788195	48.41833043981481	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P08	ガラクタロード 3DMV	performance	16	69.96277364095052	26.24752765741523	168.5229220920139	32.48859942260527	0.10478888617621528	58.746079282407415	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P09	Howling over the World 3DMV	performance	16	61.45205858018663	25.00250587846776	124.83566792805989	35.10819560946147	0.06343756781684028	50.77393120659723	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P10	SUGAR FLAVOR duet 3DMV	performance	16	48.24408298068576	20.757834200613328	120.39950052897136	38.318895047673294	0.07449510362413195	42.85201822916666	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P11	SUGAR FLAVOR official MV	performance	16	117.81036376953125	58.78129145938149	132.87966918945312	56.86318011067723	0.0730624728732639	80.58867549189814	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P12	歌声は君いろ official MV	performance	16	107.03600904676648	42.96885136691249	86.5570051405165	34.037788407980706	0.1286773681640625	64.28160264756944	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P13	ENDLESS DANCE 3DMV	performance	16	50.80340915256076	21.345679133809867	102.61930847167969	48.429246628859524	0.0649532741970486	46.09958767361111	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P14	がむしゃらに行こう！ 3DMV	performance	16	96.83467271592882	35.60858977104978	120.71075439453125	33.817019997869515	0.08982679578993055	56.35658275462961	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P15	ミラクルナナウ(ﾟ∀ﾟ)！ 3DMV	performance	16	113.81567552354602	38.213547607731506	96.18309190538194	31.009656651705765	0.08189900716145833	51.3923683449074	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P16	初 [Rinami] song video	performance	4	108.26577419704861	0.001938423113056186	28.551384819878475	0.03656372789066253	0.11385091145833334	0.3905255353009259	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
